k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.6261345959885813, 0.2202850086690546]                                        |  1.6356535088851558|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.6261345959885813, 0.2202850086690546]                                        |  1.6356535088851558|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[2.1190414313264365, -0.6497970861227074]                                       |  0.1427963950921220|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[2.1190414313264365, -0.6497970861227074]                                       |  0.1427963950921220|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[2.1190414313264365, -0.6497970861227074]                                       |  0.1427963950921220|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[2.1190414313264365, -0.6497970861227074]                                       |  0.1427963950921220|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[1.9395900743906211, -0.8238580251466441]                                       |  0.0371523278862622|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[1.9395900743906211, -0.8238580251466441]                                       |  0.0371523278862622|      0.25000000|[40, 0, 7, 15]                                                             |  | used linear model with 5 points | actual_k=0
       9|[1.9395900743906211, -0.8238580251466441]                                       |  0.0371523278862622|      0.12500000|[44, 0, 8, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[2.039683325637646, -0.8987335288497911]                                        |  0.0131016378559583|      0.25000000|[49, 0, 9, 19]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      11|[2.039683325637646, -0.8987335288497911]                                        |  0.0131016378559583|      0.12500000|[54, 0, 9, 20]                                                             |  | used linear model with 5 points | actual_k=0
