k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       2|[0.9813114938851689, -1.0368227078292185, -0.9051688822192281, -1.2577272383696858, -1.091186152226417, -1.3837610733214227, -0.9916854964794728, -1.1189698833284674, -1.0544580691256527, -0.9898789094185245]|  2.9727223443656161|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       3|[0.9813114938851689, -1.0368227078292185, -0.9051688822192281, -1.2577272383696858, -1.091186152226417, -1.3837610733214227, -0.9916854964794728, -1.1189698833284674, -1.0544580691256527, -0.9898789094185245]|  2.9727223443656161|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[0.9813114938851689, -1.0368227078292185, -0.9051688822192281, -1.2577272383696858, -1.091186152226417, -1.3837610733214227, -0.9916854964794728, -1.1189698833284674, -1.0544580691256527, -0.9898789094185245]|  2.9727223443656161|      0.25000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       5|[0.9856702579032505, -1.2116683039075369, -1.0088040387091224, -1.2193120021845154, -1.120097743927039, -1.334534402501813, -0.9971452893494377, -1.247047406388716, -1.055549220333926, -0.9900923558249908]|  0.6096978199269592|      0.50000000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       6|[0.9856702579032505, -1.2116683039075369, -1.0088040387091224, -1.2193120021845154, -1.120097743927039, -1.334534402501813, -0.9971452893494377, -1.247047406388716, -1.055549220333926, -0.9900923558249908]|  0.6096978199269592|      0.25000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       7|[0.9856702579032505, -1.2116683039075369, -1.0088040387091224, -1.2193120021845154, -1.120097743927039, -1.334534402501813, -0.9971452893494377, -1.247047406388716, -1.055549220333926, -0.9900923558249908]|  0.6096978199269592|      0.12500000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[1.013759208208602, -1.2289559776028158, -1.0411241644227054, -1.2335944928954412, -1.0973456006943805, -1.2827345417733407, -1.008409327140997, -1.2507442791676255, -1.0445558212049324, -1.0892199569692158]|  0.0932572374724797|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       9|[1.013759208208602, -1.2289559776028158, -1.0411241644227054, -1.2335944928954412, -1.0973456006943805, -1.2827345417733407, -1.008409327140997, -1.2507442791676255, -1.0445558212049324, -1.0892199569692158]|  0.0932572374724797|      0.12500000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
      10|[1.013759208208602, -1.2289559776028158, -1.0411241644227054, -1.2335944928954412, -1.0973456006943805, -1.2827345417733407, -1.008409327140997, -1.2507442791676255, -1.0445558212049324, -1.0892199569692158]|  0.0932572374724797|      0.06250000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[1.0141016761021833, -1.2281215140285964, -1.0248507279850383, -1.2551365099626344, -1.0787075758554598, -1.2555617906457375, -1.0010025638884348, -1.2442919858748458, -1.062118933336859, -1.130279226828263]|  0.0145113432881847|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      12|[1.0141016761021833, -1.2281215140285964, -1.0248507279850383, -1.2551365099626344, -1.0787075758554598, -1.2555617906457375, -1.0010025638884348, -1.2442919858748458, -1.062118933336859, -1.130279226828263]|  0.0145113432881847|      0.06250000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      13|[0.9955863191178969, -1.2187026178070117, -1.0422971001365473, -1.2549381637428925, -1.0706724779406935, -1.2321052655286464, -1.032225330872404, -1.226064527927491, -1.0914387830679597, -1.1499965884306391]|  0.0046101710455020|      0.12500000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      14|[0.9955863191178969, -1.2187026178070117, -1.0422971001365473, -1.2549381637428925, -1.0706724779406935, -1.2321052655286464, -1.032225330872404, -1.226064527927491, -1.0914387830679597, -1.1499965884306391]|  0.0046101710455020|      0.06250000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      15|[0.9955863191178969, -1.2187026178070117, -1.0422971001365473, -1.2549381637428925, -1.0706724779406935, -1.2321052655286464, -1.032225330872404, -1.226064527927491, -1.0914387830679597, -1.1499965884306391]|  0.0046101710455020|      0.03125000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      16|[0.9939515606013678, -1.2312825911263408, -1.0236213046407368, -1.2374361341306752, -1.073943075535549, -1.2372763821527026, -1.037726160330865, -1.2299425777813076, -1.0930233904997966, -1.1586730696326868]|  0.0029903965454996|      0.06250000|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      17|[0.9939515606013678, -1.2312825911263408, -1.0236213046407368, -1.2374361341306752, -1.073943075535549, -1.2372763821527026, -1.037726160330865, -1.2299425777813076, -1.0930233904997966, -1.1586730696326868]|  0.0029903965454996|      0.03125000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      18|[0.9966025005295874, -1.2454125199231405, -1.034489947819265, -1.2236422173570018, -1.0694811305481566, -1.2315693248329946, -1.0355454887447804, -1.2127137409249023, -1.084280730190341, -1.1642389362853003]|  0.0004844444926059|      0.06250000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      19|[0.9966025005295874, -1.2454125199231405, -1.034489947819265, -1.2236422173570018, -1.0694811305481566, -1.2315693248329946, -1.0355454887447804, -1.2127137409249023, -1.084280730190341, -1.1642389362853003]|  0.0004844444926059|      0.03125000|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      20|[0.9966025005295874, -1.2454125199231405, -1.034489947819265, -1.2236422173570018, -1.0694811305481566, -1.2315693248329946, -1.0355454887447804, -1.2127137409249023, -1.084280730190341, -1.1642389362853003]|  0.0004844444926059|      0.01562500|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      21|[0.9966025005295874, -1.2454125199231405, -1.034489947819265, -1.2236422173570018, -1.0694811305481566, -1.2315693248329946, -1.0355454887447804, -1.2127137409249023, -1.084280730190341, -1.1642389362853003]|  0.0004844444926059|      0.00781250|[210, 63, 21, 84]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      22|[0.9991342733324726, -1.2452978523396947, -1.0358902926706102, -1.2232164146957196, -1.0655754810516294, -1.2262111442539598, -1.035552206872728, -1.210670755613816, -1.0862255077881475, -1.164980333165573]|  0.0002740652923799|      0.01562500|[220, 66, 22, 88]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      23|[0.9991342733324726, -1.2452978523396947, -1.0358902926706102, -1.2232164146957196, -1.0655754810516294, -1.2262111442539598, -1.035552206872728, -1.210670755613816, -1.0862255077881475, -1.164980333165573]|  0.0002740652923799|      0.00781250|[230, 69, 23, 92]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      24|[1.000682905965576, -1.245207723389234, -1.0347454890573367, -1.2200715626487, -1.0623096858424108, -1.2236995054868693, -1.0383478011342726, -1.2077197347489346, -1.088137909544486, -1.168185516582582]|  0.0001693198589550|      0.01562500|[240, 72, 24, 96]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      25|[1.0019324882861602, -1.2480542926533875, -1.0316638687257926, -1.2165050405987625, -1.0555878345453422, -1.2247266344628163, -1.0458881337310582, -1.1996996655609227, -1.0814517812450584, -1.1678126450661044]|  0.0001240492433872|      0.03125000|[250, 75, 25, 100]                                                         |  | used linear model with 13 points | iterate success | actual_k=1
