k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-12.0, 10.0]                                                                   |100.9885487881180239|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.50000000|[5, 0, 0, 1]                                                               |  | used linear model with 5 points | actual_k=0
       2|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.25000000|[9, 0, 0, 2]                                                               |  | used linear model with 5 points | actual_k=0
       3|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.12500000|[13, 0, 0, 3]                                                              |  | used linear model with 5 points | actual_k=0
       4|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.06250000|[17, 0, 0, 4]                                                              |  | used linear model with 5 points | actual_k=0
       5|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.03125000|[21, 0, 0, 5]                                                              |  | used linear model with 5 points | actual_k=0
       6|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.01562500|[25, 0, 0, 6]                                                              |  | used linear model with 5 points | actual_k=0
       7|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00781250|[29, 0, 0, 7]                                                              |  | used linear model with 5 points | actual_k=0
       8|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00390625|[33, 0, 0, 8]                                                              |  | used linear model with 5 points | actual_k=0
       9|[-11.996154184671575, 9.999315534133688]                                        |100.9885377057318152|      0.00781250|[37, 0, 1, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[-11.996154184671575, 9.999315534133688]                                        |100.9885377057318152|      0.00390625|[42, 0, 1, 11]                                                             |  | used linear model with 5 points | actual_k=0
      11|[-11.992443779515664, 10.000536878737595]                                       |100.9885268411365473|      0.00781250|[46, 0, 2, 13]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      12|[-11.992443779515664, 10.000536878737595]                                       |100.9885268411365473|      0.00390625|[51, 0, 2, 14]                                                             |  | used linear model with 5 points | actual_k=0
      13|[-11.988578909551087, 10.001103949473409]                                       |100.9885155664446330|      0.00781250|[55, 0, 3, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      14|[-11.988578909551087, 10.001103949473409]                                       |100.9885155664446330|      0.00390625|[60, 0, 3, 17]                                                             |  | used linear model with 5 points | actual_k=0
      15|[-11.984704553339338, 10.00160209905634]                                        |100.9885042530126071|      0.00781250|[64, 0, 4, 19]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      16|[-11.984704553339338, 10.00160209905634]                                        |100.9885042530126071|      0.00390625|[69, 0, 4, 20]                                                             |  | used linear model with 5 points | actual_k=0
