k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[-3.976540892739649, -0.0621141754356033, 3.884892357786373, 0.0651784315033513, -1.90387491412081, 0.091864513445802]|  2.9874253799640260|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[-3.976540892739649, -0.0621141754356033, 3.884892357786373, 0.0651784315033513, -1.90387491412081, 0.091864513445802]|  2.9874253799640260|      0.25000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[-3.976540892739649, -0.0621141754356033, 3.884892357786373, 0.0651784315033513, -1.90387491412081, 0.091864513445802]|  2.9874253799640260|      0.12500000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[-3.976540892739649, -0.0621141754356033, 3.884892357786373, 0.0651784315033513, -1.90387491412081, 0.091864513445802]|  2.9874253799640260|      0.06250000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[-3.958171618962548, -0.1135924508622299, 3.8971313886893753, 0.0719630889200396, -1.8824270972990345, 0.10808094461531]|  0.6101403263619301|      0.12500000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       8|[-3.958171618962548, -0.1135924508622299, 3.8971313886893753, 0.0719630889200396, -1.8824270972990345, 0.10808094461531]|  0.6101403263619301|      0.06250000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[-3.958171618962548, -0.1135924508622299, 3.8971313886893753, 0.0719630889200396, -1.8824270972990345, 0.10808094461531]|  0.6101403263619301|      0.03125000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[-3.958171618962548, -0.1135924508622299, 3.8971313886893753, 0.0719630889200396, -1.8824270972990345, 0.10808094461531]|  0.6101403263619301|      0.01562500|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[-3.960807238108897, -0.107729005898526, 3.8996447653775737, 0.0584817664765489, -1.8810126932661866, 0.1045101612414921]|  0.5644283184224851|      0.03125000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[-3.960807238108897, -0.107729005898526, 3.8996447653775737, 0.0584817664765489, -1.8810126932661866, 0.1045101612414921]|  0.5644283184224851|      0.01562500|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[-3.9529178912474623, -0.117128162386383, 3.9029603216946915, 0.0590834820586886, -1.884733307151981, 0.0962423474194584]|  0.5093958843284657|      0.03125000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[-3.9529178912474623, -0.117128162386383, 3.9029603216946915, 0.0590834820586886, -1.884733307151981, 0.0962423474194584]|  0.5093958843284657|      0.01562500|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[-3.9529178912474623, -0.117128162386383, 3.9029603216946915, 0.0590834820586886, -1.884733307151981, 0.0962423474194584]|  0.5093958843284657|      0.00781250|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[-3.9529178912474623, -0.117128162386383, 3.9029603216946915, 0.0590834820586886, -1.884733307151981, 0.0962423474194584]|  0.5093958843284657|      0.00390625|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[-3.9542578127836676, -0.1139492875584122, 3.9023039090240434, 0.0578800754447989, -1.8846047676659337, 0.0950329811823766]|  0.4852482124437237|      0.00781250|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      18|[-3.9542578127836676, -0.1139492875584122, 3.9023039090240434, 0.0578800754447989, -1.8846047676659337, 0.0950329811823766]|  0.4852482124437237|      0.00390625|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[-3.9542578127836676, -0.1139492875584122, 3.9023039090240434, 0.0578800754447989, -1.8846047676659337, 0.0950329811823766]|  0.4852482124437237|      0.00195312|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[-3.9541669640278347, -0.1141034423379062, 3.9021249854273212, 0.0565398418012112, -1.8850838449921892, 0.0963463452277758]|  0.4802452914878514|      0.00390625|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
