k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[0.1384498854038685, 0.2380021765571918, 0.2703081712373115, 0.215149429867023, 0.444839359813584, 0.6697683168476312, 0.776937266042886, 0.8558272349957462, 0.8129781446095277, 1.0026386104363454]| 23.5530232410454268|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       4|[0.1384498854038685, 0.2380021765571918, 0.2703081712373115, 0.215149429867023, 0.444839359813584, 0.6697683168476312, 0.776937266042886, 0.8558272349957462, 0.8129781446095277, 1.0026386104363454]| 23.5530232410454268|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[0.1171667653658936, 0.2470677189012552, 0.231982476834923, 0.2519896874026484, 0.230379625213895, 0.7654355138618982, 0.8319819533795859, 0.88055333032233, 0.8117450284229271, 1.0213675452160131]|  6.0276733961101119|      0.50000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[0.1171667653658936, 0.2470677189012552, 0.231982476834923, 0.2519896874026484, 0.230379625213895, 0.7654355138618982, 0.8319819533795859, 0.88055333032233, 0.8117450284229271, 1.0213675452160131]|  6.0276733961101119|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[0.1171667653658936, 0.2470677189012552, 0.231982476834923, 0.2519896874026484, 0.230379625213895, 0.7654355138618982, 0.8319819533795859, 0.88055333032233, 0.8117450284229271, 1.0213675452160131]|  6.0276733961101119|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[0.1171667653658936, 0.2470677189012552, 0.231982476834923, 0.2519896874026484, 0.230379625213895, 0.7654355138618982, 0.8319819533795859, 0.88055333032233, 0.8117450284229271, 1.0213675452160131]|  6.0276733961101119|      0.06250000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[0.1504159258662753, 0.2325659259850945, 0.2599078136023387, 0.247168628796392, 0.2315717356501628, 0.7936329440249096, 0.8194332731319859, 0.885162754543272, 0.8381840629570128, 1.0107317857796463]|  4.8538280609118969|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[0.1504159258662753, 0.2325659259850945, 0.2599078136023387, 0.247168628796392, 0.2315717356501628, 0.7936329440249096, 0.8194332731319859, 0.885162754543272, 0.8381840629570128, 1.0107317857796463]|  4.8538280609118969|      0.06250000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[0.1504159258662753, 0.2325659259850945, 0.2599078136023387, 0.247168628796392, 0.2315717356501628, 0.7936329440249096, 0.8194332731319859, 0.885162754543272, 0.8381840629570128, 1.0107317857796463]|  4.8538280609118969|      0.03125000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[0.1438919503110384, 0.2497425493339158, 0.2612990090189627, 0.2384503262779427, 0.2417988873752939, 0.8071507067565207, 0.8251854547103104, 0.8814279818320421, 0.8323856157831032, 0.996838010973036]|  4.4882212872148370|      0.06250000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[0.1438919503110384, 0.2497425493339158, 0.2612990090189627, 0.2384503262779427, 0.2417988873752939, 0.8071507067565207, 0.8251854547103104, 0.8814279818320421, 0.8323856157831032, 0.996838010973036]|  4.4882212872148370|      0.03125000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[0.1532510295824837, 0.2396854146799288, 0.2495756055264036, 0.2230630884626005, 0.2375650227382191, 0.8122677686160903, 0.8349682783536886, 0.8779785434339402, 0.8409748469550292, 0.9831218958873833]|  4.1818725033170567|      0.06250000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      15|[0.1532510295824837, 0.2396854146799288, 0.2495756055264036, 0.2230630884626005, 0.2375650227382191, 0.8122677686160903, 0.8349682783536886, 0.8779785434339402, 0.8409748469550292, 0.9831218958873833]|  4.1818725033170567|      0.03125000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[0.1325948393517017, 0.2305531007293651, 0.2424355048316971, 0.2263960866090916, 0.2473559833135308, 0.8124895212675315, 0.8380501421190945, 0.8793680571765197, 0.8238592779282354, 0.9810941351921797]|  3.9819994046231217|      0.06250000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      17|[0.1325948393517017, 0.2305531007293651, 0.2424355048316971, 0.2263960866090916, 0.2473559833135308, 0.8124895212675315, 0.8380501421190945, 0.8793680571765197, 0.8238592779282354, 0.9810941351921797]|  3.9819994046231217|      0.03125000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[0.1325948393517017, 0.2305531007293651, 0.2424355048316971, 0.2263960866090916, 0.2473559833135308, 0.8124895212675315, 0.8380501421190945, 0.8793680571765197, 0.8238592779282354, 0.9810941351921797]|  3.9819994046231217|      0.01562500|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[0.1355357994601907, 0.2237921597330301, 0.2432489855334356, 0.2323740006881044, 0.2431295334280972, 0.813448514954809, 0.8351803799775673, 0.8809971374996249, 0.8346324604193265, 0.9783281991959119]|  3.8911338987664221|      0.03125000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      20|[0.1355357994601907, 0.2237921597330301, 0.2432489855334356, 0.2323740006881044, 0.2431295334280972, 0.813448514954809, 0.8351803799775673, 0.8809971374996249, 0.8346324604193265, 0.9783281991959119]|  3.8911338987664221|      0.01562500|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[0.1355357994601907, 0.2237921597330301, 0.2432489855334356, 0.2323740006881044, 0.2431295334280972, 0.813448514954809, 0.8351803799775673, 0.8809971374996249, 0.8346324604193265, 0.9783281991959119]|  3.8911338987664221|      0.00781250|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[0.1378049419627956, 0.2251732282582814, 0.2389592521968541, 0.2339983369547889, 0.2416968225402005, 0.8146222085673296, 0.8373018528475191, 0.8843573768546451, 0.8366781539747803, 0.9752408730215298]|  3.8137621513854265|      0.01562500|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      23|[0.1378049419627956, 0.2251732282582814, 0.2389592521968541, 0.2339983369547889, 0.2416968225402005, 0.8146222085673296, 0.8373018528475191, 0.8843573768546451, 0.8366781539747803, 0.9752408730215298]|  3.8137621513854265|      0.00781250|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[0.1342648045181104, 0.2290141392383978, 0.2386672170910363, 0.2343557871589583, 0.2404200864059432, 0.8178409175617622, 0.8400776385870585, 0.8863651259100963, 0.8392109744704092, 0.9733981669510632]|  3.7408708249287606|      0.01562500|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      25|[0.1342648045181104, 0.2290141392383978, 0.2386672170910363, 0.2343557871589583, 0.2404200864059432, 0.8178409175617622, 0.8400776385870585, 0.8863651259100963, 0.8392109744704092, 0.9733981669510632]|  3.7408708249287606|      0.00781250|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      26|[0.1342648045181104, 0.2290141392383978, 0.2386672170910363, 0.2343557871589583, 0.2404200864059432, 0.8178409175617622, 0.8400776385870585, 0.8863651259100963, 0.8392109744704092, 0.9733981669510632]|  3.7408708249287606|      0.00390625|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      27|[0.1340910793007844, 0.2296545880162245, 0.2373763389852078, 0.2343834272446856, 0.2383829034662221, 0.8196901196339363, 0.8409987791898721, 0.8872701946567625, 0.8400399165608219, 0.9716018243760864]|  3.6991210475665830|      0.00781250|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      28|[0.1347083841106331, 0.232376505105213, 0.2332439188660176, 0.2334668572044307, 0.2353368181143076, 0.8199419476625539, 0.8449694589013691, 0.8873177865548854, 0.8429292731527984, 0.9702346138950616]|  3.6492109021358385|      0.01562500|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      29|[0.1347083841106331, 0.232376505105213, 0.2332439188660176, 0.2334668572044307, 0.2353368181143076, 0.8199419476625539, 0.8449694589013691, 0.8873177865548854, 0.8429292731527984, 0.9702346138950616]|  3.6492109021358385|      0.00781250|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[0.1347083841106331, 0.232376505105213, 0.2332439188660176, 0.2334668572044307, 0.2353368181143076, 0.8199419476625539, 0.8449694589013691, 0.8873177865548854, 0.8429292731527984, 0.9702346138950616]|  3.6492109021358385|      0.00390625|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      31|[0.1339321294317195, 0.2336927494133593, 0.2324669919441322, 0.2328126932729415, 0.2329490676125854, 0.8213610979601708, 0.8468155198938365, 0.8880619958654237, 0.8424860972699671, 0.9703711393190672]|  3.6370498661543684|      0.00781250|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      32|[0.1339321294317195, 0.2336927494133593, 0.2324669919441322, 0.2328126932729415, 0.2329490676125854, 0.8213610979601708, 0.8468155198938365, 0.8880619958654237, 0.8424860972699671, 0.9703711393190672]|  3.6370498661543684|      0.00390625|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      33|[0.1367456591177384, 0.2345668521311327, 0.2328302543490932, 0.2327859014970065, 0.2338298534645509, 0.8223354928568347, 0.8477994734487572, 0.8880884055945143, 0.8431419335341287, 0.9685485328272627]|  3.6214956469719626|      0.00781250|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      34|[0.135569186867861, 0.2337188945791618, 0.2296202871498213, 0.2336094695465958, 0.2321284175462779, 0.8273269563509366, 0.8495150264190947, 0.8898272926405009, 0.8458805321464882, 0.9659652173174332]|  3.5757468255544338|      0.01562500|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      35|[0.135569186867861, 0.2337188945791618, 0.2296202871498213, 0.2336094695465958, 0.2321284175462779, 0.8273269563509366, 0.8495150264190947, 0.8898272926405009, 0.8458805321464882, 0.9659652173174332]|  3.5757468255544338|      0.00781250|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      36|[0.135569186867861, 0.2337188945791618, 0.2296202871498213, 0.2336094695465958, 0.2321284175462779, 0.8273269563509366, 0.8495150264190947, 0.8898272926405009, 0.8458805321464882, 0.9659652173174332]|  3.5757468255544338|      0.00390625|[468, 144, 36, 72]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      37|[0.1364535359276251, 0.2324591018320629, 0.2295152468547634, 0.2335533414788577, 0.2317402743475979, 0.8303098658654844, 0.8496108755126552, 0.8908276149340916, 0.8472970125269617, 0.9650647721547172]|  3.5565723853800795|      0.00781250|[481, 148, 37, 74]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      38|[0.1341939449960277, 0.232856996673399, 0.2304989520613505, 0.2319443699983499, 0.232348068192924, 0.8360941180873704, 0.85096815253931, 0.8924870923292467, 0.8443448368028474, 0.9628117242578558]|  3.5316310166116209|      0.01562500|[494, 152, 38, 76]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      39|[0.1341939449960277, 0.232856996673399, 0.2304989520613505, 0.2319443699983499, 0.232348068192924, 0.8360941180873704, 0.85096815253931, 0.8924870923292467, 0.8443448368028474, 0.9628117242578558]|  3.5316310166116209|      0.00781250|[507, 156, 39, 78]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      40|[0.1341939449960277, 0.232856996673399, 0.2304989520613505, 0.2319443699983499, 0.232348068192924, 0.8360941180873704, 0.85096815253931, 0.8924870923292467, 0.8443448368028474, 0.9628117242578558]|  3.5316310166116209|      0.00390625|[520, 160, 40, 80]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      41|[0.1358974615408916, 0.2326207205296063, 0.2294878415366352, 0.233790205207002, 0.231204957453271, 0.8375101976885544, 0.8519944935617055, 0.8927106882360266, 0.8461575663660463, 0.9632242758594578]|  3.5237718654238681|      0.00781250|[533, 164, 41, 82]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      42|[0.1358974615408916, 0.2326207205296063, 0.2294878415366352, 0.233790205207002, 0.231204957453271, 0.8375101976885544, 0.8519944935617055, 0.8927106882360266, 0.8461575663660463, 0.9632242758594578]|  3.5237718654238681|      0.00390625|[546, 168, 42, 84]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      43|[0.1372032420873979, 0.2314679218622524, 0.2307807231389412, 0.2317820176785193, 0.2305782547296874, 0.8399558742234888, 0.8520240001289451, 0.892444999993305, 0.8464311567254093, 0.9632199295466466]|  3.5163138091510606|      0.00781250|[559, 172, 43, 86]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      44|[0.1372032420873979, 0.2314679218622524, 0.2307807231389412, 0.2317820176785193, 0.2305782547296874, 0.8399558742234888, 0.8520240001289451, 0.892444999993305, 0.8464311567254093, 0.9632199295466466]|  3.5163138091510606|      0.00390625|[572, 176, 44, 88]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      45|[0.1358059143392803, 0.2312157898315937, 0.2307310986035313, 0.231400299602418, 0.231475203305992, 0.8404239670849991, 0.8522430303792193, 0.8923037858301104, 0.8490557069661934, 0.9609583559684789]|  3.5003671796934426|      0.00781250|[585, 180, 45, 90]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
