k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       2|[0.8894468635229624, 0.8912848502544859, 0.8892925928000361, 0.8858993209031139, 0.8887274190808374, 0.8873693549972516, 0.890778842540072, 0.8875309558895194, 0.8888853804613052, 0.8857990643718374, 1.0431282324386413, 0.6523468575174485, 0.985265544808666, 0.9905538009526409, 0.9905441696865331, 0.9908032188600677, 0.9764930574250215, 0.9632401050879497, 0.9808682205814495, 0.9948659050907488, 0.9907515880827711, 0.9919406717597489]|  1.3729670047760010|      1.00000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       3|[0.8894468635229624, 0.8912848502544859, 0.8892925928000361, 0.8858993209031139, 0.8887274190808374, 0.8873693549972516, 0.890778842540072, 0.8875309558895194, 0.8888853804613052, 0.8857990643718374, 1.0431282324386413, 0.6523468575174485, 0.985265544808666, 0.9905538009526409, 0.9905441696865331, 0.9908032188600677, 0.9764930574250215, 0.9632401050879497, 0.9808682205814495, 0.9948659050907488, 0.9907515880827711, 0.9919406717597489]|  1.3729670047760010|      0.50000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.7779964442221787, 0.7784674195035761, 0.7789607218134835, 0.7752169318861556, 0.7733125618953696, 0.7739311246668922, 0.7750093303276402, 0.7792100016798718, 0.7726779100407045, 0.7731840389763595, 1.0720750566301944, 0.3074657962906742, 0.9738822747059825, 0.9801278074995148, 0.9779282473587587, 0.9774526147668773, 0.950689092533794, 0.9262960259322319, 0.963750003086318, 0.9944953137892817, 0.9806414714244441, 0.9803852524778871]|  1.2272827625274658|      1.00000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       5|[0.7779964442221787, 0.7784674195035761, 0.7789607218134835, 0.7752169318861556, 0.7733125618953696, 0.7739311246668922, 0.7750093303276402, 0.7792100016798718, 0.7726779100407045, 0.7731840389763595, 1.0720750566301944, 0.3074657962906742, 0.9738822747059825, 0.9801278074995148, 0.9779282473587587, 0.9774526147668773, 0.950689092533794, 0.9262960259322319, 0.963750003086318, 0.9944953137892817, 0.9806414714244441, 0.9803852524778871]|  1.2272827625274658|      0.50000000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.6597426096697944, 0.6649636798858263, 0.6630023715073494, 0.6621997318637021, 0.6558096573231373, 0.6578761471631431, 0.6671320495878521, 0.6629189418774453, 0.6605357545607479, 0.6623948973180264, 1.0973356777386145, -0.0301907655584527, 0.9603513130249642, 0.9610590331685018, 0.9617724162090465, 0.9644734476545536, 0.913607020946452, 0.886188968587184, 0.9361671584155185, 0.9867665425942249, 0.9701672742409285, 0.9710761177454118]|  1.0931931734085083|      1.00000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[0.6597426096697944, 0.6649636798858263, 0.6630023715073494, 0.6621997318637021, 0.6558096573231373, 0.6578761471631431, 0.6671320495878521, 0.6629189418774453, 0.6605357545607479, 0.6623948973180264, 1.0973356777386145, -0.0301907655584527, 0.9603513130249642, 0.9610590331685018, 0.9617724162090465, 0.9644734476545536, 0.913607020946452, 0.886188968587184, 0.9361671584155185, 0.9867665425942249, 0.9701672742409285, 0.9710761177454118]|  1.0931931734085083|      0.50000000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.5442453678477969, 0.5505556942929329, 0.5426308528853124, 0.5437145052126201, 0.5339586635370502, 0.5384187293518199, 0.5506659429054697, 0.5472703055827282, 0.5472768643047717, 0.5552617914550253, 1.1146001312386562, -0.3613381349861591, 0.9455377529248281, 0.9508619072255698, 0.9460003790624304, 0.9435990363973408, 0.8849676153349278, 0.8448599412499569, 0.9072195544356974, 0.9749802448806235, 0.9612794200109812, 0.9595596891007743]|  0.9722849130630493|      1.00000000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
       9|[0.5442453678477969, 0.5505556942929329, 0.5426308528853124, 0.5437145052126201, 0.5339586635370502, 0.5384187293518199, 0.5506659429054697, 0.5472703055827282, 0.5472768643047717, 0.5552617914550253, 1.1146001312386562, -0.3613381349861591, 0.9455377529248281, 0.9508619072255698, 0.9460003790624304, 0.9435990363973408, 0.8849676153349278, 0.8448599412499569, 0.9072195544356974, 0.9749802448806235, 0.9612794200109812, 0.9595596891007743]|  0.9722849130630493|      0.50000000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.5442453678477969, 0.5505556942929329, 0.5426308528853124, 0.5437145052126201, 0.5339586635370502, 0.5384187293518199, 0.5506659429054697, 0.5472703055827282, 0.5472768643047717, 0.5552617914550253, 1.1146001312386562, -0.3613381349861591, 0.9455377529248281, 0.9508619072255698, 0.9460003790624304, 0.9435990363973408, 0.8849676153349278, 0.8448599412499569, 0.9072195544356974, 0.9749802448806235, 0.9612794200109812, 0.9595596891007743]|  0.9722849130630493|      0.25000000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.4870702054533552, 0.490825053083302, 0.4802012061740275, 0.4854952580335917, 0.4750426393126621, 0.4741556962173517, 0.4896895059605627, 0.4895566538852458, 0.4880295667282628, 0.4985853548215452, 1.1137311326742994, -0.5202407798901518, 0.9366856730511476, 0.9403956126074897, 0.9353063474802926, 0.934946383106374, 0.8648999356973479, 0.8194658895017002, 0.8933335169618987, 0.9683290638451909, 0.9535954126645096, 0.9538667706674607]|  0.9166061878204346|      0.50000000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
