k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.4199560534815883, -0.0648737105362587, 0.7816687738876774, 0.4949497995023406, 0.3708646862452373, 3.1629709510855983, 4.777120265386068, 6.642243130724734, 1.8433926665221794, 4.696054652715071, 5.809018951204152]|  1.2035445545637911|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       2|[1.4199560534815883, -0.0648737105362587, 0.7816687738876774, 0.4949497995023406, 0.3708646862452373, 3.1629709510855983, 4.777120265386068, 6.642243130724734, 1.8433926665221794, 4.696054652715071, 5.809018951204152]|  1.2035445545637911|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[1.4199560534815883, -0.0648737105362587, 0.7816687738876774, 0.4949497995023406, 0.3708646862452373, 3.1629709510855983, 4.777120265386068, 6.642243130724734, 1.8433926665221794, 4.696054652715071, 5.809018951204152]|  1.2035445545637911|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[1.4199560534815883, -0.0648737105362587, 0.7816687738876774, 0.4949497995023406, 0.3708646862452373, 3.1629709510855983, 4.777120265386068, 6.642243130724734, 1.8433926665221794, 4.696054652715071, 5.809018951204152]|  1.2035445545637911|      0.25000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       5|[1.4199560534815883, -0.0648737105362587, 0.7816687738876774, 0.4949497995023406, 0.3708646862452373, 3.1629709510855983, 4.777120265386068, 6.642243130724734, 1.8433926665221794, 4.696054652715071, 5.809018951204152]|  1.2035445545637911|      0.12500000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[1.4289021858582076, -0.0831573346760462, 0.7503097886666303, 0.5855211011140984, 0.3734314513755119, 3.15482890069604, 4.798472452115012, 6.628858732895692, 1.8027390172869, 4.7371361430207255, 5.764569183138835]|  0.9750117763581211|      0.25000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       7|[1.4289021858582076, -0.0831573346760462, 0.7503097886666303, 0.5855211011140984, 0.3734314513755119, 3.15482890069604, 4.798472452115012, 6.628858732895692, 1.8027390172869, 4.7371361430207255, 5.764569183138835]|  0.9750117763581211|      0.12500000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[1.4289021858582076, -0.0831573346760462, 0.7503097886666303, 0.5855211011140984, 0.3734314513755119, 3.15482890069604, 4.798472452115012, 6.628858732895692, 1.8027390172869, 4.7371361430207255, 5.764569183138835]|  0.9750117763581211|      0.06250000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       9|[1.4245243832508467, -0.0855287840339952, 0.7021322120231667, 0.5693217239191132, 0.3955572236242064, 3.1550540038954495, 4.797184294806797, 6.651262830651977, 1.7940753829210645, 4.74669279985112, 5.776332290498594]|  0.8506479431912412|      0.12500000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
      10|[1.4245243832508467, -0.0855287840339952, 0.7021322120231667, 0.5693217239191132, 0.3955572236242064, 3.1550540038954495, 4.797184294806797, 6.651262830651977, 1.7940753829210645, 4.74669279985112, 5.776332290498594]|  0.8506479431912412|      0.06250000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[1.4037832036237492, -0.0626820769548639, 0.6839744033554345, 0.5802715566594046, 0.3838078983835836, 3.121145870588209, 4.786943118222479, 6.658534044601565, 1.7871388145073217, 4.778263895461348, 5.780082774887365]|  0.7635955347894042|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      12|[1.4037832036237492, -0.0626820769548639, 0.6839744033554345, 0.5802715566594046, 0.3838078983835836, 3.121145870588209, 4.786943118222479, 6.658534044601565, 1.7871388145073217, 4.778263895461348, 5.780082774887365]|  0.7635955347894042|      0.06250000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      13|[1.4037832036237492, -0.0626820769548639, 0.6839744033554345, 0.5802715566594046, 0.3838078983835836, 3.121145870588209, 4.786943118222479, 6.658534044601565, 1.7871388145073217, 4.778263895461348, 5.780082774887365]|  0.7635955347894042|      0.03125000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      14|[1.4085058476907728, -0.0615645807927785, 0.665389226911715, 0.5988454954132589, 0.3754670925889041, 3.1192032772492477, 4.784260925876828, 6.664581378005876, 1.7794234231281096, 4.782944932098112, 5.772078783653514]|  0.7353107201635919|      0.06250000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      15|[1.3928069069834115, -0.0652610038566396, 0.6360351892713524, 0.59042120627206, 0.3569645359693653, 3.1261223261639683, 4.767333044781345, 6.671718539033307, 1.7781863223849106, 4.792105227642485, 5.815671788205924]|  0.6816643011765225|      0.12500000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
