k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 0.0]                                                                 |629.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2110385334083307, 2.949956688477622, -0.2303150612389283]                    |361.9206171169248023|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[-0.2329123824956858, 1.9526435711666836, 0.729045297802183]                    | 38.3091039968413085|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[-0.2329123824956858, 1.9526435711666836, 0.729045297802183]                    | 38.3091039968413085|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-0.2329123824956858, 1.9526435711666836, 0.729045297802183]                    | 38.3091039968413085|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[-0.2329123824956858, 1.9526435711666836, 0.729045297802183]                    | 38.3091039968413085|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.2329123824956858, 1.9526435711666836, 0.729045297802183]                    | 38.3091039968413085|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-0.2329123824956858, 1.9526435711666836, 0.729045297802183]                    | 38.3091039968413085|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.2329123824956858, 1.9526435711666836, 0.729045297802183]                    | 38.3091039968413085|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-0.2329123824956858, 1.9526435711666836, 0.729045297802183]                    | 38.3091039968413085|      0.03125000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[-0.2384813229019006, 1.9398367066337028, 0.75700122067348]                     | 36.7321294922755897|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[-0.2384813229019006, 1.9398367066337028, 0.75700122067348]                     | 36.7321294922755897|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[-0.236045630618569, 1.908727957179288, 0.7553054581655342]                     | 34.4539763197125524|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[-0.236045630618569, 1.908727957179288, 0.7553054581655342]                     | 34.4539763197125524|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[-0.2312964468364151, 1.8781259658209635, 0.7594918502050317]                   | 32.5029435857723783|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[-0.2312964468364151, 1.8781259658209635, 0.7594918502050317]                   | 32.5029435857723783|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
