k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[95, 32, 0, 2]                                                             |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[190, 64, 0, 4]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       3|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.12500000|[284, 96, 0, 6]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       4|[99.99190820581677, 0.0725513519735165, 0.2374135008414891, 0.9129551097732759, 99.98584965661, 0.0186162854318926, 0.1996943485197026, 0.7883065879194552, 99.99812863103737, 0.0189046072458597, 0.2892157793665575, 0.8013806011656296, 100.00339328382702, 0.1443888091716999, 0.3158464540259365, 0.6140169067449224, 99.98821171806922, 0.250935598613023, 0.4725664257444544, 0.2820633311886703, 99.99395805915424, 0.6162458278003775, 0.6138683223791584, 0.0127340776577467, 299.99739502944925, 300.0084682321493, 299.99193347148054, 300.00051561977375, 300.01035091232603]|383.8101196289062500|      0.25000000|[377, 128, 0, 8]                                                           |  | trying linear partial model with 49 points | iterate success | actual_k=16
       5|[99.99190820581677, 0.0725513519735165, 0.2374135008414891, 0.9129551097732759, 99.98584965661, 0.0186162854318926, 0.1996943485197026, 0.7883065879194552, 99.99812863103737, 0.0189046072458597, 0.2892157793665575, 0.8013806011656296, 100.00339328382702, 0.1443888091716999, 0.3158464540259365, 0.6140169067449224, 99.98821171806922, 0.250935598613023, 0.4725664257444544, 0.2820633311886703, 99.99395805915424, 0.6162458278003775, 0.6138683223791584, 0.0127340776577467, 299.99739502944925, 300.0084682321493, 299.99193347148054, 300.00051561977375, 300.01035091232603]|383.8101196289062500|      0.12500000|[472, 160, 0, 10]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       6|[99.99312968755255, 0.1551234590003489, 0.2785628764652914, 0.9482220850954137, 99.98322380783095, 0.0669055681582543, 0.2178443521573823, 0.7780128804455183, 99.98680545954879, 0.0213142107013444, 0.2711630012760299, 0.7885885462424155, 100.01260869139789, 0.1356900522397549, 0.3161815987697622, 0.6071772362125668, 99.98649032680481, 0.2424014084054821, 0.4622363912080747, 0.2521622937075605, 99.99019911511961, 0.6330911273362857, 0.6302461273602291, 0.0207826494310001, 299.9857296940247, 300.0107877524667, 299.9751533067897, 299.9910909225025, 300.01696937277256]|244.9032440185546875|      0.25000000|[568, 192, 0, 12]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       7|[99.99312968755255, 0.1551234590003489, 0.2785628764652914, 0.9482220850954137, 99.98322380783095, 0.0669055681582543, 0.2178443521573823, 0.7780128804455183, 99.98680545954879, 0.0213142107013444, 0.2711630012760299, 0.7885885462424155, 100.01260869139789, 0.1356900522397549, 0.3161815987697622, 0.6071772362125668, 99.98649032680481, 0.2424014084054821, 0.4622363912080747, 0.2521622937075605, 99.99019911511961, 0.6330911273362857, 0.6302461273602291, 0.0207826494310001, 299.9857296940247, 300.0107877524667, 299.9751533067897, 299.9910909225025, 300.01696937277256]|244.9032440185546875|      0.12500000|[662, 224, 0, 14]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       8|[99.99836549779548, 0.1611153007219456, 0.2681172838547342, 0.9529758235438681, 99.98019763493289, 0.1475280903208254, 0.2472750267068321, 0.8013366657792884, 99.98621828126272, 0.0450443011463073, 0.2764897761524077, 0.7748321697853399, 100.02556247899858, 0.1021435203387925, 0.2740164261682037, 0.6119032289705415, 99.99020288501121, 0.2142466432081015, 0.4431141367792312, 0.2494600968856379, 99.96776690707593, 0.6509212189216186, 0.6531907376555562, 0.0307129480688713, 299.97580992397013, 300.0062806449039, 299.9557879686557, 299.9706460050058, 300.007027721855]|165.9470825195312500|      0.25000000|[755, 256, 0, 16]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       9|[99.99836549779548, 0.1611153007219456, 0.2681172838547342, 0.9529758235438681, 99.98019763493289, 0.1475280903208254, 0.2472750267068321, 0.8013366657792884, 99.98621828126272, 0.0450443011463073, 0.2764897761524077, 0.7748321697853399, 100.02556247899858, 0.1021435203387925, 0.2740164261682037, 0.6119032289705415, 99.99020288501121, 0.2142466432081015, 0.4431141367792312, 0.2494600968856379, 99.96776690707593, 0.6509212189216186, 0.6531907376555562, 0.0307129480688713, 299.97580992397013, 300.0062806449039, 299.9557879686557, 299.9706460050058, 300.007027721855]|165.9470825195312500|      0.12500000|[850, 288, 0, 18]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
      10|[99.99836549779548, 0.1611153007219456, 0.2681172838547342, 0.9529758235438681, 99.98019763493289, 0.1475280903208254, 0.2472750267068321, 0.8013366657792884, 99.98621828126272, 0.0450443011463073, 0.2764897761524077, 0.7748321697853399, 100.02556247899858, 0.1021435203387925, 0.2740164261682037, 0.6119032289705415, 99.99020288501121, 0.2142466432081015, 0.4431141367792312, 0.2494600968856379, 99.96776690707593, 0.6509212189216186, 0.6531907376555562, 0.0307129480688713, 299.97580992397013, 300.0062806449039, 299.9557879686557, 299.9706460050058, 300.007027721855]|165.9470825195312500|      0.06250000|[944, 320, 0, 20]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
