k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.01399159915069, 149.94918812389236, -100.09700489547807, 1.123409529989044, 1.9762150286484907]|84540.0781250000000000|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[49.01399159915069, 149.94918812389236, -100.09700489547807, 1.123409529989044, 1.9762150286484907]|84540.0781250000000000|      1.00000000|[53, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[48.02377248871706, 149.86225280058568, -100.16121048178954, 1.2050539556330189, 1.9427457391245042]|81282.2343750000000000|      2.00000000|[79, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[46.20345594296956, 150.20878595585182, -100.2106452524735, 1.9543817013778018, 1.8934854256495035]|75573.2968750000000000|      4.00000000|[105, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[46.20345594296956, 150.20878595585182, -100.2106452524735, 1.9543817013778018, 1.8934854256495035]|75573.2968750000000000|      2.00000000|[132, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[44.682380403277776, 150.5583348242745, -100.38689025024546, 3.1795685405003415, 1.7146008227988674]|70955.0234375000000000|      4.00000000|[158, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[44.682380403277776, 150.5583348242745, -100.38689025024546, 3.1795685405003415, 1.7146008227988674]|70955.0234375000000000|      2.00000000|[184, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[42.70232908167, 150.40008140468785, -100.59528313074314, 3.1538461318797513, 1.6132924616381692]|65061.5585937500000000|      4.00000000|[210, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       9|[42.70232908167, 150.40008140468785, -100.59528313074314, 3.1538461318797513, 1.6132924616381692]|65061.5585937500000000|      2.00000000|[236, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[42.70232908167, 150.40008140468785, -100.59528313074314, 3.1538461318797513, 1.6132924616381692]|65061.5585937500000000|      1.00000000|[263, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[41.70637274115511, 150.33651538054815, -100.65876777192244, 3.153846165460133, 1.6131230580105849]|62206.5703125000000000|      2.00000000|[289, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[39.71444905279732, 150.2099308808554, -100.78581107964035, 3.1541235073533755, 1.604387770825591]|56694.6679687500000000|      4.00000000|[316, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      13|[39.71444905279732, 150.2099308808554, -100.78581107964035, 3.1541235073533755, 1.604387770825591]|56694.6679687500000000|      2.00000000|[342, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[37.72105014666822, 150.14352809479138, -100.803217510029, 3.1296268587470966, 1.4593070986655041]|51472.2812500000000000|      4.00000000|[368, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      15|[37.72105014666822, 150.14352809479138, -100.803217510029, 3.1296268587470966, 1.4593070986655041]|51472.2812500000000000|      2.00000000|[394, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[37.72105014666822, 150.14352809479138, -100.803217510029, 3.1296268587470966, 1.4593070986655041]|51472.2812500000000000|      1.00000000|[422, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[36.72566249570933, 150.07677965778615, -100.87207660156616, 3.1311037914386994, 1.4572299230805954]|48946.9921875000000000|      2.00000000|[448, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      18|[34.73131356548565, 149.9936654828738, -100.96132082847363, 3.1119496160266764, 1.3715971958539648]|44102.3085937500000000|      4.00000000|[474, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      19|[34.73131356548565, 149.9936654828738, -100.96132082847363, 3.1119496160266764, 1.3715971958539648]|44102.3085937500000000|      2.00000000|[501, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[32.82078863481054, 149.7049049575102, -100.94278943208073, 2.8936311478731573, 0.9041514962572728]|39691.0546875000000000|      4.00000000|[528, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[32.82078863481054, 149.7049049575102, -100.94278943208073, 2.8936311478731573, 0.9041514962572728]|39691.0546875000000000|      2.00000000|[554, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[32.82078863481054, 149.7049049575102, -100.94278943208073, 2.8936311478731573, 0.9041514962572728]|39691.0546875000000000|      1.00000000|[581, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[32.82078863481054, 149.7049049575102, -100.94278943208073, 2.8936311478731573, 0.9041514962572728]|39691.0546875000000000|      0.50000000|[607, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      24|[32.32320160926725, 149.67002810741542, -100.97623272573338, 2.894091788993713, 0.895660839164514]|38582.5429687500000000|      1.00000000|[633, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      25|[31.33404222158377, 149.57454644051637, -101.04865314618608, 2.8914654759401386, 0.8108354760646983]|36421.8789062500000000|      2.00000000|[659, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
