k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 5.0, 1.0]                                                                 |634.1111111111110858|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9320243268643749, 4.0023283552315805, 1.0055314633538766]                    |266.2449645996093750|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[2.5754766767842003, 2.1534303895156346, 1.4148545457155866]                    | 38.6208877563476562|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[5.196763511742721, -0.7476760092122929, 0.5707947183733444]                    |  0.3604387342929840|      8.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[5.196763511742721, -0.7476760092122929, 0.5707947183733444]                    |  0.3604387342929840|      4.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[5.196763511742721, -0.7476760092122929, 0.5707947183733444]                    |  0.3604387342929840|      2.00000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[5.196763511742721, -0.7476760092122929, 0.5707947183733444]                    |  0.3604387342929840|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[5.196763511742721, -0.7476760092122929, 0.5707947183733444]                    |  0.3604387342929840|      0.50000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[5.3114572372227125, -0.3036707631624276, 0.3715343590047059]                   |  0.1098874211311340|      1.00000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[5.3114572372227125, -0.3036707631624276, 0.3715343590047059]                   |  0.1098874211311340|      0.50000000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[4.995513940429544, 0.0766937103636073, 0.4457145483461076]                     |  0.0082656396552920|      1.00000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[4.995513940429544, 0.0766937103636073, 0.4457145483461076]                     |  0.0082656396552920|      0.50000000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[4.995513940429544, 0.0766937103636073, 0.4457145483461076]                     |  0.0082656396552920|      0.25000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[4.995513940429544, 0.0766937103636073, 0.4457145483461076]                     |  0.0082656396552920|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[4.995513940429544, 0.0766937103636073, 0.4457145483461076]                     |  0.0082656396552920|      0.06250000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[4.993298849396589, 0.0534097591053814, 0.3877559339258139]                     |  0.0062144869007170|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
