k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[11, 1, 1, 2]                                                              |  | used linear model with 12 points | iterate failure | actual_k=2
       2|[-0.1084322416764907, -0.071057748012994, 0.1747493857468869, -0.1289402548956383, 0.3774476906389068, -0.0496521709451059, -0.0460793064513556, 0.1436827521245002, 0.135388977659011]|189731.0462294688040856|      1.00000000|[22, 2, 2, 4]                                                              |  | used linear model with 12 points | iterate success | actual_k=2
       3|[-0.1084322416764907, -0.071057748012994, 0.1747493857468869, -0.1289402548956383, 0.3774476906389068, -0.0496521709451059, -0.0460793064513556, 0.1436827521245002, 0.135388977659011]|189731.0462294688040856|      0.50000000|[32, 4, 3, 6]                                                              |  | used linear model with 12 points | iterate failure | actual_k=2
       4|[-0.1860094218714853, -0.0524605578677134, 0.2777592280491512, 0.0128031132461846, 0.7719202744607092, 0.0707243090039211, 0.1504264306632785, 0.2013297062927447, 0.1653376546341153]|8577.2224169639684987|      1.00000000|[43, 5, 4, 8]                                                              |  | used linear model with 12 points | iterate success | actual_k=2
       5|[-0.1860094218714853, -0.0524605578677134, 0.2777592280491512, 0.0128031132461846, 0.7719202744607092, 0.0707243090039211, 0.1504264306632785, 0.2013297062927447, 0.1653376546341153]|8577.2224169639684987|      0.50000000|[54, 6, 5, 10]                                                             |  | used linear model with 12 points | iterate failure | actual_k=2
       6|[-0.1860094218714853, -0.0524605578677134, 0.2777592280491512, 0.0128031132461846, 0.7719202744607092, 0.0707243090039211, 0.1504264306632785, 0.2013297062927447, 0.1653376546341153]|8577.2224169639684987|      0.25000000|[64, 8, 6, 12]                                                             |  | used linear model with 12 points | iterate failure | actual_k=2
       7|[-0.1860094218714853, -0.0524605578677134, 0.2777592280491512, 0.0128031132461846, 0.7719202744607092, 0.0707243090039211, 0.1504264306632785, 0.2013297062927447, 0.1653376546341153]|8577.2224169639684987|      0.12500000|[74, 10, 7, 14]                                                            |  | used linear model with 12 points | iterate failure | actual_k=2
       8|[-0.2135685603722871, -0.0079660436818152, 0.3055699795142418, 0.0157726896266702, 0.7876069211956288, -0.0362880687689231, 0.1684055520636285, 0.196201620759746, 0.1728349782616239]|4020.2574270318846175|      0.25000000|[85, 11, 8, 16]                                                            |  | used linear model with 12 points | iterate success | actual_k=2
       9|[-0.2135685603722871, -0.0079660436818152, 0.3055699795142418, 0.0157726896266702, 0.7876069211956288, -0.0362880687689231, 0.1684055520636285, 0.196201620759746, 0.1728349782616239]|4020.2574270318846175|      0.12500000|[96, 12, 9, 18]                                                            |  | used linear model with 12 points | iterate failure | actual_k=2
      10|[-0.2135685603722871, -0.0079660436818152, 0.3055699795142418, 0.0157726896266702, 0.7876069211956288, -0.0362880687689231, 0.1684055520636285, 0.196201620759746, 0.1728349782616239]|4020.2574270318846175|      0.06250000|[108, 12, 10, 20]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      11|[-0.2409062785488898, -0.0064419791354263, 0.3011814147786515, -0.0027284165768255, 0.7986436847014783, 0.0130691473697811, 0.182825671807373, 0.1931867045942325, 0.1683570932242681]|2314.7778490039686403|      0.12500000|[118, 14, 11, 22]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
