k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00390625|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[0.5006936926529666, 1.500160906623951, -0.9991228162941734, 0.0137313671387502, 0.0202431802750569]|  0.1758236737639193|      0.00781250|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[0.5006936926529666, 1.500160906623951, -0.9991228162941734, 0.0137313671387502, 0.0202431802750569]|  0.1758236737639193|      0.00390625|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[0.5006936926529666, 1.500160906623951, -0.9991228162941734, 0.0137313671387502, 0.0202431802750569]|  0.1758236737639193|      0.00195312|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[0.5006936926529666, 1.500160906623951, -0.9991228162941734, 0.0137313671387502, 0.0202431802750569]|  0.1758236737639193|      0.00097656|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[0.5006879456356857, 1.5001642270027982, -0.9991271698988966, 0.0146875642230754, 0.020044941920199]|  0.1559278432165812|      0.00195312|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[0.5016050549992939, 1.5003706565817234, -0.9991338791120311, 0.015194991105782, 0.0216800160637526]|  0.1489530619478330|      0.00390625|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[0.5016050549992939, 1.5003706565817234, -0.9991338791120311, 0.015194991105782, 0.0216800160637526]|  0.1489530619478330|      0.00195312|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[0.5016050549992939, 1.5003706565817234, -0.9991338791120311, 0.015194991105782, 0.0216800160637526]|  0.1489530619478330|      0.00097656|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[0.5016050549992939, 1.5003706565817234, -0.9991338791120311, 0.015194991105782, 0.0216800160637526]|  0.1489530619478330|      0.00048828|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[0.5013487585752254, 1.500194811153888, -0.9993958566310887, 0.015307831063483, 0.0219258697419337]|  0.1469691051516847|      0.00097656|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[0.5008661271775785, 1.5006586596644926, -0.9993782952936037, 0.0152471762565433, 0.0226341058631831]|  0.1444157209656014|      0.00195312|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      20|[0.5008661271775785, 1.5006586596644926, -0.9993782952936037, 0.0152471762565433, 0.0226341058631831]|  0.1444157209656014|      0.00097656|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[0.5008661271775785, 1.5006586596644926, -0.9993782952936037, 0.0152471762565433, 0.0226341058631831]|  0.1444157209656014|      0.00048828|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[0.5007154745636769, 1.5006332549556256, -0.9994759340635555, 0.0156999758624162, 0.0226568249590541]|  0.1427291895715361|      0.00097656|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[0.5007154745636769, 1.5006332549556256, -0.9994759340635555, 0.0156999758624162, 0.0226568249590541]|  0.1427291895715361|      0.00048828|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[0.5006209005999502, 1.5005353507507202, -0.9994273187347987, 0.0153870409896908, 0.0230026535674581]|  0.1419955410642749|      0.00097656|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[0.4999048661750906, 1.5004544420854202, -1.0000023249504442, 0.0157081730692651, 0.0230284381779671]|  0.1388753816527014|      0.00195312|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
