k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[33, 0, 1, 3]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[66, 0, 2, 6]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[99, 0, 3, 9]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[132, 0, 4, 12]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[165, 0, 5, 15]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[198, 0, 6, 18]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[231, 0, 7, 21]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       8|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00390625|[264, 0, 8, 24]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       9|[-0.0035722157285933, -0.0005090107239368, -0.0001077271442274, -0.0001344530696212, 0.0003572672799178, 0.0012523511981478, -0.0004656942261682, 4.01154212352e-05, 0.0002534014882623, -5.88790241451e-05, -7.7200643525e-06, 0.0003564173430852, 0.0002717908038666, -9.0565027015e-06, 0.9998385653715156]|2119.3884246557363440|      0.00781250|[297, 0, 9, 27]                                                            |  | used linear model with 33 points | iterate success | actual_k=0
      10|[-0.0035722157285933, -0.0005090107239368, -0.0001077271442274, -0.0001344530696212, 0.0003572672799178, 0.0012523511981478, -0.0004656942261682, 4.01154212352e-05, 0.0002534014882623, -5.88790241451e-05, -7.7200643525e-06, 0.0003564173430852, 0.0002717908038666, -9.0565027015e-06, 0.9998385653715156]|2119.3884246557363440|      0.00390625|[330, 0, 10, 30]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
      11|[-0.0035722157285933, -0.0005090107239368, -0.0001077271442274, -0.0001344530696212, 0.0003572672799178, 0.0012523511981478, -0.0004656942261682, 4.01154212352e-05, 0.0002534014882623, -5.88790241451e-05, -7.7200643525e-06, 0.0003564173430852, 0.0002717908038666, -9.0565027015e-06, 0.9998385653715156]|2119.3884246557363440|      0.00195312|[363, 0, 11, 33]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
      12|[-0.0035722157285933, -0.0005090107239368, -0.0001077271442274, -0.0001344530696212, 0.0003572672799178, 0.0012523511981478, -0.0004656942261682, 4.01154212352e-05, 0.0002534014882623, -5.88790241451e-05, -7.7200643525e-06, 0.0003564173430852, 0.0002717908038666, -9.0565027015e-06, 0.9998385653715156]|2119.3884246557363440|      0.00097656|[396, 0, 12, 36]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
