k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[54, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[106, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[99.99668417042486, 0.0758661199631026, 0.2302922752595014, 0.8123777071831172, 100.00169002903311, 0.0367734184357063, 0.0965526745844651, 0.7353885782480337, 99.95206027904351, 0.0193772661073629, 0.3053142833115531, 0.7714113608614033, 100.03789451234545, 0.1774162902979413, 0.3624327621651035, 0.6270501879494542, 99.95711851636082, 0.3293291496795592, 0.476925276245077, 0.2989534127559204, 99.97044426129182, 0.5984107322633871, 0.6101241091836159, -2.5676633528e-06, 300.01375264732843, 299.9644135390727, 300.05609466631023, 299.93156385904365, 299.9523576659451]|522.1729125976562500|      0.50000000|[133, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[99.99668417042486, 0.0758661199631026, 0.2302922752595014, 0.8123777071831172, 100.00169002903311, 0.0367734184357063, 0.0965526745844651, 0.7353885782480337, 99.95206027904351, 0.0193772661073629, 0.3053142833115531, 0.7714113608614033, 100.03789451234545, 0.1774162902979413, 0.3624327621651035, 0.6270501879494542, 99.95711851636082, 0.3293291496795592, 0.476925276245077, 0.2989534127559204, 99.97044426129182, 0.5984107322633871, 0.6101241091836159, -2.5676633528e-06, 300.01375264732843, 299.9644135390727, 300.05609466631023, 299.93156385904365, 299.9523576659451]|522.1729125976562500|      0.25000000|[185, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[99.95516618817042, 0.0781060970471724, 0.2696098303586763, 0.8163476388188746, 99.97092102852197, 0.0786002557743266, 0.1706775480204985, 0.7381178684885342, 99.93136739394775, 0.0635012496576049, 0.1898277856900898, 0.7469878720870132, 100.07303795474382, 0.1298065861320011, 0.2861551542110968, 0.5956693928684255, 99.98848374941672, 0.3123696688110395, 0.5048450665487126, 0.2746997589849016, 100.02795990507107, 0.5505867897711083, 0.6190260260475875, 0.0313039618815929, 299.9897802284852, 299.9490743202152, 299.93879408678123, 299.9337623770446, 299.92933573960903]|410.4913330078125000|      0.50000000|[211, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[99.95516618817042, 0.0781060970471724, 0.2696098303586763, 0.8163476388188746, 99.97092102852197, 0.0786002557743266, 0.1706775480204985, 0.7381178684885342, 99.93136739394775, 0.0635012496576049, 0.1898277856900898, 0.7469878720870132, 100.07303795474382, 0.1298065861320011, 0.2861551542110968, 0.5956693928684255, 99.98848374941672, 0.3123696688110395, 0.5048450665487126, 0.2746997589849016, 100.02795990507107, 0.5505867897711083, 0.6190260260475875, 0.0313039618815929, 299.9897802284852, 299.9490743202152, 299.93879408678123, 299.9337623770446, 299.92933573960903]|410.4913330078125000|      0.25000000|[263, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[99.95516618817042, 0.0781060970471724, 0.2696098303586763, 0.8163476388188746, 99.97092102852197, 0.0786002557743266, 0.1706775480204985, 0.7381178684885342, 99.93136739394775, 0.0635012496576049, 0.1898277856900898, 0.7469878720870132, 100.07303795474382, 0.1298065861320011, 0.2861551542110968, 0.5956693928684255, 99.98848374941672, 0.3123696688110395, 0.5048450665487126, 0.2746997589849016, 100.02795990507107, 0.5505867897711083, 0.6190260260475875, 0.0313039618815929, 299.9897802284852, 299.9490743202152, 299.93879408678123, 299.9337623770446, 299.92933573960903]|410.4913330078125000|      0.12500000|[314, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[99.99363688265339, 0.1244037502587385, 0.3010715555465271, 0.8329150163805238, 100.02043374912195, 0.0518899417784385, 0.1616791079775001, 0.7360414055731671, 99.91875787485863, 0.1109902870148398, 0.2093212261493485, 0.7546320815422647, 100.09460443328159, 0.1575418430191943, 0.2785874736575121, 0.5974525216449388, 99.97856347070254, 0.2672596469087524, 0.490437465508804, 0.2742750039308176, 100.02518149114078, 0.5584708601967642, 0.6185848486225275, 0.0267861967252482, 299.974419231444, 299.9361147440235, 299.9584791184768, 299.9319094507352, 299.9399717249003]|335.3532409667968750|      0.25000000|[340, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       9|[99.99363688265339, 0.1244037502587385, 0.3010715555465271, 0.8329150163805238, 100.02043374912195, 0.0518899417784385, 0.1616791079775001, 0.7360414055731671, 99.91875787485863, 0.1109902870148398, 0.2093212261493485, 0.7546320815422647, 100.09460443328159, 0.1575418430191943, 0.2785874736575121, 0.5974525216449388, 99.97856347070254, 0.2672596469087524, 0.490437465508804, 0.2742750039308176, 100.02518149114078, 0.5584708601967642, 0.6185848486225275, 0.0267861967252482, 299.974419231444, 299.9361147440235, 299.9584791184768, 299.9319094507352, 299.9399717249003]|335.3532409667968750|      0.12500000|[390, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[100.0071180173926, 0.1136685111357469, 0.3070872507370575, 0.8286870678451949, 99.98897320642293, 0.1436552708168691, 0.1906963087182446, 0.7291020775022555, 99.93374671000672, 0.0833385652016138, 0.1802881183875211, 0.7353626083933684, 100.0859257923387, 0.1783199055874033, 0.2906915962924247, 0.6242627210490643, 99.97970671873802, 0.2573664888574785, 0.4952779539856112, 0.2593528149888643, 100.0121513977937, 0.5493622068676776, 0.6088807361581884, 0.0074671518209165, 299.96702906755746, 299.93390162518546, 299.9661409176771, 299.94414458765493, 299.9319747360704]|282.1394653320312500|      0.25000000|[416, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
