k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.2383899160004454, 0.3510748639703752, 0.4248730750494958, 0.343536981117608] |  0.0036884678700566|      0.12500000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[0.2383899160004454, 0.3510748639703752, 0.4248730750494958, 0.343536981117608] |  0.0036884678700566|      0.06250000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.2383899160004454, 0.3510748639703752, 0.4248730750494958, 0.343536981117608] |  0.0036884678700566|      0.03125000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.2383899160004454, 0.3510748639703752, 0.4248730750494958, 0.343536981117608] |  0.0036884678700566|      0.01562500|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.2334885311503033, 0.3649694056076158, 0.4199206115606728, 0.3419457961397813]|  0.0032528574484165|      0.03125000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.2334885311503033, 0.3649694056076158, 0.4199206115606728, 0.3419457961397813]|  0.0032528574484165|      0.01562500|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.220985227731237, 0.3701905654011249, 0.4273322358935888, 0.344315467798289]  |  0.0031430657339309|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[0.220985227731237, 0.3701905654011249, 0.4273322358935888, 0.344315467798289]  |  0.0031430657339309|      0.01562500|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.2275156010640442, 0.3842747702670068, 0.4266093711808121, 0.3427006956666708]|  0.0028369477076994|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[0.2275156010640442, 0.3842747702670068, 0.4266093711808121, 0.3427006956666708]|  0.0028369477076994|      0.01562500|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.229497961808392, 0.3867936319697262, 0.4161664865192608, 0.3315287501535841] |  0.0026582812526641|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      16|[0.229497961808392, 0.3867936319697262, 0.4161664865192608, 0.3315287501535841] |  0.0026582812526641|      0.01562500|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      17|[0.229497961808392, 0.3867936319697262, 0.4161664865192608, 0.3315287501535841] |  0.0026582812526641|      0.00781250|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      18|[0.2228646586775568, 0.3871775933341564, 0.4164765909336001, 0.3274310856056636]|  0.0023978790576200|      0.01562500|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      19|[0.2138281609422737, 0.3905897955222136, 0.4071700642343583, 0.3194168625800458]|  0.0022395587996725|      0.03125000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      20|[0.2138281609422737, 0.3905897955222136, 0.4071700642343583, 0.3194168625800458]|  0.0022395587996725|      0.01562500|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
