k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 5.0, 1.0]                                                                 |634.1111111111110858|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.013190040391857, 4.001864213050263, 1.0595900465236419]                      |265.6824949470930051|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[2.3974068347629225, 2.1130884285548213, 1.5933535623495656]                    | 58.1171159042527421|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[2.3974068347629225, 2.1130884285548213, 1.5933535623495656]                    | 58.1171159042527421|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.5829825276215597, 0.3270817168387181, 1.2100872402674603]                    | 12.6158270361866442|      4.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[1.5829825276215597, 0.3270817168387181, 1.2100872402674603]                    | 12.6158270361866442|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[3.073101186225052, -0.4810100162876055, 0.148704117104753]                     |  3.7682219976813101|      4.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[3.073101186225052, -0.4810100162876055, 0.148704117104753]                     |  3.7682219976813101|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[3.073101186225052, -0.4810100162876055, 0.148704117104753]                     |  3.7682219976813101|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[3.073101186225052, -0.4810100162876055, 0.148704117104753]                     |  3.7682219976813101|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[3.5607233618042495, -0.4107853952677322, 0.2341038623387145]                   |  2.1034666054595590|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[4.525399580748196, -0.1481067774872026, 0.2141104543020587]                    |  0.2278256211642334|      2.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[4.525399580748196, -0.1481067774872026, 0.2141104543020587]                    |  0.2278256211642334|      1.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[4.525399580748196, -0.1481067774872026, 0.2141104543020587]                    |  0.2278256211642334|      0.50000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[4.994953167641527, -0.0199531262169927, 0.0996723893860486]                    |  0.0004206535786072|      1.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[4.994953167641527, -0.0199531262169927, 0.0996723893860486]                    |  0.0004206535786072|      0.50000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
