k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.802323049857495, -0.6124504123783181, 0.3426541284456871, 0.3697834758636341, -0.1543637874851593, 0.5032477229117026, 0.5702541284475847]|51257.6722054851270514|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[9.723979147053047, 0.2217649382170203, -0.2819924455312439, 1.9891133100108898, 0.2703684800212685, 0.2180179225891211, 0.7244649890597866]|38887.2191946709790500|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[9.723979147053047, 0.2217649382170203, -0.2819924455312439, 1.9891133100108898, 0.2703684800212685, 0.2180179225891211, 0.7244649890597866]|38887.2191946709790500|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[9.723979147053047, 0.2217649382170203, -0.2819924455312439, 1.9891133100108898, 0.2703684800212685, 0.2180179225891211, 0.7244649890597866]|38887.2191946709790500|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[9.723979147053047, 0.2217649382170203, -0.2819924455312439, 1.9891133100108898, 0.2703684800212685, 0.2180179225891211, 0.7244649890597866]|38887.2191946709790500|      0.50000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[9.750286803002147, 0.1197173753231446, -0.3673937776404732, 2.2230341335031794, 0.0716291559077628, 0.2218270178537509, 0.3538303511740185]|22690.1300550551532069|      1.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[9.750286803002147, 0.1197173753231446, -0.3673937776404732, 2.2230341335031794, 0.0716291559077628, 0.2218270178537509, 0.3538303511740185]|22690.1300550551532069|      0.50000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[9.750286803002147, 0.1197173753231446, -0.3673937776404732, 2.2230341335031794, 0.0716291559077628, 0.2218270178537509, 0.3538303511740185]|22690.1300550551532069|      0.25000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[9.690900174651956, 0.1310565334285463, -0.3596494066393511, 2.2752054006609184, 0.0408796192032851, 0.1777365615022354, 0.1232369143229562]|10924.2448928517405875|      0.50000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[9.690900174651956, 0.1310565334285463, -0.3596494066393511, 2.2752054006609184, 0.0408796192032851, 0.1777365615022354, 0.1232369143229562]|10924.2448928517405875|      0.25000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[9.690900174651956, 0.1310565334285463, -0.3596494066393511, 2.2752054006609184, 0.0408796192032851, 0.1777365615022354, 0.1232369143229562]|10924.2448928517405875|      0.12500000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[9.690900174651956, 0.1310565334285463, -0.3596494066393511, 2.2752054006609184, 0.0408796192032851, 0.1777365615022354, 0.1232369143229562]|10924.2448928517405875|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[9.690900174651956, 0.1310565334285463, -0.3596494066393511, 2.2752054006609184, 0.0408796192032851, 0.1777365615022354, 0.1232369143229562]|10924.2448928517405875|      0.03125000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[9.69555791396989, 0.1262751194686426, -0.3620589346215284, 2.273219027196575, 0.0437155945485577, 0.1834587058207049, 0.1529264553869921]|7383.8283201064587047|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[9.69555791396989, 0.1262751194686426, -0.3620589346215284, 2.273219027196575, 0.0437155945485577, 0.1834587058207049, 0.1529264553869921]|7383.8283201064587047|      0.03125000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[9.69555791396989, 0.1262751194686426, -0.3620589346215284, 2.273219027196575, 0.0437155945485577, 0.1834587058207049, 0.1529264553869921]|7383.8283201064587047|      0.01562500|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[9.69555791396989, 0.1262751194686426, -0.3620589346215284, 2.273219027196575, 0.0437155945485577, 0.1834587058207049, 0.1529264553869921]|7383.8283201064587047|      0.00781250|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[9.69555791396989, 0.1262751194686426, -0.3620589346215284, 2.273219027196575, 0.0437155945485577, 0.1834587058207049, 0.1529264553869921]|7383.8283201064587047|      0.00390625|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[9.696154666966159, 0.1256440396232738, -0.362006817334226, 2.272435130308972, 0.043194834221081, 0.1826103507965639, 0.1565175979690996]|7354.2087278178587439|      0.00781250|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      20|[9.696154666966159, 0.1256440396232738, -0.362006817334226, 2.272435130308972, 0.043194834221081, 0.1826103507965639, 0.1565175979690996]|7354.2087278178587439|      0.00390625|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      21|[9.696154666966159, 0.1256440396232738, -0.362006817334226, 2.272435130308972, 0.043194834221081, 0.1826103507965639, 0.1565175979690996]|7354.2087278178587439|      0.00195312|[147, 42, 21, 63]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      22|[9.696154666966159, 0.1256440396232738, -0.362006817334226, 2.272435130308972, 0.043194834221081, 0.1826103507965639, 0.1565175979690996]|7354.2087278178587439|      0.00097656|[154, 44, 22, 66]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      23|[9.696007634814137, 0.1259805395075124, -0.3621060712718907, 2.272297150842834, 0.0434839656038387, 0.1834332808792808, 0.1566882529890437]|7352.2206180411067180|      0.00195312|[161, 46, 23, 69]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      24|[9.695061415478126, 0.126036756158907, -0.362182491128686, 2.272130405355364, 0.0432963887235216, 0.1851140920047302, 0.1568374198228955]|7348.5676797154928863|      0.00390625|[168, 48, 24, 72]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
