k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.50000000|[57, 8, 1, 2]                                                              |  | used linear model with 65 points | iterate failure | actual_k=8
       2|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.25000000|[114, 16, 2, 4]                                                            |  | used linear model with 65 points | iterate failure | actual_k=8
       3|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.12500000|[171, 24, 3, 6]                                                            |  | used linear model with 65 points | iterate failure | actual_k=8
       4|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.06250000|[228, 32, 4, 8]                                                            |  | used linear model with 65 points | iterate failure | actual_k=8
       5|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.03125000|[285, 40, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       6|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.01562500|[342, 48, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       7|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00781250|[399, 56, 7, 14]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       8|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00390625|[456, 64, 8, 16]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       9|[107.46983470670764, 0.0950581008951734, 0.9090100313459554, 102.40036199484736, 0.1818853049245703, 0.8176215031635622, 97.44024969618968, 0.2845159731209984, 0.715581259442879, 96.30031995126217, 0.3048753596922653, 0.6957286855579169, 93.99024201624724, 0.3567632249978067, 0.6432927254748974, 89.72012223215027, 0.4672545016744225, 0.5319612770766102, 83.71054785124652, 0.6579457637136342, 0.3415116621519435, 78.3108715128867, 0.8771714213421761, 0.123799167487851, 886.3703731474616, 910.0102034645699, 922.519722365864, 926.4601375505147, 935.5595600802837, 952.8299467945777, 975.729861534175]|  0.7858146910199761|      0.00781250|[513, 72, 9, 18]                                                           |  | used linear model with 65 points | iterate success | actual_k=8
      10|[107.46983470670764, 0.0950581008951734, 0.9090100313459554, 102.40036199484736, 0.1818853049245703, 0.8176215031635622, 97.44024969618968, 0.2845159731209984, 0.715581259442879, 96.30031995126217, 0.3048753596922653, 0.6957286855579169, 93.99024201624724, 0.3567632249978067, 0.6432927254748974, 89.72012223215027, 0.4672545016744225, 0.5319612770766102, 83.71054785124652, 0.6579457637136342, 0.3415116621519435, 78.3108715128867, 0.8771714213421761, 0.123799167487851, 886.3703731474616, 910.0102034645699, 922.519722365864, 926.4601375505147, 935.5595600802837, 952.8299467945777, 975.729861534175]|  0.7858146910199761|      0.00390625|[570, 80, 10, 20]                                                          |  | used linear model with 65 points | iterate failure | actual_k=8
      11|[107.46983470670764, 0.0950581008951734, 0.9090100313459554, 102.40036199484736, 0.1818853049245703, 0.8176215031635622, 97.44024969618968, 0.2845159731209984, 0.715581259442879, 96.30031995126217, 0.3048753596922653, 0.6957286855579169, 93.99024201624724, 0.3567632249978067, 0.6432927254748974, 89.72012223215027, 0.4672545016744225, 0.5319612770766102, 83.71054785124652, 0.6579457637136342, 0.3415116621519435, 78.3108715128867, 0.8771714213421761, 0.123799167487851, 886.3703731474616, 910.0102034645699, 922.519722365864, 926.4601375505147, 935.5595600802837, 952.8299467945777, 975.729861534175]|  0.7858146910199761|      0.00195312|[627, 88, 11, 22]                                                          |  | used linear model with 65 points | iterate failure | actual_k=8
