k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0817223703365938, 0.9137575033218298, 1.3864303645244145]                    |  6.7981634369403308|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[0.0817223703365938, 0.9137575033218298, 1.3864303645244145]                    |  6.7981634369403308|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.0817223703365938, 0.9137575033218298, 1.3864303645244145]                    |  6.7981634369403308|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-0.1855662558944373, 1.2148428723387428, 1.6829171110266443]                   |  0.9623747137730694|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[-0.1855662558944373, 1.2148428723387428, 1.6829171110266443]                   |  0.9623747137730694|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-0.1855662558944373, 1.2148428723387428, 1.6829171110266443]                   |  0.9623747137730694|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.1855662558944373, 1.2148428723387428, 1.6829171110266443]                   |  0.9623747137730694|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[-0.0674641474251928, 1.2230862989555424, 1.7230286790928797]                   |  0.6035437675218307|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[-0.0674641474251928, 1.2230862989555424, 1.7230286790928797]                   |  0.6035437675218307|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-0.0810902934314743, 1.313926026446457, 1.8078076390675804]                    |  0.3557345255367387|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[0.0800455406842285, 1.5008881948504187, 1.8475617652625473]                    |  0.0458924757450153|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[0.0800455406842285, 1.5008881948504187, 1.8475617652625473]                    |  0.0458924757450153|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.0800455406842285, 1.5008881948504187, 1.8475617652625473]                    |  0.0458924757450153|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.0800455406842285, 1.5008881948504187, 1.8475617652625473]                    |  0.0458924757450153|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.0800455406842285, 1.5008881948504187, 1.8475617652625473]                    |  0.0458924757450153|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
