k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.834560625743133, -1.0153512672641027, 0.0022686304321162, 0.0257911535701885, -0.1304493255255401, 0.456355237080987, -0.2941241569795929]|56103.3593750000000000|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[10.834560625743133, -1.0153512672641027, 0.0022686304321162, 0.0257911535701885, -0.1304493255255401, 0.456355237080987, -0.2941241569795929]|56103.3593750000000000|      1.00000000|[58, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[10.834560625743133, -1.0153512672641027, 0.0022686304321162, 0.0257911535701885, -0.1304493255255401, 0.456355237080987, -0.2941241569795929]|56103.3593750000000000|      0.50000000|[87, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[10.835967421358498, -0.7803389953926071, -0.0359670778277455, -0.3343487126359206, -0.2541767709785044, 0.6708883258071152, -0.3417858130787914]|49124.5000000000000000|      1.00000000|[115, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       5|[10.835967421358498, -0.7803389953926071, -0.0359670778277455, -0.3343487126359206, -0.2541767709785044, 0.6708883258071152, -0.3417858130787914]|49124.5000000000000000|      0.50000000|[144, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[10.835967421358498, -0.7803389953926071, -0.0359670778277455, -0.3343487126359206, -0.2541767709785044, 0.6708883258071152, -0.3417858130787914]|49124.5000000000000000|      0.25000000|[172, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[10.891611933835819, -0.7912443139077514, -0.0771577282853867, -0.4671469714631598, -0.2506512774778122, 0.6580334571364179, -0.1423490103727454]|35822.2382812500000000|      0.50000000|[200, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       8|[10.891611933835819, -0.7912443139077514, -0.0771577282853867, -0.4671469714631598, -0.2506512774778122, 0.6580334571364179, -0.1423490103727454]|35822.2382812500000000|      0.25000000|[228, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[10.891611933835819, -0.7912443139077514, -0.0771577282853867, -0.4671469714631598, -0.2506512774778122, 0.6580334571364179, -0.1423490103727454]|35822.2382812500000000|      0.12500000|[257, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[10.891611933835819, -0.7912443139077514, -0.0771577282853867, -0.4671469714631598, -0.2506512774778122, 0.6580334571364179, -0.1423490103727454]|35822.2382812500000000|      0.06250000|[285, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[10.894289617896787, -0.7917850068684557, -0.0746585520831528, -0.4853806700266907, -0.2525423084392162, 0.6613903808730283, -0.0828071840728581]|24415.8476562500000000|      0.12500000|[314, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      12|[10.894289617896787, -0.7917850068684557, -0.0746585520831528, -0.4853806700266907, -0.2525423084392162, 0.6613903808730283, -0.0828071840728581]|24415.8476562500000000|      0.06250000|[342, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[10.894289617896787, -0.7917850068684557, -0.0746585520831528, -0.4853806700266907, -0.2525423084392162, 0.6613903808730283, -0.0828071840728581]|24415.8476562500000000|      0.03125000|[370, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[10.89478186287404, -0.7921495107423563, -0.074590003318751, -0.4914808622029442, -0.2526693301558304, 0.6604946408269187, -0.0521779202302311]|23333.5546875000000000|      0.06250000|[398, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      15|[10.89478186287404, -0.7921495107423563, -0.074590003318751, -0.4914808622029442, -0.2526693301558304, 0.6604946408269187, -0.0521779202302311]|23333.5546875000000000|      0.03125000|[426, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[10.89478186287404, -0.7921495107423563, -0.074590003318751, -0.4914808622029442, -0.2526693301558304, 0.6604946408269187, -0.0521779202302311]|23333.5546875000000000|      0.01562500|[454, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[10.89478186287404, -0.7921495107423563, -0.074590003318751, -0.4914808622029442, -0.2526693301558304, 0.6604946408269187, -0.0521779202302311]|23333.5546875000000000|      0.00781250|[482, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[10.89478186287404, -0.7921495107423563, -0.074590003318751, -0.4914808622029442, -0.2526693301558304, 0.6604946408269187, -0.0521779202302311]|23333.5546875000000000|      0.00390625|[510, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[10.894589906042887, -0.7909218212524417, -0.075110029470945, -0.4915444688804068, -0.2525967510447108, 0.6587887573256848, -0.0554221367609654]|19869.8691406250000000|      0.00781250|[538, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      20|[10.894589906042887, -0.7909218212524417, -0.075110029470945, -0.4915444688804068, -0.2525967510447108, 0.6587887573256848, -0.0554221367609654]|19869.8691406250000000|      0.00390625|[566, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[10.894408254014612, -0.7906774136367911, -0.0753177110382258, -0.4915546667606809, -0.2526038450228602, 0.6586918614376959, -0.0593097300720964]|19174.1035156250000000|      0.00781250|[594, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      22|[10.894408254014612, -0.7906774136367911, -0.0753177110382258, -0.4915546667606809, -0.2526038450228602, 0.6586918614376959, -0.0593097300720964]|19174.1035156250000000|      0.00390625|[622, 44, 0, 44]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[10.894408254014612, -0.7906774136367911, -0.0753177110382258, -0.4915546667606809, -0.2526038450228602, 0.6586918614376959, -0.0593097300720964]|19174.1035156250000000|      0.00195312|[651, 46, 0, 46]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[10.894408254014612, -0.7906774136367911, -0.0753177110382258, -0.4915546667606809, -0.2526038450228602, 0.6586918614376959, -0.0593097300720964]|19174.1035156250000000|      0.00097656|[679, 48, 0, 48]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[10.894487983000408, -0.7909407980590766, -0.0755587901967298, -0.4921341971787415, -0.2528945629941324, 0.6580771136922287, -0.0594564946993991]|19144.2421875000000000|      0.00195312|[707, 50, 0, 50]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      26|[10.894857522630769, -0.7908238592599693, -0.076141127363625, -0.4936038864686845, -0.2527715070688865, 0.6571875278597231, -0.0600555390595493]|19098.5390625000000000|      0.00390625|[735, 52, 0, 52]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      27|[10.894857522630769, -0.7908238592599693, -0.076141127363625, -0.4936038864686845, -0.2527715070688865, 0.6571875278597231, -0.0600555390595493]|19098.5390625000000000|      0.00195312|[764, 54, 0, 54]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[10.895201158220491, -0.7909067719291273, -0.0765374338327309, -0.4944465983756167, -0.2524932307714315, 0.6563204471972574, -0.0586437144996599]|19051.2890625000000000|      0.00390625|[792, 56, 0, 56]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      29|[10.895737146850895, -0.7913585717667846, -0.0773311167832075, -0.4968127807493226, -0.2533718703493914, 0.6540672812735931, -0.0602837956922349]|18953.7675781250000000|      0.00781250|[820, 58, 0, 58]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      30|[10.895737146850895, -0.7913585717667846, -0.0773311167832075, -0.4968127807493226, -0.2533718703493914, 0.6540672812735931, -0.0602837956922349]|18953.7675781250000000|      0.00390625|[848, 60, 0, 60]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[10.894907749166016, -0.7907799725324512, -0.0759674224918535, -0.4967876145206843, -0.2545272105153088, 0.6507518506141732, -0.0600626065127812]|18879.1933593750000000|      0.00781250|[876, 62, 0, 62]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      32|[10.894907749166016, -0.7907799725324512, -0.0759674224918535, -0.4967876145206843, -0.2545272105153088, 0.6507518506141732, -0.0600626065127812]|18879.1933593750000000|      0.00390625|[905, 64, 0, 64]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[10.894907749166016, -0.7907799725324512, -0.0759674224918535, -0.4967876145206843, -0.2545272105153088, 0.6507518506141732, -0.0600626065127812]|18879.1933593750000000|      0.00195312|[933, 66, 0, 66]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[10.894730531232922, -0.7908817163452403, -0.0759713770798555, -0.497814541862554, -0.2542851708526963, 0.6502017477221693, -0.0585273060626869]|18812.1992187500000000|      0.00390625|[961, 68, 0, 68]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      35|[10.894730531232922, -0.7908817163452403, -0.0759713770798555, -0.497814541862554, -0.2542851708526963, 0.6502017477221693, -0.0585273060626869]|18812.1992187500000000|      0.00195312|[989, 70, 0, 70]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
