k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.5478175720546333, -0.493891253761313, 0.840425810102604, 0.4521943190448766, 0.9802426706489591, 0.6394143666546834]|521.3198852539062500|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[-0.5478175720546333, -0.493891253761313, 0.840425810102604, 0.4521943190448766, 0.9802426706489591, 0.6394143666546834]|521.3198852539062500|      1.00000000|[15, 0, 0, 5]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[-0.5823751114685737, -0.503113325541938, 0.5513650555940699, 1.395521414535967, 1.1051504026168262, 0.5409427490602164]|414.9835815429687500|      2.00000000|[21, 0, 0, 7]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[-0.5823751114685737, -0.503113325541938, 0.5513650555940699, 1.395521414535967, 1.1051504026168262, 0.5409427490602164]|414.9835815429687500|      1.00000000|[29, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[-0.2851531800108149, -1.2820580260980434, 0.1702551504887318, 1.1595800255553395, 1.2118974199774906, 0.2366464256891096]|335.1031494140625000|      2.00000000|[35, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[-0.2851531800108149, -1.2820580260980434, 0.1702551504887318, 1.1595800255553395, 1.2118974199774906, 0.2366464256891096]|335.1031494140625000|      1.00000000|[43, 0, 0, 15]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-0.2036234657705455, -1.1273642741835288, 0.8103782552000187, 1.7623272259633826, 1.0515690161542415, 0.6497514667586282]|257.9715576171875000|      2.00000000|[49, 0, 0, 17]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[-0.2036234657705455, -1.1273642741835288, 0.8103782552000187, 1.7623272259633826, 1.0515690161542415, 0.6497514667586282]|257.9715576171875000|      1.00000000|[57, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.528417156238895, -1.3613479555536196, 0.4511877972887303, 2.527533649457646, 0.700709210980248, 0.6039318532037927]|142.8100585937500000|      2.00000000|[63, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[-0.528417156238895, -1.3613479555536196, 0.4511877972887303, 2.527533649457646, 0.700709210980248, 0.6039318532037927]|142.8100585937500000|      1.00000000|[71, 0, 0, 25]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
