k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.7, 90.0, 1500.0, 10.0]                                                       |29053.0023566288800794|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.8247268845284943, 89.62628195699018, 1499.8916495847166, 10.287214179959143] |26176.4777080376079539|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[1.8247268845284943, 89.62628195699018, 1499.8916495847166, 10.287214179959143] |26176.4777080376079539|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[2.1757408175486166, 89.39419619109985, 1499.8816527593658, 11.194311462272207] |20277.6143135619058739|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[2.1940152584413513, 90.02215049546135, 1499.0781969919922, 12.914717887021274] |13515.4369351108853152|      4.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[2.1940152584413513, 90.02215049546135, 1499.0781969919922, 12.914717887021274] |13515.4369351108853152|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[2.686685150966048, 89.13995924421661, 1499.4421491014182, 14.601891214000847]  |7475.9432157555265803|      4.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[2.686685150966048, 89.13995924421661, 1499.4421491014182, 14.601891214000847]  |7475.9432157555265803|      2.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[2.686685150966048, 89.13995924421661, 1499.4421491014182, 14.601891214000847]  |7475.9432157555265803|      1.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[2.686685150966048, 89.13995924421661, 1499.4421491014182, 14.601891214000847]  |7475.9432157555265803|      0.50000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[2.6808885837469383, 89.10739166903002, 1499.2978578137822, 15.07947448126142]  |6299.9216831152898521|      1.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[2.6808885837469383, 89.10739166903002, 1499.2978578137822, 15.07947448126142]  |6299.9216831152898521|      0.50000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[2.6808885837469383, 89.10739166903002, 1499.2978578137822, 15.07947448126142]  |6299.9216831152898521|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[2.5720477228753733, 89.15111843460525, 1499.428500133763, 15.25744701062233]   |5948.7440301736751280|      0.50000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[2.707467516446242, 89.01959907867314, 1499.524452713466, 15.71038987785037]    |4999.2205260080463631|      1.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
