k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.12500000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.06250000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.03125000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.01562500|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.00781250|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.0990403833109649, 0.0036546994882537, 0.0155445030046293]                    |2979.5419921875000000|      0.01562500|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[0.0990403833109649, 0.0036546994882537, 0.0155445030046293]                    |2979.5419921875000000|      0.00781250|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.0990403833109649, 0.0036546994882537, 0.0155445030046293]                    |2979.5419921875000000|      0.00390625|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.0990403833109649, 0.0036546994882537, 0.0155445030046293]                    |2979.5419921875000000|      0.00195312|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.0990403833109649, 0.0036546994882537, 0.0155445030046293]                    |2979.5419921875000000|      0.00097656|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.0990403833109649, 0.0036546994882537, 0.0155445030046293]                    |2979.5419921875000000|      0.00048828|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.0990403833109649, 0.0036546994882537, 0.0155445030046293]                    |2979.5419921875000000|      0.00024414|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[0.0990403833109649, 0.0036546994882537, 0.0155445030046293]                    |2979.5419921875000000|      0.00012207|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
