k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[9.801964601319833, 9.783159431624455, 9.831185940646504, 9.785907316865508, -0.088722817703797, -0.0192179175281624, -0.1222734582908329, 0.2573643717207285]|1586.8363354247833286|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[9.570335929577388, 9.313495537473536, 9.28359252950136, 9.377981504213402, 0.1790144608603239, -0.015927909166069, 0.1137238947172236, -0.106109351243691]|1555.7610987014622879|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[9.570335929577388, 9.313495537473536, 9.28359252950136, 9.377981504213402, 0.1790144608603239, -0.015927909166069, 0.1137238947172236, -0.106109351243691]|1555.7610987014622879|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[9.570335929577388, 9.313495537473536, 9.28359252950136, 9.377981504213402, 0.1790144608603239, -0.015927909166069, 0.1137238947172236, -0.106109351243691]|1555.7610987014622879|      0.50000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[9.310779219423416, 9.05189958605701, 9.067674021434128, 9.122315025975503, 0.1522127260068167, 0.0200750110474933, 0.1006995692367521, -0.1008609337015063]|1537.7061284995570531|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[8.569284896566783, 8.513042277326885, 8.986080260248546, 8.807221245287032, 0.0959678516541408, -0.0620525238670897, -0.1071008448894053, -0.128930623999928]|1494.4206492643425008|      2.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[7.932598239651969, 7.035233224861712, 8.17472657510672, 8.359605853848917, 0.3856067947915478, 0.4876265037892188, 0.2947591625131344, -0.0616480264237649]|1249.0674313562747102|      4.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[8.148755014569375, 3.5501484251983633, 7.541283862591004, 7.019321085969663, 0.7345929315532911, 1.6698342756442317, 0.4572050279507603, 0.1914370582420633]|793.6116914530317672|      8.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[5.972165008317861, 3.1606953427492694, 5.829943042484935, 6.0370351497007535, 0.9335265829917012, 3.717536394784538, -5.848858935475774, 3.5407814569073954]|527.5752897929695564|     16.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[5.972165008317861, 3.1606953427492694, 5.829943042484935, 6.0370351497007535, 0.9335265829917012, 3.717536394784538, -5.848858935475774, 3.5407814569073954]|527.5752897929695564|      8.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[5.972165008317861, 3.1606953427492694, 5.829943042484935, 6.0370351497007535, 0.9335265829917012, 3.717536394784538, -5.848858935475774, 3.5407814569073954]|527.5752897929695564|      4.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
