k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.9968000404948976, 2.50045807243162, -8.021157099527889]                      | 81.5971624624597780|      1.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       3|[1.9637155343602897, 1.5011420383242637, -8.037676162145795]                    | 18.9523239135742188|      2.00000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[1.9637155343602897, 1.5011420383242637, -8.037676162145795]                    | 18.9523239135742188|      1.00000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.5789094449565453, 0.5865778202213632, -8.16216136015595]                     |  4.3584966659545898|      2.00000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.5789094449565453, 0.5865778202213632, -8.16216136015595]                     |  4.3584966659545898|      1.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.4125490505449594, -0.3985658855202351, -8.204777063939096]                   |  3.0522096157073975|      2.00000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[1.4125490505449594, -0.3985658855202351, -8.204777063939096]                   |  3.0522096157073975|      1.00000000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.4320273025435335, -0.5714054256465672, -8.11148400382664]                    |  1.2460241317749023|      2.00000000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.4320273025435335, -0.5714054256465672, -8.11148400382664]                    |  1.2460241317749023|      1.00000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.4320273025435335, -0.5714054256465672, -8.11148400382664]                    |  1.2460241317749023|      0.50000000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.4320273025435335, -0.5714054256465672, -8.11148400382664]                    |  1.2460241317749023|      0.25000000|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.1923371123581009, -0.5270015678470444, -8.166953906849729]                   |  1.0985618829727173|      0.50000000|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.1923371123581009, -0.5270015678470444, -8.166953906849729]                   |  1.0985618829727173|      0.25000000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.054211090637413, -0.5456304143301226, -8.203926189419146]                   |  1.0638550519943237|      0.50000000|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
