k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |105126.8339513395767426|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.962165443470261, 1.8452008007152114, 2.880584562947938, 2.4462920363739142]  |95646.3366435157367960|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[1.962165443470261, 1.8452008007152114, 2.880584562947938, 2.4462920363739142]  |95646.3366435157367960|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[1.962165443470261, 1.8452008007152114, 2.880584562947938, 2.4462920363739142]  |95646.3366435157367960|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[2.130113560611825, 2.1626552558060173, 2.5841884521823797, 2.2641782136842195] |90920.4816346017178148|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[2.130113560611825, 2.1626552558060173, 2.5841884521823797, 2.2641782136842195] |90920.4816346017178148|      0.50000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[2.3202015451231044, 2.506470761169447, 2.8400766352510396, 2.437898374235461]  |86034.8141943688679021|      1.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[2.3202015451231044, 2.506470761169447, 2.8400766352510396, 2.437898374235461]  |86034.8141943688679021|      0.50000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[2.4779023711290926, 2.8310625925365605, 2.5701192460406626, 2.2213490715409256]|80337.0760445207270095|      1.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[2.4779023711290926, 2.8310625925365605, 2.5701192460406626, 2.2213490715409256]|80337.0760445207270095|      0.50000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[2.662744367090412, 2.9795177947144387, 2.886722946848418, 2.527219282758354]   |78778.7190285369579215|      1.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[2.662744367090412, 2.9795177947144387, 2.886722946848418, 2.527219282758354]   |78778.7190285369579215|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[2.662744367090412, 2.9795177947144387, 2.886722946848418, 2.527219282758354]   |78778.7190285369579215|      0.25000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[2.7357794740969092, 3.093117621156905, 2.713940630622173, 2.407189187464362]   |72118.6411819848144660|      0.50000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[2.7357794740969092, 3.093117621156905, 2.713940630622173, 2.407189187464362]   |72118.6411819848144660|      0.25000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
