k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.339992363349078, -1.5405478728319262, 0.3740410375536051, 0.0031862480648124, -0.383633168707284, 0.2394004715864116, 0.5648480983496331]|55454.9303090864486876|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[10.339992363349078, -1.5405478728319262, 0.3740410375536051, 0.0031862480648124, -0.383633168707284, 0.2394004715864116, 0.5648480983496331]|55454.9303090864486876|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[10.339992363349078, -1.5405478728319262, 0.3740410375536051, 0.0031862480648124, -0.383633168707284, 0.2394004715864116, 0.5648480983496331]|55454.9303090864486876|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[10.395652812829379, -1.5530248784096583, 0.4137754396264161, 0.4858883117231731, -0.3171413230974318, 0.2353638313517418, 0.4769352225557451]|48911.1971179572501569|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[10.395652812829379, -1.5530248784096583, 0.4137754396264161, 0.4858883117231731, -0.3171413230974318, 0.2353638313517418, 0.4769352225557451]|48911.1971179572501569|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[10.400216522547861, -1.4442257703148238, 0.3278883610189138, 0.7460515600770878, -0.229146990685986, 0.1905409240703841, 0.0853636135084434]|14836.2098066587950598|      1.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[10.400216522547861, -1.4442257703148238, 0.3278883610189138, 0.7460515600770878, -0.229146990685986, 0.1905409240703841, 0.0853636135084434]|14836.2098066587950598|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[10.400216522547861, -1.4442257703148238, 0.3278883610189138, 0.7460515600770878, -0.229146990685986, 0.1905409240703841, 0.0853636135084434]|14836.2098066587950598|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[10.400216522547861, -1.4442257703148238, 0.3278883610189138, 0.7460515600770878, -0.229146990685986, 0.1905409240703841, 0.0853636135084434]|14836.2098066587950598|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[10.400216522547861, -1.4442257703148238, 0.3278883610189138, 0.7460515600770878, -0.229146990685986, 0.1905409240703841, 0.0853636135084434]|14836.2098066587950598|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[10.400216522547861, -1.4442257703148238, 0.3278883610189138, 0.7460515600770878, -0.229146990685986, 0.1905409240703841, 0.0853636135084434]|14836.2098066587950598|      0.03125000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[10.400029826441553, -1.4442088334242351, 0.3280043022249043, 0.7497990345013775, -0.2291789484643608, 0.1906909069191723, 0.0543402862428656]|7024.9234503785573906|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[10.400029826441553, -1.4442088334242351, 0.3280043022249043, 0.7497990345013775, -0.2291789484643608, 0.1906909069191723, 0.0543402862428656]|7024.9234503785573906|      0.03125000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[10.400029826441553, -1.4442088334242351, 0.3280043022249043, 0.7497990345013775, -0.2291789484643608, 0.1906909069191723, 0.0543402862428656]|7024.9234503785573906|      0.01562500|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[10.400029826441553, -1.4442088334242351, 0.3280043022249043, 0.7497990345013775, -0.2291789484643608, 0.1906909069191723, 0.0543402862428656]|7024.9234503785573906|      0.00781250|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[10.400029826441553, -1.4442088334242351, 0.3280043022249043, 0.7497990345013775, -0.2291789484643608, 0.1906909069191723, 0.0543402862428656]|7024.9234503785573906|      0.00390625|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[10.400236491606986, -1.4443071424370284, 0.327983184105196, 0.750003789582585, -0.2293356693121074, 0.1910347956768859, 0.0504645640663106]|6777.4158382142668415|      0.00781250|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[10.400236491606986, -1.4443071424370284, 0.327983184105196, 0.750003789582585, -0.2293356693121074, 0.1910347956768859, 0.0504645640663106]|6777.4158382142668415|      0.00390625|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[10.400236491606986, -1.4443071424370284, 0.327983184105196, 0.750003789582585, -0.2293356693121074, 0.1910347956768859, 0.0504645640663106]|6777.4158382142668415|      0.00195312|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[10.400236491606986, -1.4443071424370284, 0.327983184105196, 0.750003789582585, -0.2293356693121074, 0.1910347956768859, 0.0504645640663106]|6777.4158382142668415|      0.00097656|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
