k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[25, 8, 1, 3]                                                              |  | used linear model with 33 points | iterate failure | actual_k=4
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[50, 16, 2, 6]                                                             |  | used linear model with 33 points | iterate failure | actual_k=4
       3|[119.98468577644948, -0.0282667730665187, 0.853349319310798, 110.0163375205187, 0.1279421693766598, 0.8285540468077207, 99.99787926788429, 0.2952684563541186, 0.7031846931747128, 88.10753328227828, 0.3705993144160501, 0.7344422773516234, 85.96338355071519, 0.3287817525528723, 0.6215465146564426, 84.05836243115183, 0.4529175314361408, 0.5746761965490839, 79.97431847446308, 0.6534995296215574, 0.3794899088184924, 76.00919810780017, 0.9419245527201529, 0.1455177248362204, 886.3974119830795, 910.0617740532161, 922.5021090359179, 926.4456014273877, 935.6231844298356, 952.8578809557498, 975.7393132859168]|1143.2884831617209329|      0.50000000|[75, 24, 3, 9]                                                             |  | used linear model with 33 points | iterate success | actual_k=4
       4|[119.98468577644948, -0.0282667730665187, 0.853349319310798, 110.0163375205187, 0.1279421693766598, 0.8285540468077207, 99.99787926788429, 0.2952684563541186, 0.7031846931747128, 88.10753328227828, 0.3705993144160501, 0.7344422773516234, 85.96338355071519, 0.3287817525528723, 0.6215465146564426, 84.05836243115183, 0.4529175314361408, 0.5746761965490839, 79.97431847446308, 0.6534995296215574, 0.3794899088184924, 76.00919810780017, 0.9419245527201529, 0.1455177248362204, 886.3974119830795, 910.0617740532161, 922.5021090359179, 926.4456014273877, 935.6231844298356, 952.8578809557498, 975.7393132859168]|1143.2884831617209329|      0.25000000|[100, 32, 4, 12]                                                           |  | used linear model with 33 points | iterate failure | actual_k=4
       5|[119.98468577644948, -0.0282667730665187, 0.853349319310798, 110.0163375205187, 0.1279421693766598, 0.8285540468077207, 99.99787926788429, 0.2952684563541186, 0.7031846931747128, 88.10753328227828, 0.3705993144160501, 0.7344422773516234, 85.96338355071519, 0.3287817525528723, 0.6215465146564426, 84.05836243115183, 0.4529175314361408, 0.5746761965490839, 79.97431847446308, 0.6534995296215574, 0.3794899088184924, 76.00919810780017, 0.9419245527201529, 0.1455177248362204, 886.3974119830795, 910.0617740532161, 922.5021090359179, 926.4456014273877, 935.6231844298356, 952.8578809557498, 975.7393132859168]|1143.2884831617209329|      0.12500000|[125, 40, 5, 15]                                                           |  | used linear model with 33 points | iterate failure | actual_k=4
       6|[119.98468577644948, -0.0282667730665187, 0.853349319310798, 110.0163375205187, 0.1279421693766598, 0.8285540468077207, 99.99787926788429, 0.2952684563541186, 0.7031846931747128, 88.10753328227828, 0.3705993144160501, 0.7344422773516234, 85.96338355071519, 0.3287817525528723, 0.6215465146564426, 84.05836243115183, 0.4529175314361408, 0.5746761965490839, 79.97431847446308, 0.6534995296215574, 0.3794899088184924, 76.00919810780017, 0.9419245527201529, 0.1455177248362204, 886.3974119830795, 910.0617740532161, 922.5021090359179, 926.4456014273877, 935.6231844298356, 952.8578809557498, 975.7393132859168]|1143.2884831617209329|      0.06250000|[150, 48, 6, 18]                                                           |  | used linear model with 33 points | iterate failure | actual_k=4
       7|[119.97781713712203, -0.0083838119895609, 0.8735420105721211, 110.0163063826325, 0.1034322632393385, 0.8253951085616117, 99.99671758403491, 0.3051796316095912, 0.6957220042034122, 88.10527759226315, 0.3881955642690162, 0.749322796893442, 85.9583940185177, 0.3501905236635611, 0.6261943641573605, 84.06050109870164, 0.4507249024937597, 0.579224721970725, 79.97075282553737, 0.6503551148531987, 0.3669898261795775, 76.01030238026465, 0.9567216439517545, 0.1450643115982471, 886.3960152624527, 910.0540840513818, 922.5206730645327, 926.4576430440231, 935.6337507723683, 952.861853110307, 975.7274141923629]|921.4373707312923898|      0.12500000|[175, 56, 7, 21]                                                           |  | used linear model with 33 points | iterate success | actual_k=4
       8|[119.97781713712203, -0.0083838119895609, 0.8735420105721211, 110.0163063826325, 0.1034322632393385, 0.8253951085616117, 99.99671758403491, 0.3051796316095912, 0.6957220042034122, 88.10527759226315, 0.3881955642690162, 0.749322796893442, 85.9583940185177, 0.3501905236635611, 0.6261943641573605, 84.06050109870164, 0.4507249024937597, 0.579224721970725, 79.97075282553737, 0.6503551148531987, 0.3669898261795775, 76.01030238026465, 0.9567216439517545, 0.1450643115982471, 886.3960152624527, 910.0540840513818, 922.5206730645327, 926.4576430440231, 935.6337507723683, 952.861853110307, 975.7274141923629]|921.4373707312923898|      0.06250000|[200, 64, 8, 24]                                                           |  | used linear model with 33 points | iterate failure | actual_k=4
       9|[119.9939271913996, -0.0364354605789279, 0.8606504187409582, 110.02141211358169, 0.1138460960074445, 0.8275586817584155, 99.98306458965646, 0.2825349939458467, 0.683311304164899, 88.10940791707458, 0.4000690622861764, 0.7439817239385076, 85.96199454301183, 0.368734184952571, 0.6430910328372111, 84.06531205024687, 0.4674868213355057, 0.5792654678272436, 79.97539479776636, 0.6465136191506622, 0.3728335346307331, 76.02021355065644, 0.9575277958951134, 0.1539170182227507, 886.399710796125, 910.0561245131559, 922.520084765605, 926.4614373213071, 935.6414148268985, 952.8767991173784, 975.7250001169281]|667.2094355957422067|      0.12500000|[225, 72, 9, 27]                                                           |  | used linear model with 33 points | iterate success | actual_k=4
      10|[119.9939271913996, -0.0364354605789279, 0.8606504187409582, 110.02141211358169, 0.1138460960074445, 0.8275586817584155, 99.98306458965646, 0.2825349939458467, 0.683311304164899, 88.10940791707458, 0.4000690622861764, 0.7439817239385076, 85.96199454301183, 0.368734184952571, 0.6430910328372111, 84.06531205024687, 0.4674868213355057, 0.5792654678272436, 79.97539479776636, 0.6465136191506622, 0.3728335346307331, 76.02021355065644, 0.9575277958951134, 0.1539170182227507, 886.399710796125, 910.0561245131559, 922.520084765605, 926.4614373213071, 935.6414148268985, 952.8767991173784, 975.7250001169281]|667.2094355957422067|      0.06250000|[250, 80, 10, 30]                                                          |  | used linear model with 33 points | iterate failure | actual_k=4
      11|[119.9939271913996, -0.0364354605789279, 0.8606504187409582, 110.02141211358169, 0.1138460960074445, 0.8275586817584155, 99.98306458965646, 0.2825349939458467, 0.683311304164899, 88.10940791707458, 0.4000690622861764, 0.7439817239385076, 85.96199454301183, 0.368734184952571, 0.6430910328372111, 84.06531205024687, 0.4674868213355057, 0.5792654678272436, 79.97539479776636, 0.6465136191506622, 0.3728335346307331, 76.02021355065644, 0.9575277958951134, 0.1539170182227507, 886.399710796125, 910.0561245131559, 922.520084765605, 926.4614373213071, 935.6414148268985, 952.8767991173784, 975.7250001169281]|667.2094355957422067|      0.03125000|[275, 88, 11, 33]                                                          |  | used linear model with 33 points | iterate failure | actual_k=4
