k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.810940323137066, 2.848803458712413, 0.3487381757660739, 40.31531276152908, -0.5278746362310673, -1.1108923552700936, 25.39709933739663, -0.2264202445622521, 0.6314929661255626]|968.3661499023437500|      2.00000000|[31, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[10.810940323137066, 2.848803458712413, 0.3487381757660739, 40.31531276152908, -0.5278746362310673, -1.1108923552700936, 25.39709933739663, -0.2264202445622521, 0.6314929661255626]|968.3661499023437500|      1.00000000|[61, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[10.889281035209455, 3.1909798858875758, 0.6840724640196103, 40.34612241358017, -0.8910318736915406, -1.0548534699768348, 26.078000557976456, -0.5713027447838297, 0.4175168949199316]|927.8178100585937500|      2.00000000|[91, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       4|[10.889281035209455, 3.1909798858875758, 0.6840724640196103, 40.34612241358017, -0.8910318736915406, -1.0548534699768348, 26.078000557976456, -0.5713027447838297, 0.4175168949199316]|927.8178100585937500|      1.00000000|[121, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[10.889281035209455, 3.1909798858875758, 0.6840724640196103, 40.34612241358017, -0.8910318736915406, -1.0548534699768348, 26.078000557976456, -0.5713027447838297, 0.4175168949199316]|927.8178100585937500|      0.50000000|[151, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[10.647343646333816, 3.09597498285721, 0.516271141388449, 40.52168206031432, -0.7408550970204384, -1.195048520035427, 26.149720908947263, -0.7785436818774072, 0.5996200628302903]|880.6569213867187500|      1.00000000|[181, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       7|[10.647343646333816, 3.09597498285721, 0.516271141388449, 40.52168206031432, -0.7408550970204384, -1.195048520035427, 26.149720908947263, -0.7785436818774072, 0.5996200628302903]|880.6569213867187500|      0.50000000|[211, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[10.647343646333816, 3.09597498285721, 0.516271141388449, 40.52168206031432, -0.7408550970204384, -1.195048520035427, 26.149720908947263, -0.7785436818774072, 0.5996200628302903]|880.6569213867187500|      0.25000000|[241, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[10.687900818305849, 3.098349938231579, 0.544028271331902, 40.55396479930586, -0.7076652906386621, -1.1909506083772454, 26.054399985723677, -0.719672783724914, 0.8126144869545179]|859.9571533203125000|      0.50000000|[271, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      10|[10.687900818305849, 3.098349938231579, 0.544028271331902, 40.55396479930586, -0.7076652906386621, -1.1909506083772454, 26.054399985723677, -0.719672783724914, 0.8126144869545179]|859.9571533203125000|      0.25000000|[301, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[10.7672553246931, 3.191359750612725, 0.4834874746762166, 40.53322659922124, -0.6475889096547377, -1.2076399632594024, 26.122814022318572, -0.7029955330458005, 0.9986533509116899]|855.0688476562500000|      0.50000000|[331, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      12|[10.7672553246931, 3.191359750612725, 0.4834874746762166, 40.53322659922124, -0.6475889096547377, -1.2076399632594024, 26.122814022318572, -0.7029955330458005, 0.9986533509116899]|855.0688476562500000|      0.25000000|[361, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[10.629525885124158, 3.110634595306755, 0.496085615386117, 40.624368729022386, -0.5758292774272576, -1.240398329867722, 26.158189397179495, -0.7671630230052616, 1.1288724374094095]|848.1038818359375000|      0.50000000|[391, 0, 0, 26]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      14|[10.629525885124158, 3.110634595306755, 0.496085615386117, 40.624368729022386, -0.5758292774272576, -1.240398329867722, 26.158189397179495, -0.7671630230052616, 1.1288724374094095]|848.1038818359375000|      0.25000000|[421, 0, 0, 28]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[10.629525885124158, 3.110634595306755, 0.496085615386117, 40.624368729022386, -0.5758292774272576, -1.240398329867722, 26.158189397179495, -0.7671630230052616, 1.1288724374094095]|848.1038818359375000|      0.12500000|[451, 0, 0, 30]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[10.611427601472842, 3.0508777249516577, 0.5039497137157378, 40.61408476133751, -0.6518291368228032, -1.2852921068971157, 26.168681960965205, -0.7092525630646559, 1.1463028542409621]|844.5908813476562500|      0.25000000|[481, 0, 0, 32]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      17|[10.611427601472842, 3.0508777249516577, 0.5039497137157378, 40.61408476133751, -0.6518291368228032, -1.2852921068971157, 26.168681960965205, -0.7092525630646559, 1.1463028542409621]|844.5908813476562500|      0.12500000|[511, 0, 0, 34]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[10.616650496414257, 3.0834921867539187, 0.5140118463683211, 40.61974708703322, -0.6821780748215478, -1.3143493125261791, 26.23467468093684, -0.6847258067865812, 1.2339312155435507]|841.9912719726562500|      0.25000000|[541, 0, 0, 36]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
