k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.063998364248466, 1.9038736134558296, 1.7078923960925518, 2.126724009790346, 0.3152164431082639]|8393.0185546875000000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      2.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      0.12500000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[20.219068172849113, 2.895663082353617, 1.3127584740496183, 3.355127333024868, 0.5106590629067093]|3021.4538574218750000|      0.25000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[20.219068172849113, 2.895663082353617, 1.3127584740496183, 3.355127333024868, 0.5106590629067093]|3021.4538574218750000|      0.12500000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[20.29827640011241, 2.963976896102474, 1.3486589863813467, 3.3958590442240806, 0.552328722156521]|2956.9033203125000000|      0.25000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[20.29827640011241, 2.963976896102474, 1.3486589863813467, 3.3958590442240806, 0.552328722156521]|2956.9033203125000000|      0.12500000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[20.29827640011241, 2.963976896102474, 1.3486589863813467, 3.3958590442240806, 0.552328722156521]|2956.9033203125000000|      0.06250000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[20.28438607987206, 2.967519289763565, 1.334538865470994, 3.4073489644142216, 0.4942824960063946]|2914.6884765625000000|      0.12500000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[20.22105263218441, 3.0505851626126543, 1.400474104782595, 3.399004119580227, 0.5115116269604759]|2754.9143066406250000|      0.25000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[20.22105263218441, 3.0505851626126543, 1.400474104782595, 3.399004119580227, 0.5115116269604759]|2754.9143066406250000|      0.12500000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[20.25980271991334, 3.1589877402417037, 1.40541095305351, 3.3701375404849085, 0.4725929938284912]|2653.9843750000000000|      0.25000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[20.25980271991334, 3.1589877402417037, 1.40541095305351, 3.3701375404849085, 0.4725929938284912]|2653.9843750000000000|      0.12500000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[20.25980271991334, 3.1589877402417037, 1.40541095305351, 3.3701375404849085, 0.4725929938284912]|2653.9843750000000000|      0.06250000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[20.25980271991334, 3.1589877402417037, 1.40541095305351, 3.3701375404849085, 0.4725929938284912]|2653.9843750000000000|      0.03125000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[20.25980271991334, 3.1589877402417037, 1.40541095305351, 3.3701375404849085, 0.4725929938284912]|2653.9843750000000000|      0.01562500|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      21|[20.25176253460533, 3.171674307656102, 1.4073536935156798, 3.36662333763615, 0.4741496538065254]|2642.1530761718750000|      0.03125000|[169, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      22|[20.25176253460533, 3.171674307656102, 1.4073536935156798, 3.36662333763615, 0.4741496538065254]|2642.1530761718750000|      0.01562500|[177, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      23|[20.25176253460533, 3.171674307656102, 1.4073536935156798, 3.36662333763615, 0.4741496538065254]|2642.1530761718750000|      0.00781250|[185, 0, 0, 46]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      24|[20.252605745915034, 3.1711328098002616, 1.4135831403597898, 3.3656554421880616, 0.4786538853089336]|2632.9934082031250000|      0.01562500|[193, 0, 0, 48]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      25|[20.252605745915034, 3.1711328098002616, 1.4135831403597898, 3.3656554421880616, 0.4786538853089336]|2632.9934082031250000|      0.00781250|[201, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
