k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[19.99517306670229, 1.9961674568638155, 2.005342071956111, 1.985424629997541, 0.6997209553186217]|5027.1818577015746996|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[19.99517306670229, 1.9961674568638155, 2.005342071956111, 1.985424629997541, 0.6997209553186217]|5027.1818577015746996|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[19.99517306670229, 1.9961674568638155, 2.005342071956111, 1.985424629997541, 0.6997209553186217]|5027.1818577015746996|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[20.05056797848813, 2.0608159433997275, 1.9862032832634304, 2.0254789842852174, 0.4688934604077483]|4438.7823277159259305|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[20.05056797848813, 2.0608159433997275, 1.9862032832634304, 2.0254789842852174, 0.4688934604077483]|4438.7823277159259305|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[20.05056797848813, 2.0608159433997275, 1.9862032832634304, 2.0254789842852174, 0.4688934604077483]|4438.7823277159259305|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[20.058559633802254, 2.1046063609852177, 1.9850475999448518, 2.0382328883995418, 0.5849948604808672]|3887.1419215548376087|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[20.052331546375513, 2.3381736545386933, 1.9716693676722823, 2.047118086786418, 0.4975328318055819]|3394.0688111923395809|      0.50000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[20.052331546375513, 2.3381736545386933, 1.9716693676722823, 2.047118086786418, 0.4975328318055819]|3394.0688111923395809|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[20.052331546375513, 2.3381736545386933, 1.9716693676722823, 2.047118086786418, 0.4975328318055819]|3394.0688111923395809|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[20.052331546375513, 2.3381736545386933, 1.9716693676722823, 2.047118086786418, 0.4975328318055819]|3394.0688111923395809|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[20.058058736067064, 2.368066528215288, 1.9821854992472343, 2.055178575949063, 0.5504885198168743]|3362.0576713282675883|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[20.058058736067064, 2.368066528215288, 1.9821854992472343, 2.055178575949063, 0.5504885198168743]|3362.0576713282675883|      0.06250000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[20.06667345119156, 2.378851865960047, 1.9929521397317427, 2.065692785904151, 0.4914186966010144]|3310.0323519509597645|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      16|[20.06667345119156, 2.378851865960047, 1.9929521397317427, 2.065692785904151, 0.4914186966010144]|3310.0323519509597645|      0.06250000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[20.06105044363261, 2.4145842318788433, 2.0003310879603022, 2.068904720464954, 0.5417482546286245]|3267.1445849707802154|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[20.06105044363261, 2.4145842318788433, 2.0003310879603022, 2.068904720464954, 0.5417482546286245]|3267.1445849707802154|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[20.06105044363261, 2.4145842318788433, 2.0003310879603022, 2.068904720464954, 0.5417482546286245]|3267.1445849707802154|      0.03125000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[20.062985798960923, 2.420125188576003, 2.003061059067063, 2.0717458087618157, 0.511308310908587]|3190.3514855704092952|      0.06250000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[20.075203691844646, 2.477084804937818, 2.020660344483785, 2.085246670885265, 0.5158434043079714]|3106.7202154769338449|      0.12500000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[20.075203691844646, 2.477084804937818, 2.020660344483785, 2.085246670885265, 0.5158434043079714]|3106.7202154769338449|      0.06250000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[20.075203691844646, 2.477084804937818, 2.020660344483785, 2.085246670885265, 0.5158434043079714]|3106.7202154769338449|      0.03125000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[20.0807877100988, 2.4945034090690834, 2.0308380392417673, 2.093971021225672, 0.4943428529009329]|3069.7337285471562609|      0.06250000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
