k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.50000000|[11, 3, 1, 4]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.25000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.12500000|[29, 9, 1, 10]                                                             |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.06250000|[39, 12, 2, 14]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.03125000|[48, 15, 3, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.01562500|[59, 18, 5, 23]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.00781250|[69, 21, 6, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.00390625|[79, 24, 6, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.00195312|[88, 27, 6, 33]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.00097656|[98, 30, 8, 38]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.00048828|[109, 33, 9, 42]                                                           |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
