k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.507073984390452, 1.9496693689980193, 2.6322675076773177, 1.5738645016470598, 0.5987344200295963]|4022.5575802747803209|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[20.507073984390452, 1.9496693689980193, 2.6322675076773177, 1.5738645016470598, 0.5987344200295963]|4022.5575802747803209|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[20.507073984390452, 1.9496693689980193, 2.6322675076773177, 1.5738645016470598, 0.5987344200295963]|4022.5575802747803209|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[20.507073984390452, 1.9496693689980193, 2.6322675076773177, 1.5738645016470598, 0.5987344200295963]|4022.5575802747803209|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[20.507073984390452, 1.9496693689980193, 2.6322675076773177, 1.5738645016470598, 0.5987344200295963]|4022.5575802747803209|      0.12500000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[20.507073984390452, 1.9496693689980193, 2.6322675076773177, 1.5738645016470598, 0.5987344200295963]|4022.5575802747803209|      0.06250000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[20.515275105233375, 1.9971162120483512, 2.6476455882792482, 1.593311390688046, 0.5675395190824057]|3822.3012570966757266|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[20.494532315864866, 2.0933217448483674, 2.658742741294865, 1.5178412180759404, 0.5565696335440011]|3597.3930737584109920|      0.25000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[20.494532315864866, 2.0933217448483674, 2.658742741294865, 1.5178412180759404, 0.5565696335440011]|3597.3930737584109920|      0.12500000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[20.494532315864866, 2.0933217448483674, 2.658742741294865, 1.5178412180759404, 0.5565696335440011]|3597.3930737584109920|      0.06250000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[20.488696830426488, 2.1462453858501407, 2.6479838594809055, 1.497098294715162, 0.5336510182853075]|3488.6847951491090498|      0.12500000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[20.550701044477616, 2.2285714323639034, 2.713909943354196, 1.5223309082069039, 0.5291826643575253]|3253.3174082208502114|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[20.550701044477616, 2.2285714323639034, 2.713909943354196, 1.5223309082069039, 0.5291826643575253]|3253.3174082208502114|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[20.577867018359157, 2.343298241635887, 2.734599747936227, 1.5301472333341475, 0.5643338541695342]|3214.7831888745467950|      0.25000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      15|[20.577867018359157, 2.343298241635887, 2.734599747936227, 1.5301472333341475, 0.5643338541695342]|3214.7831888745467950|      0.12500000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[20.577867018359157, 2.343298241635887, 2.734599747936227, 1.5301472333341475, 0.5643338541695342]|3214.7831888745467950|      0.06250000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[20.58160718639851, 2.3453645142588297, 2.736114223703358, 1.5344114157630966, 0.502144508041371]|3037.1744891564862883|      0.12500000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
