k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.55181231724695, 4.542452688741302, -5.523260892759065, -1.562117689721086]  |6930036.3996536545455456|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[23.456657860342244, 2.926670235441151, -5.50608366886652, -1.1266998190400037] |4165164.3471081778407097|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[20.29033485430205, 1.948224836003186, -7.361359687407035, 0.1282878768230751]  |2643662.5224267146550119|      8.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[20.29033485430205, 1.948224836003186, -7.361359687407035, 0.1282878768230751]  |2643662.5224267146550119|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[20.29033485430205, 1.948224836003186, -7.361359687407035, 0.1282878768230751]  |2643662.5224267146550119|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[19.025012045995634, 3.393325163345671, -6.95297923261404, -0.2510123193768176] |2467633.6342099029570818|      4.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[16.315781047245085, 1.3903232083296246, -4.849819805157391, 0.2230878665662154]|2146017.4665162218734622|      8.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[16.315781047245085, 1.3903232083296246, -4.849819805157391, 0.2230878665662154]|2146017.4665162218734622|      4.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[16.315781047245085, 1.3903232083296246, -4.849819805157391, 0.2230878665662154]|2146017.4665162218734622|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[16.52340831223438, 2.1281979927582295, -5.365576159169419, -1.550729233541269] |1874500.1785787730477750|      4.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[13.608434213650218, 4.752468989696273, -5.544620270001968, -0.7864838896958252]|1245473.6557281950954348|      8.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[13.608434213650218, 4.752468989696273, -5.544620270001968, -0.7864838896958252]|1245473.6557281950954348|      4.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[13.608434213650218, 4.752468989696273, -5.544620270001968, -0.7864838896958252]|1245473.6557281950954348|      2.00000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[11.80836154048178, 5.158382354917804, -5.112520622526937, -0.147529583114584]  |957289.1750684523722157|      4.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[10.65120074802674, 5.241061947674913, -3.1413458099394416, 3.13402688349802]   |728330.6190406085224822|      8.00000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      16|[5.098101108184583, 6.864729432385348, -2.6508811969091206, -2.3692660173427136]|459789.7994060652563348|     16.00000000|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      17|[5.098101108184583, 6.864729432385348, -2.6508811969091206, -2.3692660173427136]|459789.7994060652563348|      8.00000000|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[5.098101108184583, 6.864729432385348, -2.6508811969091206, -2.3692660173427136]|459789.7994060652563348|      4.00000000|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      19|[5.098101108184583, 6.864729432385348, -2.6508811969091206, -2.3692660173427136]|459789.7994060652563348|      2.00000000|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      20|[6.101225753367432, 7.472041439919662, -2.1700385890981213, -0.8221062136233495]|437879.1798168482491747|      4.00000000|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=0
