k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3149951314812511, 0.0834199215174561, 0.2730656671777041, -0.0560884551680979, 0.1196719541139754, 0.2889089593369937, 0.1308657830754166, -0.1261971867700264, 0.1268347305560133, -0.0290383974835216, 0.176300148156612, 0.1613147967900849, 0.0076246301313227, 0.1381984142181782, 0.2009798033257175, 0.1282013647225709, 0.1489519850765903, 0.1211610771542032, 0.0336583274899606, 0.1609996864961724, 0.0934754116347426, -0.0342024422483504, 0.2467555688704476, 0.0591640709340284, 0.2192980349046219, 0.1066706049076495, 0.1366634754198868, 0.0662594282710431, 0.1314170746875976, 0.0703138515740787, 0.1344300143690177, -0.0306076945659431, 0.131844298722797, 0.1632879098775974, -0.012784411647439, 0.1513665498933848, 0.0748629790584193, 0.0998062084583571, 0.0632005427375241, 0.0491026788296467, 0.0648019527303347, 0.0219250664615776, -0.0442837643277541, -0.0223305483955942, 0.1431348725934589, 0.210982107287406, 0.3055670960854748, -0.0080239586130906, 0.1151884976550794, 0.0730293847391876]|1750.3604166286054351|      2.00000000|[61, 4, 1, 2]                                                              |  | used linear model with 65 points | iterate success | actual_k=4
       2|[0.0295054485406702, 0.4936933307304744, 0.407075226402964, 0.1613948794907484, 0.2336218064127846, 0.4652112671378102, 0.5654582693254386, 0.2376289784373095, 0.3027235576485666, -0.0212306095023804, 0.0587845008050712, 0.4145011072194854, 0.2811377760241803, 0.4266264841111199, 0.5073726121810365, 0.5140559205659421, 0.1871805794075188, 0.0848059391815419, 0.4214480957631938, 0.3670473756170539, 0.4249330812021812, 0.1039351935781308, 0.5119496967656065, 0.0158986349105891, 0.3404169387155229, 0.5485499271360439, 0.0712398179044561, 0.3495036435695288, 0.6472394943526973, 0.5351425176504394, 0.4120853406046358, 0.3305798490933008, 0.4254334711674994, 0.5902317588020984, 0.4201592995713922, 0.4388680258764559, 0.5185401140067388, 0.0660377135103609, 0.1453953375639998, 0.2692259675216994, 0.1778749802937787, 0.2454244783396157, 0.3517815652481178, 0.3668097614220753, 0.3372498284164772, 0.5315612894046365, 0.3047020157001381, 0.1191571972374655, 0.1493199484716804, 0.4023416427615113]|1586.5938091365712808|      4.00000000|[122, 8, 2, 4]                                                             |  | used linear model with 65 points | iterate success | actual_k=4
       3|[-0.0010839419061586, 1.1131934127357472, 0.8328120162618731, 0.3914442410560438, 0.7076499657669916, 0.8631804056736652, 1.1126929545164068, 1.022189692367091, 0.587911920315864, 0.9942332655293059, 0.6704465571872884, 0.9334781063589599, 0.2145579635565493, 1.299868485275804, 0.6519569107310358, 1.4656155659417949, 1.0252887126351586, 0.2761991485239619, 0.4366162039162036, 1.2502955458787108, 0.677098187669273, 0.1739021999032902, 0.7303714055091136, 0.9249787702732762, 0.8633290366431412, 0.9380209343714112, 0.1562621468849674, 0.9931696198607477, 0.8226082830614225, 1.4560507146963668, 0.5850335387373958, 0.4645767988024885, 0.557569647350019, 1.438222819106065, 1.2451369550555023, 1.1931215615912651, 0.909387403248703, 0.2418496162931168, 0.5899369700537842, 0.648543651104679, 1.0082162065175673, 0.442658556882791, -0.3603112722854028, 1.1952599081773179, 0.8917197053359145, 0.9756761809700061, 0.743262986716466, 0.9769410913552745, 0.6944101791828363, 0.8875367500936837]|1281.4736478589766193|      8.00000000|[183, 12, 3, 6]                                                            |  | used linear model with 65 points | iterate success | actual_k=4
       4|[0.7715584630378552, 2.8550291603435305, 2.2879396485935755, 0.8452872396459805, 2.2183768965095902, 1.8080608602337733, 1.5384071227353435, 1.811740651724318, 2.813193028972194, 2.4319272606184352, 1.5457948509280262, 1.4969048431745098, 2.5497303812824796, 2.553119903903376, 0.2525865922787515, 1.5184644908034555, 0.6176979950156882, 0.132580094512229, 1.6488038219629915, 0.3183058417887539, 1.4336522342085356, 0.1926701763181177, 0.8552015225010783, -0.6265940868915801, 0.8072823869740823, 1.6995568147119857, 0.6126971335215616, 1.6010124311449405, 1.6204115286041967, 2.5935107324332582, 1.2246604671503896, 1.5074735236644023, 1.6970003155405053, 1.7581906195146713, -0.0747263264461453, 2.3812428425106638, 1.3261075529191209, 0.1112186322946118, 3.267990104293676, 2.2519229073998535, 0.6058859450898251, -0.1338522005269476, 0.0922590258263432, 1.6884256746779895, 1.2018397696343144, 2.1742249585850577, -1.9286579941206403, 2.3506385730337627, 0.7864148236400473, 2.5220303692432067]|1003.9732297955882814|     16.00000000|[244, 16, 4, 8]                                                            |  | used linear model with 65 points | iterate success | actual_k=4
       5|[0.7715584630378552, 2.8550291603435305, 2.2879396485935755, 0.8452872396459805, 2.2183768965095902, 1.8080608602337733, 1.5384071227353435, 1.811740651724318, 2.813193028972194, 2.4319272606184352, 1.5457948509280262, 1.4969048431745098, 2.5497303812824796, 2.553119903903376, 0.2525865922787515, 1.5184644908034555, 0.6176979950156882, 0.132580094512229, 1.6488038219629915, 0.3183058417887539, 1.4336522342085356, 0.1926701763181177, 0.8552015225010783, -0.6265940868915801, 0.8072823869740823, 1.6995568147119857, 0.6126971335215616, 1.6010124311449405, 1.6204115286041967, 2.5935107324332582, 1.2246604671503896, 1.5074735236644023, 1.6970003155405053, 1.7581906195146713, -0.0747263264461453, 2.3812428425106638, 1.3261075529191209, 0.1112186322946118, 3.267990104293676, 2.2519229073998535, 0.6058859450898251, -0.1338522005269476, 0.0922590258263432, 1.6884256746779895, 1.2018397696343144, 2.1742249585850577, -1.9286579941206403, 2.3506385730337627, 0.7864148236400473, 2.5220303692432067]|1003.9732297955882814|      8.00000000|[305, 20, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=4
       6|[0.7715584630378552, 2.8550291603435305, 2.2879396485935755, 0.8452872396459805, 2.2183768965095902, 1.8080608602337733, 1.5384071227353435, 1.811740651724318, 2.813193028972194, 2.4319272606184352, 1.5457948509280262, 1.4969048431745098, 2.5497303812824796, 2.553119903903376, 0.2525865922787515, 1.5184644908034555, 0.6176979950156882, 0.132580094512229, 1.6488038219629915, 0.3183058417887539, 1.4336522342085356, 0.1926701763181177, 0.8552015225010783, -0.6265940868915801, 0.8072823869740823, 1.6995568147119857, 0.6126971335215616, 1.6010124311449405, 1.6204115286041967, 2.5935107324332582, 1.2246604671503896, 1.5074735236644023, 1.6970003155405053, 1.7581906195146713, -0.0747263264461453, 2.3812428425106638, 1.3261075529191209, 0.1112186322946118, 3.267990104293676, 2.2519229073998535, 0.6058859450898251, -0.1338522005269476, 0.0922590258263432, 1.6884256746779895, 1.2018397696343144, 2.1742249585850577, -1.9286579941206403, 2.3506385730337627, 0.7864148236400473, 2.5220303692432067]|1003.9732297955882814|      4.00000000|[366, 24, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=4
       7|[1.5341200841054368, 3.2221188281835254, 3.1754713044854013, 1.3583030855905254, 2.504763654988314, 2.2215831002663, 1.8771240158075209, 2.212649556164986, 3.8926324748112338, 2.9638584140337767, 2.0880894282964397, 1.1700088543737126, 2.9103357357891073, 3.272676399812191, 0.0520381864329107, 1.7464577937845882, 0.949547125397994, 0.4692951312257314, 1.6542681543975124, 0.435364606745225, 2.2007666839108357, -0.3744957165018782, 1.3676033705868815, 0.1637631956551301, 0.553663140172403, 2.6246210587549927, 0.7959334034334924, 1.8343080411547144, 2.2041308383767433, 2.830270840196811, 2.3386449440266572, 2.1871073329275563, 2.3615455441643225, 1.8609154903141014, 0.5952578131820504, 2.660088379667038, 1.8736212888435846, 0.3928121734407266, 2.946168129240578, 2.192945524525833, 1.7248862778387954, 0.0066237591155401, 0.6471768747409925, 2.270180450977805, 2.1013420612613167, 2.8432429639353383, -1.9159938981403435, 2.576065643511711, 1.3665160584139933, 3.4944525777385147]|809.4377066982218594|      8.00000000|[427, 28, 7, 14]                                                           |  | used linear model with 65 points | iterate success | actual_k=4
       8|[1.5341200841054368, 3.2221188281835254, 3.1754713044854013, 1.3583030855905254, 2.504763654988314, 2.2215831002663, 1.8771240158075209, 2.212649556164986, 3.8926324748112338, 2.9638584140337767, 2.0880894282964397, 1.1700088543737126, 2.9103357357891073, 3.272676399812191, 0.0520381864329107, 1.7464577937845882, 0.949547125397994, 0.4692951312257314, 1.6542681543975124, 0.435364606745225, 2.2007666839108357, -0.3744957165018782, 1.3676033705868815, 0.1637631956551301, 0.553663140172403, 2.6246210587549927, 0.7959334034334924, 1.8343080411547144, 2.2041308383767433, 2.830270840196811, 2.3386449440266572, 2.1871073329275563, 2.3615455441643225, 1.8609154903141014, 0.5952578131820504, 2.660088379667038, 1.8736212888435846, 0.3928121734407266, 2.946168129240578, 2.192945524525833, 1.7248862778387954, 0.0066237591155401, 0.6471768747409925, 2.270180450977805, 2.1013420612613167, 2.8432429639353383, -1.9159938981403435, 2.576065643511711, 1.3665160584139933, 3.4944525777385147]|809.4377066982218594|      4.00000000|[488, 32, 8, 16]                                                           |  | used linear model with 65 points | iterate failure | actual_k=4
       9|[1.6152219585697578, 3.261776515214777, 3.5665899674272787, 1.2135757384453336, 2.785969115044439, 2.2327653105148446, 2.7747631092347245, 2.145972486600292, 3.5961341117873493, 2.701037766834601, 2.376158073916195, 1.8487306671799186, 3.7344545633015844, 2.914658376451188, 0.874658748816398, 2.5261594924316997, 0.7684154214512603, -0.2007307675552349, 1.4951859504964828, 1.6015442766770247, 2.594442615471871, -0.1753622445539016, 1.6434903242733832, 0.9215003447052637, 1.318639174021026, 1.362074335108826, 0.931647153798001, 2.091389328830847, 2.5936055836499423, 3.7346570861045625, 2.8537413716093556, 1.9264826754409512, 2.9962905124219343, 1.080693865945118, 0.7940749978014338, 2.306123632928541, 1.9164988084726846, 0.8962095456544488, 3.343301976669724, 2.5390342848216427, 1.962961670025129, 0.9762994370587164, -0.766786285505785, 3.196747625898551, 1.9521362974169458, 2.6484123392622143, -1.6908045541217878, 2.4131863848786255, 1.0930508660260465, 3.2095495875407947]|741.3400959053112729|      8.00000000|[549, 36, 9, 18]                                                           |  | used linear model with 65 points | iterate success | actual_k=4
      10|[1.6152219585697578, 3.261776515214777, 3.5665899674272787, 1.2135757384453336, 2.785969115044439, 2.2327653105148446, 2.7747631092347245, 2.145972486600292, 3.5961341117873493, 2.701037766834601, 2.376158073916195, 1.8487306671799186, 3.7344545633015844, 2.914658376451188, 0.874658748816398, 2.5261594924316997, 0.7684154214512603, -0.2007307675552349, 1.4951859504964828, 1.6015442766770247, 2.594442615471871, -0.1753622445539016, 1.6434903242733832, 0.9215003447052637, 1.318639174021026, 1.362074335108826, 0.931647153798001, 2.091389328830847, 2.5936055836499423, 3.7346570861045625, 2.8537413716093556, 1.9264826754409512, 2.9962905124219343, 1.080693865945118, 0.7940749978014338, 2.306123632928541, 1.9164988084726846, 0.8962095456544488, 3.343301976669724, 2.5390342848216427, 1.962961670025129, 0.9762994370587164, -0.766786285505785, 3.196747625898551, 1.9521362974169458, 2.6484123392622143, -1.6908045541217878, 2.4131863848786255, 1.0930508660260465, 3.2095495875407947]|741.3400959053112729|      4.00000000|[610, 40, 10, 20]                                                          |  | used linear model with 65 points | iterate failure | actual_k=4
      11|[1.7979257264842154, 3.402536618321414, 3.4170404183422263, 1.7493335483850154, 2.9223778093073918, 2.5336453612706586, 3.491339832237663, 2.397623092608356, 3.386694426769792, 2.866602985191063, 3.208603876520503, 2.5936128525745445, 4.313741132253098, 3.946134766204757, 0.9368585495910301, 1.6757618518715018, 1.4003246507256726, -1.1497082380612684, 1.9576468254053416, 1.1662474935990852, 2.6254884937606815, 0.1888072207786123, 2.6734364760084843, 0.972600180465515, 1.6711848850066038, 1.7997155424663602, 1.4750614652908989, 1.9334756497194114, 2.8746623620864646, 4.099053299384861, 3.4584335452875754, 1.6544690044173307, 2.656761093269232, 1.766967655743582, 1.8515393197223142, 3.405798452306982, 2.1729361511990515, 1.8620748419692914, 3.2160600892725126, 2.3277334683343214, 2.4193122057912135, 0.7301804821649382, -0.3170360283809438, 4.2074073736045925, 2.0653465266379585, 3.3332051088046106, -1.2064066612730973, 2.1123286579888356, 1.9436555001142368, 2.6422040436990066]|622.5305764141459122|      8.00000000|[671, 44, 11, 22]                                                          |  | used linear model with 65 points | iterate success | actual_k=4
