k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.25000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.12500000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       4|[0.9946320303895952, -1.0136995079673652, -1.0531511157237468, -1.075850649697231, -1.0241484822838074, -1.0132092409743552, -1.035072682778212, -1.039001083841246, -1.028174047701584, -1.050274828650813]|  2.8739815199223226|      0.25000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       5|[0.9946320303895952, -1.0136995079673652, -1.0531511157237468, -1.075850649697231, -1.0241484822838074, -1.0132092409743552, -1.035072682778212, -1.039001083841246, -1.028174047701584, -1.050274828650813]|  2.8739815199223226|      0.12500000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[1.0249872970036145, -1.0818483702757649, -1.1128481590295145, -1.0944335075243492, -1.0155275183436974, -1.023082837363207, -1.0146470974083954, -1.0859296844448205, -1.0555903678672864, -1.1013362538340625]|  1.4139930631441628|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       7|[1.0249872970036145, -1.0818483702757649, -1.1128481590295145, -1.0944335075243492, -1.0155275183436974, -1.023082837363207, -1.0146470974083954, -1.0859296844448205, -1.0555903678672864, -1.1013362538340625]|  1.4139930631441628|      0.12500000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[1.0306806169774765, -1.1144110507039515, -1.0988467077406243, -1.1171968729599924, -1.108239271278314, -1.0706130620188195, -1.0231314075093048, -1.1314954448909633, -1.0526570351395652, -1.0729350454967812]|  0.3538818571762847|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
       9|[1.0306806169774765, -1.1144110507039515, -1.0988467077406243, -1.1171968729599924, -1.108239271278314, -1.0706130620188195, -1.0231314075093048, -1.1314954448909633, -1.0526570351395652, -1.0729350454967812]|  0.3538818571762847|      0.12500000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[1.0306806169774765, -1.1144110507039515, -1.0988467077406243, -1.1171968729599924, -1.108239271278314, -1.0706130620188195, -1.0231314075093048, -1.1314954448909633, -1.0526570351395652, -1.0729350454967812]|  0.3538818571762847|      0.06250000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[1.0306806169774765, -1.1144110507039515, -1.0988467077406243, -1.1171968729599924, -1.108239271278314, -1.0706130620188195, -1.0231314075093048, -1.1314954448909633, -1.0526570351395652, -1.0729350454967812]|  0.3538818571762847|      0.03125000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
