k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      |  1.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8304137622795351, 0.5571471829029989]                                        |  0.0246086269617081|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.8304137622795351, 0.5571471829029989]                                        |  0.0246086269617081|      1.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.8304137622795351, 0.5571471829029989]                                        |  0.0246086269617081|      0.50000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.7637974116186349, 1.052689574454543]                                         |  0.0091834440827370|      1.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[0.7637974116186349, 1.052689574454543]                                         |  0.0091834440827370|      0.50000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.7637974116186349, 1.052689574454543]                                         |  0.0091834440827370|      0.25000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.7425617390896955, 0.8035931148003688]                                        |  0.0000153174441948|      0.50000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[0.7425617390896955, 0.8035931148003688]                                        |  0.0000153174441948|      0.25000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.7425617390896955, 0.8035931148003688]                                        |  0.0000153174441948|      0.12500000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.7425617390896955, 0.8035931148003688]                                        |  0.0000153174441948|      0.06250000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
