k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1750998439826268, 1.0571241057612846, 0.1600409715212073, 1.0429315065741405, 1.1312975931002336, 1.9446494151184757, 1.1616126420756367, 0.9461443332619901]| 87.9529302630534602|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[0.1750998439826268, 1.0571241057612846, 0.1600409715212073, 1.0429315065741405, 1.1312975931002336, 1.9446494151184757, 1.1616126420756367, 0.9461443332619901]| 87.9529302630534602|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.1750998439826268, 1.0571241057612846, 0.1600409715212073, 1.0429315065741405, 1.1312975931002336, 1.9446494151184757, 1.1616126420756367, 0.9461443332619901]| 87.9529302630534602|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[0.1750998439826268, 1.0571241057612846, 0.1600409715212073, 1.0429315065741405, 1.1312975931002336, 1.9446494151184757, 1.1616126420756367, 0.9461443332619901]| 87.9529302630534602|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.1294230117375663, 0.9539793960692698, 0.2224158572417539, 1.054944559340793, 1.1510780824626439, 1.755600744283243, 1.1973727335985824, 1.037415381264448]| 54.6396932307564782|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       6|[0.1294230117375663, 0.9539793960692698, 0.2224158572417539, 1.054944559340793, 1.1510780824626439, 1.755600744283243, 1.1973727335985824, 1.037415381264448]| 54.6396932307564782|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[0.1294230117375663, 0.9539793960692698, 0.2224158572417539, 1.054944559340793, 1.1510780824626439, 1.755600744283243, 1.1973727335985824, 1.037415381264448]| 54.6396932307564782|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[0.1294230117375663, 0.9539793960692698, 0.2224158572417539, 1.054944559340793, 1.1510780824626439, 1.755600744283243, 1.1973727335985824, 1.037415381264448]| 54.6396932307564782|      0.06250000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[0.1099469709458294, 0.9280727058200572, 0.2131320983712422, 1.0812435188823981, 1.1493033536622241, 1.78452420679577, 1.1916191678990005, 1.0721304200716446]| 52.1115447145188426|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[0.1099469709458294, 0.9280727058200572, 0.2131320983712422, 1.0812435188823981, 1.1493033536622241, 1.78452420679577, 1.1916191678990005, 1.0721304200716446]| 52.1115447145188426|      0.06250000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[0.0841879732465686, 0.8955266891762736, 0.1927664943949, 1.0686585348441633, 1.140563106232398, 1.8159519719491397, 1.1908900510481335, 1.0954909258567527]| 49.8640771949117010|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[0.0346779992496753, 0.8462250131298098, 0.1363199415097204, 1.0730607673968855, 1.1716996731866751, 1.8645823060083648, 1.1683192316851754, 1.1562665554350924]| 47.9182210740724557|      0.25000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      13|[0.0346779992496753, 0.8462250131298098, 0.1363199415097204, 1.0730607673968855, 1.1716996731866751, 1.8645823060083648, 1.1683192316851754, 1.1562665554350924]| 47.9182210740724557|      0.12500000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[0.0346779992496753, 0.8462250131298098, 0.1363199415097204, 1.0730607673968855, 1.1716996731866751, 1.8645823060083648, 1.1683192316851754, 1.1562665554350924]| 47.9182210740724557|      0.06250000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      15|[0.0030360096205286, 0.8434863754628681, 0.1024471806316684, 1.0538214105838388, 1.1528382040247853, 1.8731886765381922, 1.1608935882548437, 1.1263491230091516]| 44.8089299747726031|      0.12500000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[-0.008023312025904, 0.7888312632635912, 0.1019938612417852, 0.9708126050342177, 1.1591246279243141, 1.9437201014610355, 1.137310634470677, 1.1189676542065505]| 42.1871236336614643|      0.25000000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      17|[-0.008023312025904, 0.7888312632635912, 0.1019938612417852, 0.9708126050342177, 1.1591246279243141, 1.9437201014610355, 1.137310634470677, 1.1189676542065505]| 42.1871236336614643|      0.12500000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[-0.0660646054131293, 0.6921842094639906, 0.1236592692158253, 0.9872873347865971, 1.1969057730292358, 1.9372013582283307, 1.133918328344787, 1.0926364569099065]| 40.5082023874122186|      0.25000000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[-0.0660646054131293, 0.6921842094639906, 0.1236592692158253, 0.9872873347865971, 1.1969057730292358, 1.9372013582283307, 1.133918328344787, 1.0926364569099065]| 40.5082023874122186|      0.12500000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
