k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |772166.1146731314947829|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.040149669287502, 0.9413390752176038, 0.9885412765413296, 0.9160106484526404, 0.8628898402404708, 0.872401327787559, 0.6316946888093012, 0.0961017938217871]|68450.8906250000000000|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[1.040149669287502, 0.9413390752176038, 0.9885412765413296, 0.9160106484526404, 0.8628898402404708, 0.872401327787559, 0.6316946888093012, 0.0961017938217871]|68450.8906250000000000|      1.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[1.040149669287502, 0.9413390752176038, 0.9885412765413296, 0.9160106484526404, 0.8628898402404708, 0.872401327787559, 0.6316946888093012, 0.0961017938217871]|68450.8906250000000000|      0.50000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[1.1197422079488217, 0.9555169237756449, 0.9057637999736211, 0.9901359650181358, 0.8284996617377883, 0.7751984085142244, 0.4372732482324043, -0.3313166835141353]|1507.1722412109375000|      1.00000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[1.1197422079488217, 0.9555169237756449, 0.9057637999736211, 0.9901359650181358, 0.8284996617377883, 0.7751984085142244, 0.4372732482324043, -0.3313166835141353]|1507.1722412109375000|      0.50000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[1.1197422079488217, 0.9555169237756449, 0.9057637999736211, 0.9901359650181358, 0.8284996617377883, 0.7751984085142244, 0.4372732482324043, -0.3313166835141353]|1507.1722412109375000|      0.25000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[1.1197422079488217, 0.9555169237756449, 0.9057637999736211, 0.9901359650181358, 0.8284996617377883, 0.7751984085142244, 0.4372732482324043, -0.3313166835141353]|1507.1722412109375000|      0.12500000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[1.1197422079488217, 0.9555169237756449, 0.9057637999736211, 0.9901359650181358, 0.8284996617377883, 0.7751984085142244, 0.4372732482324043, -0.3313166835141353]|1507.1722412109375000|      0.06250000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[1.1213287360706736, 0.9553726714917365, 0.9061349862306328, 0.9929806316296839, 0.8324669481576523, 0.7859913386938142, 0.4614309396454074, -0.2749281966163271]|204.8032684326171875|      0.12500000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[1.1213287360706736, 0.9553726714917365, 0.9061349862306328, 0.9929806316296839, 0.8324669481576523, 0.7859913386938142, 0.4614309396454074, -0.2749281966163271]|204.8032684326171875|      0.06250000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
