k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 45.2064958913885775|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8738415075222086, -0.5880530326582658, -0.9024321198149361]                  | 18.8751907348632812|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[1.9909894398260823, -0.2987700732927625, -2.535924044120017]                   |  6.7624883651733398|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[1.9909894398260823, -0.2987700732927625, -2.535924044120017]                   |  6.7624883651733398|      2.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[1.9909894398260823, -0.2987700732927625, -2.535924044120017]                   |  6.7624883651733398|      1.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.9909894398260823, -0.2987700732927625, -2.535924044120017]                   |  6.7624883651733398|      0.50000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1.7302439173996582, -0.7036318680732366, -2.4013926364052964]                  |  1.4789288043975830|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[1.7302439173996582, -0.7036318680732366, -2.4013926364052964]                  |  1.4789288043975830|      0.50000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[1.9959370550846611, -0.8159047695138107, -1.9929786893011199]                  |  1.0780110359191895|      1.00000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[1.9959370550846611, -0.8159047695138107, -1.9929786893011199]                  |  1.0780110359191895|      0.50000000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[2.1639181220960415, -0.8618165695432737, -2.4616731182671283]                  |  0.5747439265251160|      1.00000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[2.1639181220960415, -0.8618165695432737, -2.4616731182671283]                  |  0.5747439265251160|      0.50000000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[2.1639181220960415, -0.8618165695432737, -2.4616731182671283]                  |  0.5747439265251160|      0.25000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[2.1639181220960415, -0.8618165695432737, -2.4616731182671283]                  |  0.5747439265251160|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[2.267223462715406, -0.9135525519571247, -2.413961539764727]                    |  0.4568634033203125|      0.25000000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[2.267223462715406, -0.9135525519571247, -2.413961539764727]                    |  0.4568634033203125|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
