k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.548841073355787, 2.964207578197303, 0.2301277888537241, 40.02537977926888, -0.871452441831158, -1.5000615702334286, 25.498655852694892, -0.3725612024947381, 0.7688454843086856]|959.0138699017307999|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       2|[10.548841073355787, 2.964207578197303, 0.2301277888537241, 40.02537977926888, -0.871452441831158, -1.5000615702334286, 25.498655852694892, -0.3725612024947381, 0.7688454843086856]|959.0138699017307999|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[10.548841073355787, 2.964207578197303, 0.2301277888537241, 40.02537977926888, -0.871452441831158, -1.5000615702334286, 25.498655852694892, -0.3725612024947381, 0.7688454843086856]|959.0138699017307999|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[10.530702283807283, 2.9330376973688885, 0.2858474730827353, 39.972254125465355, -1.0607135569411008, -1.317728177834228, 25.86251348551859, -0.5697405806865982, 0.8181920618553671]|928.7607944010482015|      1.00000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[10.698610437642479, 3.301419076296573, 0.2896746284945225, 40.48893719451313, -0.4555545049019077, -1.3436517084439783, 26.24941589680185, -0.3411269131443667, 0.8348887090537583]|873.6817932039406287|      2.00000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[10.698610437642479, 3.301419076296573, 0.2896746284945225, 40.48893719451313, -0.4555545049019077, -1.3436517084439783, 26.24941589680185, -0.3411269131443667, 0.8348887090537583]|873.6817932039406287|      1.00000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[10.698610437642479, 3.301419076296573, 0.2896746284945225, 40.48893719451313, -0.4555545049019077, -1.3436517084439783, 26.24941589680185, -0.3411269131443667, 0.8348887090537583]|873.6817932039406287|      0.50000000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[10.631419469240422, 3.3784269478874345, 0.3838312698119417, 40.344250464009704, -0.5758068130338649, -1.2421637324940995, 26.2591501690088, -0.3554710308555861, 1.264649691168833]|858.1148344222957576|      1.00000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
       9|[10.631419469240422, 3.3784269478874345, 0.3838312698119417, 40.344250464009704, -0.5758068130338649, -1.2421637324940995, 26.2591501690088, -0.3554710308555861, 1.264649691168833]|858.1148344222957576|      0.50000000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[10.631419469240422, 3.3784269478874345, 0.3838312698119417, 40.344250464009704, -0.5758068130338649, -1.2421637324940995, 26.2591501690088, -0.3554710308555861, 1.264649691168833]|858.1148344222957576|      0.25000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[10.608990064563423, 3.3066300337045975, 0.3352677883559244, 40.344013347106056, -0.412095639442145, -1.2907087227454646, 26.382934620027648, -0.4014899882423689, 1.1758501541553126]|854.1600687403525853|      0.50000000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      12|[10.608990064563423, 3.3066300337045975, 0.3352677883559244, 40.344013347106056, -0.412095639442145, -1.2907087227454646, 26.382934620027648, -0.4014899882423689, 1.1758501541553126]|854.1600687403525853|      0.25000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[10.597971203942008, 3.1364224360877047, 0.4471975397548, 40.26954425416633, -0.5054194199634928, -1.2789547519601423, 26.438429449886588, -0.4459331940600327, 1.1380125426005545]|849.3149706461321102|      0.50000000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      14|[10.597971203942008, 3.1364224360877047, 0.4471975397548, 40.26954425416633, -0.5054194199634928, -1.2789547519601423, 26.438429449886588, -0.4459331940600327, 1.1380125426005545]|849.3149706461321102|      0.25000000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[10.597971203942008, 3.1364224360877047, 0.4471975397548, 40.26954425416633, -0.5054194199634928, -1.2789547519601423, 26.438429449886588, -0.4459331940600327, 1.1380125426005545]|849.3149706461321102|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[10.647521910717662, 3.1449746135476557, 0.4523520241409242, 40.319914115822286, -0.4818226907590128, -1.307268177134713, 26.40228173117343, -0.4026053282772242, 1.2154107263678455]|845.2630438299619300|      0.25000000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      17|[10.647521910717662, 3.1449746135476557, 0.4523520241409242, 40.319914115822286, -0.4818226907590128, -1.307268177134713, 26.40228173117343, -0.4026053282772242, 1.2154107263678455]|845.2630438299619300|      0.12500000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[10.665650986932949, 3.106546427168573, 0.4500239546099924, 40.351781262048256, -0.5711295039372294, -1.351660047243046, 26.36789765935587, -0.3620793061346929, 1.210146859571438]|844.2111796214114747|      0.25000000|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      19|[10.665650986932949, 3.106546427168573, 0.4500239546099924, 40.351781262048256, -0.5711295039372294, -1.351660047243046, 26.36789765935587, -0.3620793061346929, 1.210146859571438]|844.2111796214114747|      0.12500000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      20|[10.665650986932949, 3.106546427168573, 0.4500239546099924, 40.351781262048256, -0.5711295039372294, -1.351660047243046, 26.36789765935587, -0.3620793061346929, 1.210146859571438]|844.2111796214114747|      0.06250000|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[10.639690106613715, 3.113671711303883, 0.4519442036924748, 40.35582646645069, -0.5710393333195882, -1.3559887157537578, 26.40358396980809, -0.3648511455791325, 1.253292202708691]|842.8263871793768658|      0.12500000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      22|[10.66357494015559, 3.0854658503322305, 0.4966772254542913, 40.393449148912794, -0.5826847477090958, -1.37246894514914, 26.494667951893938, -0.3455496848980394, 1.2953205603695672]|841.2823631403038007|      0.25000000|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      23|[10.66357494015559, 3.0854658503322305, 0.4966772254542913, 40.393449148912794, -0.5826847477090958, -1.37246894514914, 26.494667951893938, -0.3455496848980394, 1.2953205603695672]|841.2823631403038007|      0.12500000|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[10.66357494015559, 3.0854658503322305, 0.4966772254542913, 40.393449148912794, -0.5826847477090958, -1.37246894514914, 26.494667951893938, -0.3455496848980394, 1.2953205603695672]|841.2823631403038007|      0.06250000|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[10.647790757151808, 3.079790789086178, 0.5050392407070894, 40.430757112309074, -0.607789627156853, -1.3658333896852155, 26.476090244707798, -0.3298757374757836, 1.325287315522561]|839.9479102514292208|      0.12500000|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
