k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.12500000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.06250000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.03125000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.01562500|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00781250|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00390625|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00195312|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00097656|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00048828|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[-3.499885080082399, 1.0000974889980314, 3.73942669833e-05, -0.0004137693106593, 1.7000035119803887, -0.0001850147564578, -9.17792282399e-05, 2.09354342336e-05]|1839.1447165766433045|      0.00097656|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[-3.499885080082399, 1.0000974889980314, 3.73942669833e-05, -0.0004137693106593, 1.7000035119803887, -0.0001850147564578, -9.17792282399e-05, 2.09354342336e-05]|1839.1447165766433045|      0.00048828|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[-3.499885080082399, 1.0000974889980314, 3.73942669833e-05, -0.0004137693106593, 1.7000035119803887, -0.0001850147564578, -9.17792282399e-05, 2.09354342336e-05]|1839.1447165766433045|      0.00024414|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[-3.499885080082399, 1.0000974889980314, 3.73942669833e-05, -0.0004137693106593, 1.7000035119803887, -0.0001850147564578, -9.17792282399e-05, 2.09354342336e-05]|1839.1447165766433045|      0.00012207|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[-3.499885080082399, 1.0000974889980314, 3.73942669833e-05, -0.0004137693106593, 1.7000035119803887, -0.0001850147564578, -9.17792282399e-05, 2.09354342336e-05]|1839.1447165766433045|      0.00006104|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[-3.499885080082399, 1.0000974889980314, 3.73942669833e-05, -0.0004137693106593, 1.7000035119803887, -0.0001850147564578, -9.17792282399e-05, 2.09354342336e-05]|1839.1447165766433045|      0.00003052|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[-3.499883749174468, 1.0001075932716643, 4.02262815235e-05, -0.0004369248430864, 1.7000131534381575, -0.0001880239370779, -0.0001012118194537, 3.05411237864e-05]|1791.4115787044120225|      0.00006104|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      19|[-3.4998934140877864, 1.0001025944965278, 5.78572335766e-05, -0.000458139785378, 1.6999649698209884, -0.0001702083096366, -0.0001064002391647, 4.39571778146e-05]|1558.0491126229487691|      0.00012207|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
