k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 0.0]                                                                 |629.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.4134007146706131, 2.7402341258402476, -0.5302388971504736]                   |340.2648078555750430|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.4134007146706131, 2.7402341258402476, -0.5302388971504736]                   |340.2648078555750430|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.4134007146706131, 2.7402341258402476, -0.5302388971504736]                   |340.2648078555750430|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.4134007146706131, 2.7402341258402476, -0.5302388971504736]                   |340.2648078555750430|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[1.4134007146706131, 2.7402341258402476, -0.5302388971504736]                   |340.2648078555750430|      0.12500000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.3609854251675426, 2.630381203551757, -0.5017788744697357]                    |317.7094895194209698|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[1.3609854251675426, 2.630381203551757, -0.5017788744697357]                    |317.7094895194209698|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[1.3609854251675426, 2.630381203551757, -0.5017788744697357]                    |317.7094895194209698|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[1.3322813201691073, 2.576943937848981, -0.5168381902061728]                    |310.3731343443041055|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[1.3322813201691073, 2.576943937848981, -0.5168381902061728]                    |310.3731343443041055|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[1.3322813201691073, 2.576943937848981, -0.5168381902061728]                    |310.3731343443041055|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[1.3293330942288208, 2.5595222635641584, -0.5426132892150722]                   |305.4140204377732175|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[1.3166367685430835, 2.517097408928955, -0.5867175409745518]                    |295.9317916463326128|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[1.3166367685430835, 2.517097408928955, -0.5867175409745518]                    |295.9317916463326128|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[1.3166367685430835, 2.517097408928955, -0.5867175409745518]                    |295.9317916463326128|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
