k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[9.610508252046486, -0.740321697933739, -0.0338926589289622, -0.1065376626043165, -0.0143617324984182, 0.0012255175258456, -0.105864589686545]|48988.0679643334296998|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[9.610508252046486, -0.740321697933739, -0.0338926589289622, -0.1065376626043165, -0.0143617324984182, 0.0012255175258456, -0.105864589686545]|48988.0679643334296998|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[9.426345187110764, -0.797145117978622, 0.2529286382625113, -0.4183150301951598, 0.0126372991641628, 0.1539817144861966, -0.2024051384880791]|42644.5208870325368480|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[9.120478376433507, -0.8271035004428692, 0.8413803793217951, -0.957696797137251, 0.4609273245094206, 0.4107208514743618, -0.1641832063614245]|24371.3662645549193257|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[9.120478376433507, -0.8271035004428692, 0.8413803793217951, -0.957696797137251, 0.4609273245094206, 0.4107208514743618, -0.1641832063614245]|24371.3662645549193257|      1.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[9.120478376433507, -0.8271035004428692, 0.8413803793217951, -0.957696797137251, 0.4609273245094206, 0.4107208514743618, -0.1641832063614245]|24371.3662645549193257|      0.50000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[9.120478376433507, -0.8271035004428692, 0.8413803793217951, -0.957696797137251, 0.4609273245094206, 0.4107208514743618, -0.1641832063614245]|24371.3662645549193257|      0.25000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[9.120478376433507, -0.8271035004428692, 0.8413803793217951, -0.957696797137251, 0.4609273245094206, 0.4107208514743618, -0.1641832063614245]|24371.3662645549193257|      0.12500000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[9.120478376433507, -0.8271035004428692, 0.8413803793217951, -0.957696797137251, 0.4609273245094206, 0.4107208514743618, -0.1641832063614245]|24371.3662645549193257|      0.06250000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[9.094268877681621, -0.8195056429989818, 0.8485145316007268, -0.9713094254525131, 0.473537454867628, 0.3982856563464603, -0.1130780648047396]|15510.4579971497005317|      0.12500000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[9.094268877681621, -0.8195056429989818, 0.8485145316007268, -0.9713094254525131, 0.473537454867628, 0.3982856563464603, -0.1130780648047396]|15510.4579971497005317|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[9.103471518883307, -0.8309783082933621, 0.8344514069084417, -0.9284080080417877, 0.495606030085891, 0.421187288984954, -0.0877772848894197]|11812.7821002765558660|      0.12500000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[9.103471518883307, -0.8309783082933621, 0.8344514069084417, -0.9284080080417877, 0.495606030085891, 0.421187288984954, -0.0877772848894197]|11812.7821002765558660|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[9.103471518883307, -0.8309783082933621, 0.8344514069084417, -0.9284080080417877, 0.495606030085891, 0.421187288984954, -0.0877772848894197]|11812.7821002765558660|      0.03125000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[9.117292752389874, -0.8286514768189175, 0.8382275748002018, -0.9232032103488312, 0.4723325740649505, 0.4209437871538614, -0.0737394984408821]|10470.2000793325532868|      0.06250000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[9.117292752389874, -0.8286514768189175, 0.8382275748002018, -0.9232032103488312, 0.4723325740649505, 0.4209437871538614, -0.0737394984408821]|10470.2000793325532868|      0.03125000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[9.117292752389874, -0.8286514768189175, 0.8382275748002018, -0.9232032103488312, 0.4723325740649505, 0.4209437871538614, -0.0737394984408821]|10470.2000793325532868|      0.01562500|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[9.117292752389874, -0.8286514768189175, 0.8382275748002018, -0.9232032103488312, 0.4723325740649505, 0.4209437871538614, -0.0737394984408821]|10470.2000793325532868|      0.00781250|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[9.117292752389874, -0.8286514768189175, 0.8382275748002018, -0.9232032103488312, 0.4723325740649505, 0.4209437871538614, -0.0737394984408821]|10470.2000793325532868|      0.00390625|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      21|[9.117292752389874, -0.8286514768189175, 0.8382275748002018, -0.9232032103488312, 0.4723325740649505, 0.4209437871538614, -0.0737394984408821]|10470.2000793325532868|      0.00195312|[147, 42, 21, 63]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      22|[9.117292752389874, -0.8286514768189175, 0.8382275748002018, -0.9232032103488312, 0.4723325740649505, 0.4209437871538614, -0.0737394984408821]|10470.2000793325532868|      0.00097656|[154, 44, 22, 66]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      23|[9.117106767989275, -0.8286708021761356, 0.8383712608804371, -0.9233410276530535, 0.4721968420247757, 0.4208913502422356, -0.0728132703187214]|10466.7998621989718231|      0.00195312|[161, 46, 23, 69]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      24|[9.116669736251499, -0.8286435365434558, 0.8386311913142296, -0.9235556669365207, 0.4718599387979611, 0.4194120794096462, -0.0739121685297805]|10458.5959315680138388|      0.00390625|[168, 48, 24, 72]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
