k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00390625|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00195312|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00097656|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00048828|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00024414|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00012207|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00006104|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[-2.06783191856e-05, 9.3653233841e-06, 0.0100317090562256, 0.0003374529308827, 1.71618554536e-05, 0.0979681404790543, 0.0001908115645597, 2.97733398338e-05]|  1.2670707630625739|      0.00012207|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[-2.06783191856e-05, 9.3653233841e-06, 0.0100317090562256, 0.0003374529308827, 1.71618554536e-05, 0.0979681404790543, 0.0001908115645597, 2.97733398338e-05]|  1.2670707630625739|      0.00006104|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[-2.06783191856e-05, 9.3653233841e-06, 0.0100317090562256, 0.0003374529308827, 1.71618554536e-05, 0.0979681404790543, 0.0001908115645597, 2.97733398338e-05]|  1.2670707630625739|      0.00003052|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[-2.19746228939e-05, 1.04179927357e-05, 0.0100294404841368, 0.0003382673897101, 1.74112998551e-05, 0.0979718618153012, 0.0001675126708725, 4.89038203042e-05]|  0.9099390431021789|      0.00006104|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[-2.19746228939e-05, 1.04179927357e-05, 0.0100294404841368, 0.0003382673897101, 1.74112998551e-05, 0.0979718618153012, 0.0001675126708725, 4.89038203042e-05]|  0.9099390431021789|      0.00003052|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[-2.19746228939e-05, 1.04179927357e-05, 0.0100294404841368, 0.0003382673897101, 1.74112998551e-05, 0.0979718618153012, 0.0001675126708725, 4.89038203042e-05]|  0.9099390431021789|      0.00001526|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[-2.12301151299e-05, 9.7575840988e-06, 0.0100291259544452, 0.0003392361331289, 1.70913099496e-05, 0.0979709459016643, 0.0001663141468121, 3.37900825704e-05]|  0.8198211007368047|      0.00003052|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[-2.12301151299e-05, 9.7575840988e-06, 0.0100291259544452, 0.0003392361331289, 1.70913099496e-05, 0.0979709459016643, 0.0001663141468121, 3.37900825704e-05]|  0.8198211007368047|      0.00001526|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[-2.12301151299e-05, 9.7575840988e-06, 0.0100291259544452, 0.0003392361331289, 1.70913099496e-05, 0.0979709459016643, 0.0001663141468121, 3.37900825704e-05]|  0.8198211007368047|      0.00000763|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[-2.12301151299e-05, 9.7575840988e-06, 0.0100291259544452, 0.0003392361331289, 1.70913099496e-05, 0.0979709459016643, 0.0001663141468121, 3.37900825704e-05]|  0.8198211007368047|      0.00000381|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[-2.12744625741e-05, 9.733381447e-06, 0.0100290694134734, 0.0003400419197859, 1.8503197737e-05, 0.097971002128464, 0.0001666909949576, 3.72191160559e-05]|  0.8092544351387627|      0.00000763|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
