k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0]                                                                 | 29.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.041435776072709, 1.0992405559863232, 1.5676627468267115]                     | 10.9062184233837183|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[2.041435776072709, 1.0992405559863232, 1.5676627468267115]                     | 10.9062184233837183|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.5922052967997302, 0.7903294539048873, 0.7293514040053212]                    |  4.9825802564926800|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[1.5922052967997302, 0.7903294539048873, 0.7293514040053212]                    |  4.9825802564926800|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.9860091022106855, 0.1520788206283989, 0.2548387036611442]                    |  2.0917710403485024|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[0.9860091022106855, 0.1520788206283989, 0.2548387036611442]                    |  2.0917710403485024|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.2035410664250075, -0.2862311569119461, -0.1874599924281447]                  |  1.1537764207090742|      2.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[0.2035410664250075, -0.2862311569119461, -0.1874599924281447]                  |  1.1537764207090742|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.2035410664250075, -0.2862311569119461, -0.1874599924281447]                  |  1.1537764207090742|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-0.2583002952960357, -0.1065445871621351, -0.1210123193673147]                 |  1.0966233417584059|      1.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[-0.2583002952960357, -0.1065445871621351, -0.1210123193673147]                 |  1.0966233417584059|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[-0.2583002952960357, -0.1065445871621351, -0.1210123193673147]                 |  1.0966233417584059|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[-0.1113377345859661, -0.095074762029368, 0.0809046161803577]                   |  1.0268550663678606|      0.50000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[-0.1113377345859661, -0.095074762029368, 0.0809046161803577]                   |  1.0268550663678606|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[-0.1113377345859661, -0.095074762029368, 0.0809046161803577]                   |  1.0268550663678606|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
