k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 0.0]                                                                 |629.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.7088933957272752, 2.36851024040897, 0.6013903526063384]                      |265.0287582821882779|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.7088933957272752, 2.36851024040897, 0.6013903526063384]                      |265.0287582821882779|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.7088933957272752, 2.36851024040897, 0.6013903526063384]                      |265.0287582821882779|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[1.5643691429322835, 2.234931430996225, 1.0610309100312927]                     |167.7544117723656996|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[1.5643691429322835, 2.234931430996225, 1.0610309100312927]                     |167.7544117723656996|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[1.5643691429322835, 2.234931430996225, 1.0610309100312927]                     |167.7544117723656996|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[1.4711622858635636, 2.0841314498043437, 0.8847588263994837]                    |127.7860032003027726|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[1.4711622858635636, 2.0841314498043437, 0.8847588263994837]                    |127.7860032003027726|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[1.4711622858635636, 2.0841314498043437, 0.8847588263994837]                    |127.7860032003027726|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[1.4472507555264618, 2.076971711376474, 1.0072413837804526]                     |108.0394776686574971|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[1.4472507555264618, 2.076971711376474, 1.0072413837804526]                     |108.0394776686574971|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[1.4472507555264618, 2.076971711376474, 1.0072413837804526]                     |108.0394776686574971|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[1.4025584949729812, 2.0340766681949223, 0.9989427623845459]                    | 98.2214471605334580|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[1.4025584949729812, 2.0340766681949223, 0.9989427623845459]                    | 98.2214471605334580|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[1.3920315917558237, 1.974076267069621, 0.9849647019518697]                     | 91.8922199463594040|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
