k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[165, 24, 0, 3]                                                            |  | trying quadratic partial model with 57 points | trying quadratic partial model with 111 points | exploitation failed, decreasing delta | actual_k=8
       2|[0.8864526421533574, 0.8898677718416829, 0.8886883197351914, 0.889361114839109, 0.8886856802477776, 0.8874895877124669, 0.8875453045731858, 0.8877049187603727, 0.8867248913912807, 0.8878531144805081, 1.0421773715530442, 0.6539009594241683, 0.9880840040043096, 0.9870039425323457, 0.9875195511134929, 0.9882611875467986, 0.9752633727627358, 0.9651606787819363, 0.9793428920940691, 0.9946541984078479, 0.9897031625790884, 0.9911781963862848]|  1.3729352951049805|      1.00000000|[275, 40, 0, 5]                                                            |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
       3|[0.8864526421533574, 0.8898677718416829, 0.8886883197351914, 0.889361114839109, 0.8886856802477776, 0.8874895877124669, 0.8875453045731858, 0.8877049187603727, 0.8867248913912807, 0.8878531144805081, 1.0421773715530442, 0.6539009594241683, 0.9880840040043096, 0.9870039425323457, 0.9875195511134929, 0.9882611875467986, 0.9752633727627358, 0.9651606787819363, 0.9793428920940691, 0.9946541984078479, 0.9897031625790884, 0.9911781963862848]|  1.3729352951049805|      0.50000000|[440, 64, 0, 8]                                                            |  | trying quadratic partial model with 57 points | trying quadratic partial model with 111 points | exploitation failed, decreasing delta | actual_k=8
       4|[0.7743689757896439, 0.7784492012062667, 0.7765132044509564, 0.7776701070819316, 0.776243701211952, 0.7758945907874492, 0.774073625738426, 0.7743597523618394, 0.7747791797464276, 0.7751898210275613, 1.073319339345062, 0.3084732965053926, 0.9759182190458728, 0.9724441751020287, 0.9725119763083929, 0.974823704291275, 0.9468318524059085, 0.9280172859632325, 0.9577636913654979, 0.9876147079010339, 0.9800415118232263, 0.9829235136100813]|  1.2271972894668579|      1.00000000|[550, 80, 0, 10]                                                           |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
       5|[0.7743689757896439, 0.7784492012062667, 0.7765132044509564, 0.7776701070819316, 0.776243701211952, 0.7758945907874492, 0.774073625738426, 0.7743597523618394, 0.7747791797464276, 0.7751898210275613, 1.073319339345062, 0.3084732965053926, 0.9759182190458728, 0.9724441751020287, 0.9725119763083929, 0.974823704291275, 0.9468318524059085, 0.9280172859632325, 0.9577636913654979, 0.9876147079010339, 0.9800415118232263, 0.9829235136100813]|  1.2271972894668579|      0.50000000|[714, 104, 0, 13]                                                          |  | trying quadratic partial model with 57 points | trying quadratic partial model with 110 points | exploitation failed, decreasing delta | actual_k=8
       6|[0.6604999230145491, 0.6663431773738173, 0.6612253935027486, 0.6662032066114046, 0.6613899296335187, 0.6593929524006839, 0.662285595296523, 0.6572000201842094, 0.658370259016647, 0.6667310241860654, 1.0999068880253564, -0.0314570571258199, 0.9624383895663137, 0.956897438792028, 0.955189121251735, 0.9587580787540952, 0.9185637381080787, 0.8883662125745783, 0.9324878671548037, 0.9856880517058878, 0.9709602244682759, 0.972382362182765]|  1.0931128263473511|      1.00000000|[824, 120, 0, 15]                                                          |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
       7|[0.6604999230145491, 0.6663431773738173, 0.6612253935027486, 0.6662032066114046, 0.6613899296335187, 0.6593929524006839, 0.662285595296523, 0.6572000201842094, 0.658370259016647, 0.6667310241860654, 1.0999068880253564, -0.0314570571258199, 0.9624383895663137, 0.956897438792028, 0.955189121251735, 0.9587580787540952, 0.9185637381080787, 0.8883662125745783, 0.9324878671548037, 0.9856880517058878, 0.9709602244682759, 0.972382362182765]|  1.0931128263473511|      0.50000000|[986, 144, 0, 18]                                                          |  | trying quadratic partial model with 57 points | trying quadratic partial model with 110 points | exploitation failed, decreasing delta | actual_k=8
       8|[0.5415939890364937, 0.5522861980046452, 0.5367921726603049, 0.551687012426403, 0.5422340146537097, 0.5467591475413713, 0.5433627999733252, 0.54780737116566, 0.5423633894583869, 0.5487703456783881, 1.1102023080128787, -0.3608428044776324, 0.9556879329622419, 0.9384501499119485, 0.9442765380518514, 0.9450680963452932, 0.8819004152075859, 0.8427786749747475, 0.9072039726821187, 0.97614389336248, 0.9600272074602374, 0.9544119063669271]|  0.9721755981445312|      1.00000000|[1095, 160, 0, 20]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
       9|[0.5415939890364937, 0.5522861980046452, 0.5367921726603049, 0.551687012426403, 0.5422340146537097, 0.5467591475413713, 0.5433627999733252, 0.54780737116566, 0.5423633894583869, 0.5487703456783881, 1.1102023080128787, -0.3608428044776324, 0.9556879329622419, 0.9384501499119485, 0.9442765380518514, 0.9450680963452932, 0.8819004152075859, 0.8427786749747475, 0.9072039726821187, 0.97614389336248, 0.9600272074602374, 0.9544119063669271]|  0.9721755981445312|      0.50000000|[1257, 184, 0, 23]                                                         |  | trying quadratic partial model with 57 points | trying quadratic partial model with 110 points | exploitation failed, decreasing delta | actual_k=8
