k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0]                                                            | 13.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.7808649125807535, 0.1057429854475411, 0.0616613179123138, -0.6125898229665669]|  7.4421672108200037|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[0.7808649125807535, 0.1057429854475411, 0.0616613179123138, -0.6125898229665669]|  7.4421672108200037|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[0.7808649125807535, 0.1057429854475411, 0.0616613179123138, -0.6125898229665669]|  7.4421672108200037|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[1.2344244294199926, 0.0015180344606473, 0.2349272972398484, -0.6708978385733917]|  6.1265104893196556|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[1.2344244294199926, 0.0015180344606473, 0.2349272972398484, -0.6708978385733917]|  6.1265104893196556|      0.50000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[1.2344244294199926, 0.0015180344606473, 0.2349272972398484, -0.6708978385733917]|  6.1265104893196556|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[1.345293671316867, 0.0324483574627295, 0.08708599009771, -0.8364099958993811]  |  5.8129011098854066|      0.50000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[1.345293671316867, 0.0324483574627295, 0.08708599009771, -0.8364099958993811]  |  5.8129011098854066|      0.25000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[1.345293671316867, 0.0324483574627295, 0.08708599009771, -0.8364099958993811]  |  5.8129011098854066|      0.12500000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[1.4074269546969427, -0.0355610421751869, 0.0753598209981641, -0.7527339920777942]|  5.7730432072719546|      0.25000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[1.4074269546969427, -0.0355610421751869, 0.0753598209981641, -0.7527339920777942]|  5.7730432072719546|      0.12500000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[1.4074269546969427, -0.0355610421751869, 0.0753598209981641, -0.7527339920777942]|  5.7730432072719546|      0.06250000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[1.4042556712021015, -0.00430766733196, 0.0630612179160701, -0.8053473352915951]|  5.7587304495776328|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[1.4042556712021015, -0.00430766733196, 0.0630612179160701, -0.8053473352915951]|  5.7587304495776328|      0.06250000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
