k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[31, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[61, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.12500000|[91, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.0100385664926587, 0.0277924018320581, 0.0761644894909388, 0.0231365748054337, 0.0665463863089113, 0.0151826864713246, 0.0149127956459408, 0.042414514707166, 0.0174358793545776, -0.028403828393768, 0.0225257449340773, 0.0108150107640542]| 17.7744235992431641|      0.25000000|[121, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | iterate success | actual_k=0
       5|[0.0100385664926587, 0.0277924018320581, 0.0761644894909388, 0.0231365748054337, 0.0665463863089113, 0.0151826864713246, 0.0149127956459408, 0.042414514707166, 0.0174358793545776, -0.028403828393768, 0.0225257449340773, 0.0108150107640542]| 17.7744235992431641|      0.12500000|[151, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.0026210496572441, 0.1149101138251058, 0.0758971400427665, 0.0862393616513698, 0.0886141993173964, -0.0179338575517901, 0.0358946791967103, 0.0437335592578966, -0.0105665842741114, -0.0127175950308605, 0.0345581601602414, 0.0371314906794745]| 13.4658651351928711|      0.25000000|[181, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       7|[-0.0526576864684973, 0.2426524653975618, 0.1757052347041255, -0.0043208991458048, 0.0928215659989257, 0.0157084576013785, 0.037440873262109, -0.0826361902896083, 0.0202677807982191, -0.0430428301517246, -0.0190664129790552, 0.0975320335314105]|  8.9259042739868164|      0.50000000|[211, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[-0.0526576864684973, 0.2426524653975618, 0.1757052347041255, -0.0043208991458048, 0.0928215659989257, 0.0157084576013785, 0.037440873262109, -0.0826361902896083, 0.0202677807982191, -0.0430428301517246, -0.0190664129790552, 0.0975320335314105]|  8.9259042739868164|      0.25000000|[241, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.0526576864684973, 0.2426524653975618, 0.1757052347041255, -0.0043208991458048, 0.0928215659989257, 0.0157084576013785, 0.037440873262109, -0.0826361902896083, 0.0202677807982191, -0.0430428301517246, -0.0190664129790552, 0.0975320335314105]|  8.9259042739868164|      0.12500000|[271, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
