k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3986476062942803, 2.232137124303197, -8.22082097434582]                      | 55.0057449340820312|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.3986476062942803, 2.232137124303197, -8.22082097434582]                      | 55.0057449340820312|      1.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.0097554081499123, 1.3390558477183652, -7.994615997309396]                    | 11.8291473388671875|      2.00000000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[1.0097554081499123, 1.3390558477183652, -7.994615997309396]                    | 11.8291473388671875|      1.00000000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.810093550260171, 0.7676107316333813, -7.813206687773974]                     |  6.1166367530822754|      2.00000000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.810093550260171, 0.7676107316333813, -7.813206687773974]                     |  6.1166367530822754|      1.00000000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.0670395500758736, 0.1139323410724778, -7.6697657085392335]                   |  2.1537470817565918|      2.00000000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[1.0670395500758736, 0.1139323410724778, -7.6697657085392335]                   |  2.1537470817565918|      1.00000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.8338515713418071, -0.7444069768746374, -8.12679632221845]                    |  1.7309184074401855|      2.00000000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.8338515713418071, -0.7444069768746374, -8.12679632221845]                    |  1.7309184074401855|      1.00000000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.8338515713418071, -0.7444069768746374, -8.12679632221845]                    |  1.7309184074401855|      0.50000000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.8338515713418071, -0.7444069768746374, -8.12679632221845]                    |  1.7309184074401855|      0.25000000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.8338515713418071, -0.7444069768746374, -8.12679632221845]                    |  1.7309184074401855|      0.12500000|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.7093782907184223, -0.755841427064254, -8.12598653229923]                     |  1.5366830825805664|      0.25000000|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.4605552144085747, -0.7784774043211793, -8.134628825358813]                   |  1.2412638664245605|      0.50000000|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
