k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.59704255442564, 2.9823860879837167, 0.4374881481553596, 39.993512491099935, -0.6477844305469918, -1.2473829969278676, 25.631732344155754, -0.4955728351309289, 0.7750714244270591]|912.6440429687500000|      2.00000000|[31, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[10.59704255442564, 2.9823860879837167, 0.4374881481553596, 39.993512491099935, -0.6477844305469918, -1.2473829969278676, 25.631732344155754, -0.4955728351309289, 0.7750714244270591]|912.6440429687500000|      1.00000000|[61, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[10.59704255442564, 2.9823860879837167, 0.4374881481553596, 39.993512491099935, -0.6477844305469918, -1.2473829969278676, 25.631732344155754, -0.4955728351309289, 0.7750714244270591]|912.6440429687500000|      0.50000000|[91, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[10.667310921528426, 3.0287335334728076, 0.4663035654105145, 40.14236030557106, -0.495669409295552, -1.3274112196606807, 25.98469186978624, -0.7507499925032801, 0.7488232581121093]|867.9533691406250000|      1.00000000|[121, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | iterate success | actual_k=0
       5|[10.667310921528426, 3.0287335334728076, 0.4663035654105145, 40.14236030557106, -0.495669409295552, -1.3274112196606807, 25.98469186978624, -0.7507499925032801, 0.7488232581121093]|867.9533691406250000|      0.50000000|[151, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[10.667310921528426, 3.0287335334728076, 0.4663035654105145, 40.14236030557106, -0.495669409295552, -1.3274112196606807, 25.98469186978624, -0.7507499925032801, 0.7488232581121093]|867.9533691406250000|      0.25000000|[181, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[10.630710545182621, 3.0524580029944635, 0.4839254638983116, 40.210756949929426, -0.498299144756552, -1.335535523281921, 25.95634431898867, -0.7957189441378102, 0.9784103214806874]|859.4775390625000000|      0.50000000|[211, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[10.630710545182621, 3.0524580029944635, 0.4839254638983116, 40.210756949929426, -0.498299144756552, -1.335535523281921, 25.95634431898867, -0.7957189441378102, 0.9784103214806874]|859.4775390625000000|      0.25000000|[241, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[10.631196400405301, 3.1037757279178733, 0.4958101381643215, 40.245539375759016, -0.491599029922599, -1.465924588650941, 26.13998528353502, -0.779710495328113, 1.0649477019875344]|853.0614624023437500|      0.50000000|[271, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      10|[10.631196400405301, 3.1037757279178733, 0.4958101381643215, 40.245539375759016, -0.491599029922599, -1.465924588650941, 26.13998528353502, -0.779710495328113, 1.0649477019875344]|853.0614624023437500|      0.25000000|[301, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[10.65684904708484, 3.0511958203884, 0.5299055793924329, 40.3474984244515, -0.4993785616478821, -1.3946870070148472, 26.129760404526202, -0.6425732098322788, 1.2181555704035394]|849.4426879882812500|      0.50000000|[331, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      12|[10.65684904708484, 3.0511958203884, 0.5299055793924329, 40.3474984244515, -0.4993785616478821, -1.3946870070148472, 26.129760404526202, -0.6425732098322788, 1.2181555704035394]|849.4426879882812500|      0.25000000|[361, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[10.65684904708484, 3.0511958203884, 0.5299055793924329, 40.3474984244515, -0.4993785616478821, -1.3946870070148472, 26.129760404526202, -0.6425732098322788, 1.2181555704035394]|849.4426879882812500|      0.12500000|[391, 0, 0, 26]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[10.642258533573369, 3.0487748558468373, 0.5120801937027117, 40.367669872476036, -0.5464142923438036, -1.388696616628283, 26.237904948645635, -0.6676789811688432, 1.2077710993298831]|846.0413208007812500|      0.25000000|[421, 0, 0, 28]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
