k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00390625|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00195312|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00097656|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00048828|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00024414|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[-0.0001575752081742, -0.0001638243293235, 0.0100241416174404, 0.0003111039590913, -1.79699467154e-05, 0.0979287908781156, 0.0001563535895572, 2.96756664076e-05]|  0.9435776546142389|      0.00048828|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[-0.0001575752081742, -0.0001638243293235, 0.0100241416174404, 0.0003111039590913, -1.79699467154e-05, 0.0979287908781156, 0.0001563535895572, 2.96756664076e-05]|  0.9435776546142389|      0.00024414|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[-0.0001575752081742, -0.0001638243293235, 0.0100241416174404, 0.0003111039590913, -1.79699467154e-05, 0.0979287908781156, 0.0001563535895572, 2.96756664076e-05]|  0.9435776546142389|      0.00012207|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[-0.0001575752081742, -0.0001638243293235, 0.0100241416174404, 0.0003111039590913, -1.79699467154e-05, 0.0979287908781156, 0.0001563535895572, 2.96756664076e-05]|  0.9435776546142389|      0.00006104|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[-0.0001575752081742, -0.0001638243293235, 0.0100241416174404, 0.0003111039590913, -1.79699467154e-05, 0.0979287908781156, 0.0001563535895572, 2.96756664076e-05]|  0.9435776546142389|      0.00003052|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[-0.0001575752081742, -0.0001638243293235, 0.0100241416174404, 0.0003111039590913, -1.79699467154e-05, 0.0979287908781156, 0.0001563535895572, 2.96756664076e-05]|  0.9435776546142389|      0.00001526|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[-0.0001559199697213, -0.0001618965445159, 0.0100251160913465, 0.0003112544645304, -1.8018776146e-05, 0.097928114743042, 0.0001633194605918, 4.29579599426e-05]|  0.8578387634605273|      0.00003052|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[-0.0001559199697213, -0.0001618965445159, 0.0100251160913465, 0.0003112544645304, -1.8018776146e-05, 0.097928114743042, 0.0001633194605918, 4.29579599426e-05]|  0.8578387634605273|      0.00001526|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[-0.0001559199697213, -0.0001618965445159, 0.0100251160913465, 0.0003112544645304, -1.8018776146e-05, 0.097928114743042, 0.0001633194605918, 4.29579599426e-05]|  0.8578387634605273|      0.00000763|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[-0.0001565625052115, -0.000161855370848, 0.0100242638290195, 0.0003116995926706, -1.83549764926e-05, 0.0979304037354201, 0.0001677813639825, 3.73359029344e-05]|  0.8233342037736663|      0.00001526|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[-0.0001565625052115, -0.000161855370848, 0.0100242638290195, 0.0003116995926706, -1.83549764926e-05, 0.0979304037354201, 0.0001677813639825, 3.73359029344e-05]|  0.8233342037736663|      0.00000763|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[-0.0001565625052115, -0.000161855370848, 0.0100242638290195, 0.0003116995926706, -1.83549764926e-05, 0.0979304037354201, 0.0001677813639825, 3.73359029344e-05]|  0.8233342037736663|      0.00000381|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[-0.0001565625052115, -0.000161855370848, 0.0100242638290195, 0.0003116995926706, -1.83549764926e-05, 0.0979304037354201, 0.0001677813639825, 3.73359029344e-05]|  0.8233342037736663|      0.00000191|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
