k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[200.0, 400.0, 250.0]                                                           |4515242499193466.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[200.10414816066728, 399.4509260374477, 250.82925927445925]                     |3894990950367232.0000000000000000|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[199.621341800621, 398.1843954123493, 252.29990477708276]                       |2915890072911872.0000000000000000|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[201.57742807960457, 397.77940085411274, 255.76540703173086]                    |1883041572061184.0000000000000000|      8.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[201.57742807960457, 397.77940085411274, 255.76540703173086]                    |1883041572061184.0000000000000000|      4.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[201.57742807960457, 397.77940085411274, 255.76540703173086]                    |1883041572061184.0000000000000000|      2.00000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[201.57742807960457, 397.77940085411274, 255.76540703173086]                    |1883041572061184.0000000000000000|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[201.57742807960457, 397.77940085411274, 255.76540703173086]                    |1883041572061184.0000000000000000|      0.50000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[201.57742807960457, 397.77940085411274, 255.76540703173086]                    |1883041572061184.0000000000000000|      0.25000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[201.57742807960457, 397.77940085411274, 255.76540703173086]                    |1883041572061184.0000000000000000|      0.12500000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[201.58771827701688, 397.72527233851577, 255.87760870567774]                    |1850037835399168.0000000000000000|      0.25000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[201.52794229275037, 397.6095538100101, 256.09100049058395]                     |1785744859332608.0000000000000000|      0.50000000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[201.30909419537355, 397.68214376648524, 256.53466275908727]                    |1698765463355392.0000000000000000|      1.00000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[200.98510050595948, 396.7849683901522, 256.8348367641601]                      |1523368125792256.0000000000000000|      2.00000000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[200.9027058362417, 395.9202839635959, 258.63637276459787]                      |1149465184436224.0000000000000000|      4.00000000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[202.58380722957787, 394.4797652476847, 261.9678595099464]                      |710906342277120.0000000000000000|      8.00000000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
