k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.50000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.25000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.1251373708086432, -0.0183544616485764, -0.118770048216625]                   |  0.0090687358751893|      0.50000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.1251373708086432, -0.0183544616485764, -0.118770048216625]                   |  0.0090687358751893|      0.25000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.1251373708086432, -0.0183544616485764, -0.118770048216625]                   |  0.0090687358751893|      0.12500000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.1251373708086432, -0.0183544616485764, -0.118770048216625]                   |  0.0090687358751893|      0.06250000|[30, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.1133513821653248, -0.0792161091098591, -0.1108201840669615]                  |  0.0019492820138112|      0.12500000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.1133513821653248, -0.0792161091098591, -0.1108201840669615]                  |  0.0019492820138112|      0.06250000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.1133513821653248, -0.0792161091098591, -0.1108201840669615]                  |  0.0019492820138112|      0.03125000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.1213165557710849, -0.0784852710207099, -0.1410291957210615]                  |  0.0013313937233761|      0.06250000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[0.1213165557710849, -0.0784852710207099, -0.1410291957210615]                  |  0.0013313937233761|      0.03125000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.1213165557710849, -0.0784852710207099, -0.1410291957210615]                  |  0.0013313937233761|      0.01562500|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.1213165557710849, -0.0784852710207099, -0.1410291957210615]                  |  0.0013313937233761|      0.00781250|[61, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.1213165557710849, -0.0784852710207099, -0.1410291957210615]                  |  0.0013313937233761|      0.00390625|[66, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.1226040505575415, -0.0816656534829224, -0.142896362995678]                   |  0.0012955504935235|      0.00781250|[71, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
