k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.59704255442564, 2.9823860879837167, 0.4374881481553596, 39.993512491099935, -0.6477844305469918, -1.2473829969278676, 25.631732344155754, -0.4955728351309289, 0.7750714244270591]|912.6440652732194394|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[10.59704255442564, 2.9823860879837167, 0.4374881481553596, 39.993512491099935, -0.6477844305469918, -1.2473829969278676, 25.631732344155754, -0.4955728351309289, 0.7750714244270591]|912.6440652732194394|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[10.806777946356572, 2.8585874107969413, 0.4612345392151088, 40.42997556926595, -0.6177546331884755, -1.3192588258197757, 26.388729635236114, -0.9066516241725261, 0.736052836591691]|898.8939925874357186|      2.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[10.806777946356572, 2.8585874107969413, 0.4612345392151088, 40.42997556926595, -0.6177546331884755, -1.3192588258197757, 26.388729635236114, -0.9066516241725261, 0.736052836591691]|898.8939925874357186|      1.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[10.806777946356572, 2.8585874107969413, 0.4612345392151088, 40.42997556926595, -0.6177546331884755, -1.3192588258197757, 26.388729635236114, -0.9066516241725261, 0.736052836591691]|898.8939925874357186|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[10.709884712919127, 2.918552574724786, 0.4159505657335936, 40.52841335181708, -0.5954789227322635, -1.306645057118189, 26.098377268778478, -0.6671542809522198, 1.0240744617988367]|853.0607169552658888|      1.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[10.709884712919127, 2.918552574724786, 0.4159505657335936, 40.52841335181708, -0.5954789227322635, -1.306645057118189, 26.098377268778478, -0.6671542809522198, 1.0240744617988367]|853.0607169552658888|      0.50000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[10.709884712919127, 2.918552574724786, 0.4159505657335936, 40.52841335181708, -0.5954789227322635, -1.306645057118189, 26.098377268778478, -0.6671542809522198, 1.0240744617988367]|853.0607169552658888|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[10.566110043103308, 2.984125429827557, 0.4207656215059204, 40.64099258990261, -0.6289832943831514, -1.3352075456206036, 26.182130936727294, -0.6576583523674021, 1.1497270270701987]|845.7311632427675931|      0.50000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[10.566110043103308, 2.984125429827557, 0.4207656215059204, 40.64099258990261, -0.6289832943831514, -1.3352075456206036, 26.182130936727294, -0.6576583523674021, 1.1497270270701987]|845.7311632427675931|      0.25000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[10.70036305039531, 3.0400000665417757, 0.5100468974154153, 40.65041841777508, -0.7456842843074513, -1.3176492703773985, 26.29577455803469, -0.6086075243595193, 1.2133343542821864]|840.6586089862062181|      0.50000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
