k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6180253799311322, 0.0588902476354869, 0.1568481680462893, 0.7673262634723395, -0.0078407322602222, 0.0040578501025016, -0.0008156644074956, -0.0188179391755837, 0.0001628993003345, -0.0013587577000263, -0.0106251291976612, 0.0044819102527104, -0.0090310206572949, -0.0058918283306252, -0.001687229935324, 0.0079218601240368, 0.0003559887154339, -0.0047051986537941, -0.0092048050258427, 0.0160230000046553, 0.0021975123262762, 0.0082227613029852]| 13.1525354385375977|      2.00000000|[119, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[1.8100463658301533, 0.2191366683328552, 0.3535137544722734, 2.3330952844077606, -0.074425732767952, -0.0281449244609977, 0.0901957253519044, -0.0804509800139493, 0.0009985786631981, 0.0237970807759292, -0.0059982036166294, -0.0069827211767722, 0.0272376706365554, -0.0486717424069398, -0.0968551049778706, -0.0453638710102349, 0.097670114994944, 0.0114136271692448, -0.097244026377231, 0.1013351247004031, -0.0554046150245433, -0.0322700894207818]| 12.2718334197998047|      4.00000000|[237, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       3|[1.8100463658301533, 0.2191366683328552, 0.3535137544722734, 2.3330952844077606, -0.074425732767952, -0.0281449244609977, 0.0901957253519044, -0.0804509800139493, 0.0009985786631981, 0.0237970807759292, -0.0059982036166294, -0.0069827211767722, 0.0272376706365554, -0.0486717424069398, -0.0968551049778706, -0.0453638710102349, 0.097670114994944, 0.0114136271692448, -0.097244026377231, 0.1013351247004031, -0.0554046150245433, -0.0322700894207818]| 12.2718334197998047|      2.00000000|[355, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       4|[1.8100463658301533, 0.2191366683328552, 0.3535137544722734, 2.3330952844077606, -0.074425732767952, -0.0281449244609977, 0.0901957253519044, -0.0804509800139493, 0.0009985786631981, 0.0237970807759292, -0.0059982036166294, -0.0069827211767722, 0.0272376706365554, -0.0486717424069398, -0.0968551049778706, -0.0453638710102349, 0.097670114994944, 0.0114136271692448, -0.097244026377231, 0.1013351247004031, -0.0554046150245433, -0.0322700894207818]| 12.2718334197998047|      1.00000000|[473, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       5|[1.8100463658301533, 0.2191366683328552, 0.3535137544722734, 2.3330952844077606, -0.074425732767952, -0.0281449244609977, 0.0901957253519044, -0.0804509800139493, 0.0009985786631981, 0.0237970807759292, -0.0059982036166294, -0.0069827211767722, 0.0272376706365554, -0.0486717424069398, -0.0968551049778706, -0.0453638710102349, 0.097670114994944, 0.0114136271692448, -0.097244026377231, 0.1013351247004031, -0.0554046150245433, -0.0322700894207818]| 12.2718334197998047|      0.50000000|[591, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       6|[1.5079989201236992, 0.1851726666877382, 0.2942126231464373, 1.943446868938083, -0.0545840121816749, -0.0199632124680635, 0.090024209875166, -0.0840470423506472, -0.0103677976070154, 0.0188992753617089, -0.0191110925407932, 0.0017382353122504, 0.0388217828605692, -0.0246968100811652, -0.1064558216226919, -0.0450080870649178, 0.1066925770096708, 0.0115002105914469, -0.1158557141636733, 0.1007374816542483, -0.0515396740577913, -0.0446030696626174]| 12.1448736190795898|      1.00000000|[709, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[1.5079989201236992, 0.1851726666877382, 0.2942126231464373, 1.943446868938083, -0.0545840121816749, -0.0199632124680635, 0.090024209875166, -0.0840470423506472, -0.0103677976070154, 0.0188992753617089, -0.0191110925407932, 0.0017382353122504, 0.0388217828605692, -0.0246968100811652, -0.1064558216226919, -0.0450080870649178, 0.1066925770096708, 0.0115002105914469, -0.1158557141636733, 0.1007374816542483, -0.0515396740577913, -0.0446030696626174]| 12.1448736190795898|      0.50000000|[827, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       8|[1.5079989201236992, 0.1851726666877382, 0.2942126231464373, 1.943446868938083, -0.0545840121816749, -0.0199632124680635, 0.090024209875166, -0.0840470423506472, -0.0103677976070154, 0.0188992753617089, -0.0191110925407932, 0.0017382353122504, 0.0388217828605692, -0.0246968100811652, -0.1064558216226919, -0.0450080870649178, 0.1066925770096708, 0.0115002105914469, -0.1158557141636733, 0.1007374816542483, -0.0515396740577913, -0.0446030696626174]| 12.1448736190795898|      0.25000000|[945, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       9|[1.5079989201236992, 0.1851726666877382, 0.2942126231464373, 1.943446868938083, -0.0545840121816749, -0.0199632124680635, 0.090024209875166, -0.0840470423506472, -0.0103677976070154, 0.0188992753617089, -0.0191110925407932, 0.0017382353122504, 0.0388217828605692, -0.0246968100811652, -0.1064558216226919, -0.0450080870649178, 0.1066925770096708, 0.0115002105914469, -0.1158557141636733, 0.1007374816542483, -0.0515396740577913, -0.0446030696626174]| 12.1448736190795898|      0.12500000|[1063, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      10|[1.5079989201236992, 0.1851726666877382, 0.2942126231464373, 1.943446868938083, -0.0545840121816749, -0.0199632124680635, 0.090024209875166, -0.0840470423506472, -0.0103677976070154, 0.0188992753617089, -0.0191110925407932, 0.0017382353122504, 0.0388217828605692, -0.0246968100811652, -0.1064558216226919, -0.0450080870649178, 0.1066925770096708, 0.0115002105914469, -0.1158557141636733, 0.1007374816542483, -0.0515396740577913, -0.0446030696626174]| 12.1448736190795898|      0.06250000|[1182, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      11|[1.5079989201236992, 0.1851726666877382, 0.2942126231464373, 1.943446868938083, -0.0545840121816749, -0.0199632124680635, 0.090024209875166, -0.0840470423506472, -0.0103677976070154, 0.0188992753617089, -0.0191110925407932, 0.0017382353122504, 0.0388217828605692, -0.0246968100811652, -0.1064558216226919, -0.0450080870649178, 0.1066925770096708, 0.0115002105914469, -0.1158557141636733, 0.1007374816542483, -0.0515396740577913, -0.0446030696626174]| 12.1448736190795898|      0.03125000|[1300, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
