k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4095004950083196, -0.7070380007190371]                                       |  1.0017268657684326|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.4095004950083196, -0.7070380007190371]                                       |  1.0017268657684326|      1.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.4095004950083196, -0.7070380007190371]                                       |  1.0017268657684326|      0.50000000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.2794533926769683, -0.2242463777850646]                                       |  0.0337364487349987|      1.00000000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[0.2794533926769683, -0.2242463777850646]                                       |  0.0337364487349987|      0.50000000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.2794533926769683, -0.2242463777850646]                                       |  0.0337364487349987|      0.25000000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.1331559693369433, -0.0215222698845254]                                       |  0.0009601828060113|      0.50000000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.1331559693369433, -0.0215222698845254]                                       |  0.0009601828060113|      0.25000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.1331559693369433, -0.0215222698845254]                                       |  0.0009601828060113|      0.12500000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.1331559693369433, -0.0215222698845254]                                       |  0.0009601828060113|      0.06250000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
