k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4429958475849949, 0.1694902925356973]                                        |  0.4477658867835999|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.4429958475849949, 0.1694902925356973]                                        |  0.4477658867835999|      1.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.4429958475849949, 0.1694902925356973]                                        |  0.4477658867835999|      0.50000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.20405349821391, -0.2697209933814868]                                         |  0.0619344301521778|      1.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[0.20405349821391, -0.2697209933814868]                                         |  0.0619344301521778|      0.50000000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.20405349821391, -0.2697209933814868]                                         |  0.0619344301521778|      0.25000000|[29, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.20405349821391, -0.2697209933814868]                                         |  0.0619344301521778|      0.12500000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.2363385312410272, -0.1489622394858046]                                       |  0.0299086011946201|      0.25000000|[39, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[0.2363385312410272, -0.1489622394858046]                                       |  0.0299086011946201|      0.12500000|[44, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.1204049976421804, -0.1022245054020361]                                       |  0.0099833272397518|      0.25000000|[49, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
