k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.303640721139066, 9.874208838138085, 9.732558963127813, 9.547572755332087, 0.127626824248359, -0.1059265808887906, -0.3718775032206058, -0.2392557088400118]|1573.5056554381765181|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[8.247131251615505, 9.230014393616338, 8.95113940849768, 8.267405440985396, 0.2174391697592362, 0.160007243195685, -0.3406452980046685, 0.1343669330506781]|1473.1472150188610613|      4.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[6.418246585549938, 7.894900446301407, 6.829380772970222, 6.825743086043502, 1.9580239170158196, -0.1328510844989507, 0.5950574729240325, 0.6834212425842798]|844.1544842108148714|      8.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[4.328417933371094, 5.3447732304066555, 2.053099461470902, 5.864030544205852, 6.800497669455895, -0.3104462518573117, 2.06926185577813, -1.249799530791955]|246.8226074042513005|     16.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       5|[4.328417933371094, 5.3447732304066555, 2.053099461470902, 5.864030544205852, 6.800497669455895, -0.3104462518573117, 2.06926185577813, -1.249799530791955]|246.8226074042513005|      8.00000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[4.328417933371094, 5.3447732304066555, 2.053099461470902, 5.864030544205852, 6.800497669455895, -0.3104462518573117, 2.06926185577813, -1.249799530791955]|246.8226074042513005|      4.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[2.0681322535420716, 4.309877428521146, 0.8873024644683001, 4.558276977148848, 6.095376897630312, -1.251021163896247, 3.9779706576036205, 0.0658670495064786]|134.4508486399150513|      8.00000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       8|[2.0681322535420716, 4.309877428521146, 0.8873024644683001, 4.558276977148848, 6.095376897630312, -1.251021163896247, 3.9779706576036205, 0.0658670495064786]|134.4508486399150513|      4.00000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[3.647068759635955, 3.563876991102669, 0.6174334047861922, 4.039247400842935, 3.061494895279657, -2.47332489104072, 2.6872695097449393, 0.5596746921967044]|106.7526286157729913|      8.00000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[3.647068759635955, 3.563876991102669, 0.6174334047861922, 4.039247400842935, 3.061494895279657, -2.47332489104072, 2.6872695097449393, 0.5596746921967044]|106.7526286157729913|      4.00000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[1.2251963407078965, 1.9837973445928314, -1.0533672405829932, 2.614593725475027, 3.4383147637065745, -2.6302727566330795, 1.800390406625612, -0.8054220137221499]| 33.3127554773771806|      8.00000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[1.2251963407078965, 1.9837973445928314, -1.0533672405829932, 2.614593725475027, 3.4383147637065745, -2.6302727566330795, 1.800390406625612, -0.8054220137221499]| 33.3127554773771806|      4.00000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[1.2251963407078965, 1.9837973445928314, -1.0533672405829932, 2.614593725475027, 3.4383147637065745, -2.6302727566330795, 1.800390406625612, -0.8054220137221499]| 33.3127554773771806|      2.00000000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[0.2095316560476177, 1.6474712962427709, -1.7704855286806718, 1.9224940288166186, 2.410416608815584, -3.3468937172656115, 1.3240963422037995, -1.0605164167315408]|  9.0065090935792504|      4.00000000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
