k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[1.0243180565204615, 2.0191774746740143, 1.1479949365160804, 0.8622410695580252, 1.021556359863177, 1.142113179511011]|  0.6991906818349779|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[1.0243180565204615, 2.0191774746740143, 1.1479949365160804, 0.8622410695580252, 1.021556359863177, 1.142113179511011]|  0.6991906818349779|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[1.1456712718532671, 1.9864761793635695, 1.029441104197639, 0.917389171999877, 1.1473028218193166, 1.0246588251490047]|  0.5989773594514963|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       6|[1.1456712718532671, 1.9864761793635695, 1.029441104197639, 0.917389171999877, 1.1473028218193166, 1.0246588251490047]|  0.5989773594514963|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[1.1456712718532671, 1.9864761793635695, 1.029441104197639, 0.917389171999877, 1.1473028218193166, 1.0246588251490047]|  0.5989773594514963|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[1.1346540835345977, 1.9994274783802903, 1.1041100956238965, 0.8536965865739405, 1.1361203021663921, 1.0993490718395045]|  0.4175582023511720|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[1.2928202958455774, 1.9828747614293258, 1.1398512491857513, 0.7588084374118578, 1.298678657801974, 1.121777779971212]|  0.3101607519280276|      0.50000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[1.2928202958455774, 1.9828747614293258, 1.1398512491857513, 0.7588084374118578, 1.298678657801974, 1.121777779971212]|  0.3101607519280276|      0.25000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[1.2928202958455774, 1.9828747614293258, 1.1398512491857513, 0.7588084374118578, 1.298678657801974, 1.121777779971212]|  0.3101607519280276|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
