k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0]                                                            | 13.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9492766842163362, 0.0472722650727834, 0.1265433680550511, -0.2839469770210817]|  7.5036760185778846|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.9492766842163362, 0.0472722650727834, 0.1265433680550511, -0.2839469770210817]|  7.5036760185778846|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.9492766842163362, 0.0472722650727834, 0.1265433680550511, -0.2839469770210817]|  7.5036760185778846|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.0845608480616902, 0.3950792993116816, 0.053407151257413, -0.608569150846491] |  6.7445871076663302|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[1.0845608480616902, 0.3950792993116816, 0.053407151257413, -0.608569150846491] |  6.7445871076663302|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.0845608480616902, 0.3950792993116816, 0.053407151257413, -0.608569150846491] |  6.7445871076663302|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.1542347797233967, 0.2105527089146381, -0.017491634853845, -0.7448366921437187]|  6.2350984791714570|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[1.1542347797233967, 0.2105527089146381, -0.017491634853845, -0.7448366921437187]|  6.2350984791714570|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[1.3885590737321132, 0.2057052945730931, -0.1022578805866068, -0.7644150321114236]|  6.0070304961156253|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[1.3885590737321132, 0.2057052945730931, -0.1022578805866068, -0.7644150321114236]|  6.0070304961156253|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[1.3885590737321132, 0.2057052945730931, -0.1022578805866068, -0.7644150321114236]|  6.0070304961156253|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[1.3929347506673524, 0.1216452822117958, -0.0098909963485954, -0.7672657284015876]|  5.8361958932892399|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[1.3929347506673524, 0.1216452822117958, -0.0098909963485954, -0.7672657284015876]|  5.8361958932892399|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[1.3929347506673524, 0.1216452822117958, -0.0098909963485954, -0.7672657284015876]|  5.8361958932892399|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[1.4358554608881262, 0.0803399870346259, -0.0137245269006186, -0.7857924460811423]|  5.7988152609118115|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      16|[1.4358554608881262, 0.0803399870346259, -0.0137245269006186, -0.7857924460811423]|  5.7988152609118115|      0.06250000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      17|[1.4550985087780888, 0.0529220140696339, 0.0227694019241002, -0.7476820403455439]|  5.7839032209771730|      0.12500000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      18|[1.4550985087780888, 0.0529220140696339, 0.0227694019241002, -0.7476820403455439]|  5.7839032209771730|      0.06250000|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      19|[1.4550985087780888, 0.0529220140696339, 0.0227694019241002, -0.7476820403455439]|  5.7839032209771730|      0.03125000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      20|[1.4562331547554244, 0.0298353305078926, 0.0184568685624377, -0.7682655817471271]|  5.7680328411705917|      0.06250000|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
