k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.25000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.12500000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.06250000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.03125000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.01562500|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00781250|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00390625|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00195312|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00097656|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.3990276378856774, 1.0000829834207807, 3.60553312543e-05]                     |  0.0000000269694258|      0.00195312|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[0.3990276378856774, 1.0000829834207807, 3.60553312543e-05]                     |  0.0000000269694258|      0.00097656|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.3990276378856774, 1.0000829834207807, 3.60553312543e-05]                     |  0.0000000269694258|      0.00048828|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.3990276378856774, 1.0000829834207807, 3.60553312543e-05]                     |  0.0000000269694258|      0.00024414|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.3990276378856774, 1.0000829834207807, 3.60553312543e-05]                     |  0.0000000269694258|      0.00012207|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
